solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.144167
TREX-DA: TLARS,sd_FDR,0.100000,0.347150
TREX-DA: TLARS,TPR,0.100000,0.009000
TREX-DA: TLARS,sd_TPR,0.100000,0.041565
TREX-DA: TLARS,Avg_L,0.100000,2.070000
TREX-DA: TLARS,Avg_T,0.100000,6.940000
TREX-DA: TLARS,FDR,0.200000,0.187833
TREX-DA: TLARS,sd_FDR,0.200000,0.368530
TREX-DA: TLARS,TPR,0.200000,0.053000
TREX-DA: TLARS,sd_TPR,0.200000,0.114264
TREX-DA: TLARS,Avg_L,0.200000,2.690000
TREX-DA: TLARS,Avg_T,0.200000,5.925000
TREX-DA: TLARS,FDR,0.500000,0.166472
TREX-DA: TLARS,sd_FDR,0.500000,0.270992
TREX-DA: TLARS,TPR,0.500000,0.312000
TREX-DA: TLARS,sd_TPR,0.500000,0.254124
TREX-DA: TLARS,Avg_L,0.500000,2.995000
TREX-DA: TLARS,Avg_T,0.500000,9.160000
TREX-DA: TLARS,FDR,0.600000,0.204512
TREX-DA: TLARS,sd_FDR,0.600000,0.285459
TREX-DA: TLARS,TPR,0.600000,0.382000
TREX-DA: TLARS,sd_TPR,0.600000,0.280122
TREX-DA: TLARS,Avg_L,0.600000,3.035000
TREX-DA: TLARS,Avg_T,0.600000,6.450000
TREX-DA: TLARS,FDR,1.000000,0.132389
TREX-DA: TLARS,sd_FDR,1.000000,0.196184
TREX-DA: TLARS,TPR,1.000000,0.612000
TREX-DA: TLARS,sd_TPR,1.000000,0.278286
TREX-DA: TLARS,Avg_L,1.000000,2.265000
TREX-DA: TLARS,Avg_T,1.000000,10.615000
TREX-DA: TLARS,FDR,2.000000,0.117151
TREX-DA: TLARS,sd_FDR,2.000000,0.142177
TREX-DA: TLARS,TPR,2.000000,0.791000
TREX-DA: TLARS,sd_TPR,2.000000,0.195731
TREX-DA: TLARS,Avg_L,2.000000,1.705000
TREX-DA: TLARS,Avg_T,2.000000,9.260000
TREX-DA: TLARS,FDR,5.000000,0.128071
TREX-DA: TLARS,sd_FDR,5.000000,0.162942
TREX-DA: TLARS,TPR,5.000000,0.808000
TREX-DA: TLARS,sd_TPR,5.000000,0.201342
TREX-DA: TLARS,Avg_L,5.000000,1.460000
TREX-DA: TLARS,Avg_T,5.000000,11.265000
TREX-DA: TAFS,FDR,0.100000,0.165833
TREX-DA: TAFS,sd_FDR,0.100000,0.366254
TREX-DA: TAFS,TPR,0.100000,0.011000
TREX-DA: TAFS,sd_TPR,0.100000,0.045710
TREX-DA: TAFS,Avg_L,0.100000,2.360000
TREX-DA: TAFS,Avg_T,0.100000,5.500000
TREX-DA: TAFS,FDR,0.200000,0.189917
TREX-DA: TAFS,sd_FDR,0.200000,0.356662
TREX-DA: TAFS,TPR,0.200000,0.056000
TREX-DA: TAFS,sd_TPR,0.200000,0.122224
TREX-DA: TAFS,Avg_L,0.200000,2.765000
TREX-DA: TAFS,Avg_T,0.200000,5.025000
TREX-DA: TAFS,FDR,0.500000,0.210458
TREX-DA: TAFS,sd_FDR,0.500000,0.298019
TREX-DA: TAFS,TPR,0.500000,0.358000
TREX-DA: TAFS,sd_TPR,0.500000,0.290271
TREX-DA: TAFS,Avg_L,0.500000,2.930000
TREX-DA: TAFS,Avg_T,0.500000,5.755000
TREX-DA: TAFS,FDR,0.600000,0.212060
TREX-DA: TAFS,sd_FDR,0.600000,0.271049
TREX-DA: TAFS,TPR,0.600000,0.456000
TREX-DA: TAFS,sd_TPR,0.600000,0.306158
TREX-DA: TAFS,Avg_L,0.600000,2.645000
TREX-DA: TAFS,Avg_T,0.600000,5.905000
TREX-DA: TAFS,FDR,1.000000,0.144661
TREX-DA: TAFS,sd_FDR,1.000000,0.175648
TREX-DA: TAFS,TPR,1.000000,0.755000
TREX-DA: TAFS,sd_TPR,1.000000,0.279582
