solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.112500
TREX-DA: TLARS,sd_FDR,0.100000,0.314784
TREX-DA: TLARS,TPR,0.100000,0.004000
TREX-DA: TLARS,sd_TPR,0.100000,0.028070
TREX-DA: TLARS,Avg_L,0.100000,1.910000
TREX-DA: TLARS,Avg_T,0.100000,10.565000
TREX-DA: TLARS,FDR,0.200000,0.138333
TREX-DA: TLARS,sd_FDR,0.200000,0.330013
TREX-DA: TLARS,TPR,0.200000,0.039000
TREX-DA: TLARS,sd_TPR,0.200000,0.095523
TREX-DA: TLARS,Avg_L,0.200000,2.650000
TREX-DA: TLARS,Avg_T,0.200000,7.585000
TREX-DA: TLARS,FDR,0.500000,0.095750
TREX-DA: TLARS,sd_FDR,0.500000,0.218358
TREX-DA: TLARS,TPR,0.500000,0.298000
TREX-DA: TLARS,sd_TPR,0.500000,0.255976
TREX-DA: TLARS,Avg_L,0.500000,3.000000
TREX-DA: TLARS,Avg_T,0.500000,8.915000
TREX-DA: TLARS,FDR,0.600000,0.124643
TREX-DA: TLARS,sd_FDR,0.600000,0.250843
TREX-DA: TLARS,TPR,0.600000,0.351000
TREX-DA: TLARS,sd_TPR,0.600000,0.270118
TREX-DA: TLARS,Avg_L,0.600000,2.890000
TREX-DA: TLARS,Avg_T,0.600000,7.730000
TREX-DA: TLARS,FDR,1.000000,0.068000
TREX-DA: TLARS,sd_FDR,1.000000,0.144385
TREX-DA: TLARS,TPR,1.000000,0.595000
TREX-DA: TLARS,sd_TPR,1.000000,0.281730
TREX-DA: TLARS,Avg_L,1.000000,2.410000
TREX-DA: TLARS,Avg_T,1.000000,12.500000
TREX-DA: TLARS,FDR,2.000000,0.044929
TREX-DA: TLARS,sd_FDR,2.000000,0.097516
TREX-DA: TLARS,TPR,2.000000,0.772000
TREX-DA: TLARS,sd_TPR,2.000000,0.226877
TREX-DA: TLARS,Avg_L,2.000000,1.815000
TREX-DA: TLARS,Avg_T,2.000000,15.555000
TREX-DA: TLARS,FDR,5.000000,0.036667
TREX-DA: TLARS,sd_FDR,5.000000,0.092819
TREX-DA: TLARS,TPR,5.000000,0.804000
TREX-DA: TLARS,sd_TPR,5.000000,0.211204
TREX-DA: TLARS,Avg_L,5.000000,1.575000
TREX-DA: TLARS,Avg_T,5.000000,20.180000
TREX-DA: TAFS,FDR,0.100000,0.100000
TREX-DA: TAFS,sd_FDR,0.100000,0.296546
TREX-DA: TAFS,TPR,0.100000,0.008000
TREX-DA: TAFS,sd_TPR,0.100000,0.039290
TREX-DA: TAFS,Avg_L,0.100000,2.065000
TREX-DA: TAFS,Avg_T,0.100000,5.870000
TREX-DA: TAFS,FDR,0.200000,0.156250
TREX-DA: TAFS,sd_FDR,0.200000,0.341702
TREX-DA: TAFS,TPR,0.200000,0.041000
TREX-DA: TAFS,sd_TPR,0.200000,0.104756
