solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.040750
TREX-DA: TLARS,sd_FDR,0.050000,0.125243
TREX-DA: TLARS,TPR,0.050000,0.638000
TREX-DA: TLARS,sd_TPR,0.050000,0.260182
TREX-DA: TLARS,Avg_L,0.050000,6.325000
TREX-DA: TLARS,Avg_T,0.050000,13.595000
TREX-DA: TLARS,FDR,0.100000,0.054917
TREX-DA: TLARS,sd_FDR,0.100000,0.109887
TREX-DA: TLARS,TPR,0.100000,0.730000
TREX-DA: TLARS,sd_TPR,0.100000,0.212901
TREX-DA: TLARS,Avg_L,0.100000,3.375000
TREX-DA: TLARS,Avg_T,0.100000,13.790000
TREX-DA: TLARS,FDR,0.150000,0.088135
TREX-DA: TLARS,sd_FDR,0.150000,0.156106
TREX-DA: TLARS,TPR,0.150000,0.729000
TREX-DA: TLARS,sd_TPR,0.150000,0.217706
TREX-DA: TLARS,Avg_L,0.150000,2.325000
TREX-DA: TLARS,Avg_T,0.150000,16.250000
TREX-DA: TLARS,FDR,0.200000,0.111545
TREX-DA: TLARS,sd_FDR,0.200000,0.159975
TREX-DA: TLARS,TPR,0.200000,0.769000
TREX-DA: TLARS,sd_TPR,0.200000,0.208462
TREX-DA: TLARS,Avg_L,0.200000,1.710000
TREX-DA: TLARS,Avg_T,0.200000,12.115000
TREX-DA: TLARS,FDR,0.250000,0.123452
TREX-DA: TLARS,sd_FDR,0.250000,0.172200
TREX-DA: TLARS,TPR,0.250000,0.751000
TREX-DA: TLARS,sd_TPR,0.250000,0.221005
TREX-DA: TLARS,Avg_L,0.250000,1.275000
TREX-DA: TLARS,Avg_T,0.250000,10.000000
TREX-DA: TLARS,FDR,0.300000,0.172380
TREX-DA: TLARS,sd_FDR,0.300000,0.168079
TREX-DA: TLARS,TPR,0.300000,0.791000
TREX-DA: TLARS,sd_TPR,0.300000,0.202792
TREX-DA: TLARS,Avg_L,0.300000,1.070000
TREX-DA: TLARS,Avg_T,0.300000,8.010000
TREX-DA: TLARS,FDR,0.350000,0.274842
TREX-DA: TLARS,sd_FDR,0.350000,0.198604
TREX-DA: TLARS,TPR,0.350000,0.784000
TREX-DA: TLARS,sd_TPR,0.350000,0.231543
TREX-DA: TLARS,Avg_L,0.350000,1.055000
TREX-DA: TLARS,Avg_T,0.350000,11.110000
TREX-DA: TLARS,FDR,0.400000,0.277929
TREX-DA: TLARS,sd_FDR,0.400000,0.185798
TREX-DA: TLARS,TPR,0.400000,0.829000
TREX-DA: TLARS,sd_TPR,0.400000,0.214450
TREX-DA: TLARS,Avg_L,0.400000,1.015000
TREX-DA: TLARS,Avg_T,0.400000,14.245000
TREX-DA: TLARS,FDR,0.450000,0.358547
TREX-DA: TLARS,sd_FDR,0.450000,0.185933
TREX-DA: TLARS,TPR,0.450000,0.870000
TREX-DA: TLARS,sd_TPR,0.450000,0.188887
TREX-DA: TLARS,Avg_L,0.450000,1.000000
TREX-DA: TLARS,Avg_T,0.450000,18.560000
TREX-DA: TLARS,FDR,0.500000,0.417985
TREX-DA: TLARS,sd_FDR,0.500000,0.171728
TREX-DA: TLARS,TPR,0.500000,0.909000
TREX-DA: TLARS,sd_TPR,0.500000,0.163870
TREX-DA: TLARS,Avg_L,0.500000,1.000000
TREX-DA: TLARS,Avg_T,0.500000,23.695000
TREX-DA: TAFS,FDR,0.050000,0.070429
TREX-DA: TAFS,sd_FDR,0.050000,0.136154
TREX-DA: TAFS,TPR,0.050000,0.783000
TREX-DA: TAFS,sd_TPR,0.050000,0.225756
TREX-DA: TAFS,Avg_L,0.050000,5.150000
TREX-DA: TAFS,Avg_T,0.050000,5.910000
TREX-DA: TAFS,FDR,0.100000,0.077067
TREX-DA: TAFS,sd_FDR,0.100000,0.124469
TREX-DA: TAFS,TPR,0.100000,0.832000
TREX-DA: TAFS,sd_TPR,0.100000,0.192774
TREX-DA: TAFS,Avg_L,0.100000,2.735000
TREX-DA: TAFS,Avg_T,0.100000,6.380000
TREX-DA: TAFS,FDR,0.150000,0.103780
TREX-DA: TAFS,sd_FDR,0.150000,0.149563
TREX-DA: TAFS,TPR,0.150000,0.826000
TREX-DA: TAFS,sd_TPR,0.150000,0.194714
TREX-DA: TAFS,Avg_L,0.150000,2.105000
TREX-DA: TAFS,Avg_T,0.150000,6.625000
TREX-DA: TAFS,FDR,0.200000,0.135097
TREX-DA: TAFS,sd_FDR,0.200000,0.154259
TREX-DA: TAFS,TPR,0.200000,0.880000
TREX-DA: TAFS,sd_TPR,0.200000,0.162888
TREX-DA: TAFS,Avg_L,0.200000,1.470000
TREX-DA: TAFS,Avg_T,0.200000,6.260000
TREX-DA: TAFS,FDR,0.250000,0.138988
TREX-DA: TAFS,sd_FDR,0.250000,0.156927
TREX-DA: TAFS,TPR,0.250000,0.835000
TREX-DA: TAFS,sd_TPR,0.250000,0.188554
TREX-DA: TAFS,Avg_L,0.250000,1.090000
TREX-DA: TAFS,Avg_T,0.250000,6.305000
TREX-DA: TAFS,FDR,0.300000,0.216681
TREX-DA: TAFS,sd_FDR,0.300000,0.164251
TREX-DA: TAFS,TPR,0.300000,0.893000
TREX-DA: TAFS,sd_TPR,0.300000,0.147171
