solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.058012
TREX-DA: TLARS,sd_FDR,0.050000,0.138347
TREX-DA: TLARS,TPR,0.050000,0.635000
TREX-DA: TLARS,sd_TPR,0.050000,0.269328
TREX-DA: TLARS,Avg_L,0.050000,6.360000
TREX-DA: TLARS,Avg_T,0.050000,11.620000
TREX-DA: TLARS,FDR,0.100000,0.064250
TREX-DA: TLARS,sd_FDR,0.100000,0.125938
TREX-DA: TLARS,TPR,0.100000,0.731000
TREX-DA: TLARS,sd_TPR,0.100000,0.208943
TREX-DA: TLARS,Avg_L,0.100000,3.335000
TREX-DA: TLARS,Avg_T,0.100000,12.785000
TREX-DA: TLARS,FDR,0.150000,0.101012
TREX-DA: TLARS,sd_FDR,0.150000,0.170884
TREX-DA: TLARS,TPR,0.150000,0.747000
TREX-DA: TLARS,sd_TPR,0.150000,0.210744
TREX-DA: TLARS,Avg_L,0.150000,2.295000
TREX-DA: TLARS,Avg_T,0.150000,13.275000
TREX-DA: TLARS,FDR,0.200000,0.126562
TREX-DA: TLARS,sd_FDR,0.200000,0.161963
TREX-DA: TLARS,TPR,0.200000,0.787000
TREX-DA: TLARS,sd_TPR,0.200000,0.207476
TREX-DA: TLARS,Avg_L,0.200000,1.670000
TREX-DA: TLARS,Avg_T,0.200000,9.325000
TREX-DA: TLARS,FDR,0.250000,0.132562
TREX-DA: TLARS,sd_FDR,0.250000,0.167318
TREX-DA: TLARS,TPR,0.250000,0.768000
TREX-DA: TLARS,sd_TPR,0.250000,0.219126
TREX-DA: TLARS,Avg_L,0.250000,1.295000
TREX-DA: TLARS,Avg_T,0.250000,10.695000
TREX-DA: TLARS,FDR,0.300000,0.187203
TREX-DA: TLARS,sd_FDR,0.300000,0.165399
TREX-DA: TLARS,TPR,0.300000,0.814000
TREX-DA: TLARS,sd_TPR,0.300000,0.192847
TREX-DA: TLARS,Avg_L,0.300000,1.050000
TREX-DA: TLARS,Avg_T,0.300000,7.020000
TREX-DA: TLARS,FDR,0.350000,0.281854
TREX-DA: TLARS,sd_FDR,0.350000,0.198301
TREX-DA: TLARS,TPR,0.350000,0.804000
TREX-DA: TLARS,sd_TPR,0.350000,0.237203
TREX-DA: TLARS,Avg_L,0.350000,1.055000
TREX-DA: TLARS,Avg_T,0.350000,10.175000
TREX-DA: TLARS,FDR,0.400000,0.295415
TREX-DA: TLARS,sd_FDR,0.400000,0.188620
TREX-DA: TLARS,TPR,0.400000,0.829000
TREX-DA: TLARS,sd_TPR,0.400000,0.212567
TREX-DA: TLARS,Avg_L,0.400000,1.005000
TREX-DA: TLARS,Avg_T,0.400000,13.240000
TREX-DA: TLARS,FDR,0.450000,0.362381
TREX-DA: TLARS,sd_FDR,0.450000,0.188856
TREX-DA: TLARS,TPR,0.450000,0.890000
TREX-DA: TLARS,sd_TPR,0.450000,0.175654
TREX-DA: TLARS,Avg_L,0.450000,1.005000
TREX-DA: TLARS,Avg_T,0.450000,17.800000
TREX-DA: TLARS,FDR,0.500000,0.443667
TREX-DA: TLARS,sd_FDR,0.500000,0.169767
TREX-DA: TLARS,TPR,0.500000,0.896000
TREX-DA: TLARS,sd_TPR,0.500000,0.170084
TREX-DA: TLARS,Avg_L,0.500000,1.005000
TREX-DA: TLARS,Avg_T,0.500000,21.600000
TREX-DA: TAFS,FDR,0.050000,0.072667
TREX-DA: TAFS,sd_FDR,0.050000,0.135411
TREX-DA: TAFS,TPR,0.050000,0.786000
TREX-DA: TAFS,sd_TPR,0.050000,0.227293
TREX-DA: TAFS,Avg_L,0.050000,5.235000
TREX-DA: TAFS,Avg_T,0.050000,6.110000
TREX-DA: TAFS,FDR,0.100000,0.078353
TREX-DA: TAFS,sd_FDR,0.100000,0.124970
TREX-DA: TAFS,TPR,0.100000,0.829000
TREX-DA: TAFS,sd_TPR,0.100000,0.199897
TREX-DA: TAFS,Avg_L,0.100000,2.715000
TREX-DA: TAFS,Avg_T,0.100000,6.295000
TREX-DA: TAFS,FDR,0.150000,0.121224
TREX-DA: TAFS,sd_FDR,0.150000,0.172820
TREX-DA: TAFS,TPR,0.150000,0.835000
TREX-DA: TAFS,sd_TPR,0.150000,0.185329
TREX-DA: TAFS,Avg_L,0.150000,2.105000
TREX-DA: TAFS,Avg_T,0.150000,6.485000
TREX-DA: TAFS,FDR,0.200000,0.137968
TREX-DA: TAFS,sd_FDR,0.200000,0.152596
TREX-DA: TAFS,TPR,0.200000,0.882000
TREX-DA: TAFS,sd_TPR,0.200000,0.165569
TREX-DA: TAFS,Avg_L,0.200000,1.435000
