solver,support_type,metric,SNR,Rho,value
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.700000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.700000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.700000,0.005000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.700000,0.070711
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.800000,0.003000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.800000,0.019823
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.800000,0.019167
