solver,support_type,metric,Kappa,Rho,value
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.100000,0.923000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.100000,0.113735
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.100000,0.083252
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.100000,0.079958
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.300000,0.969500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.300000,0.056885
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.300000,0.109057
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.300000,0.079203
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.500000,0.964500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.500000,0.060896
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.500000,0.104869
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.500000,0.080934
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.700000,0.941500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.700000,0.082229
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.700000,0.103642
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.700000,0.085190
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.800000,0.945000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.800000,0.074179
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.800000,0.101938
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.800000,0.092168
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.900000,0.950500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.900000,0.072290
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.900000,0.101116
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.900000,0.087675
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.100000,0.919500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.100000,0.111948
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.100000,0.083997
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.100000,0.086566
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.300000,0.965500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.300000,0.059813
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.300000,0.112123
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.300000,0.097687
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.500000,0.945000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.500000,0.076841
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.500000,0.104538
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.500000,0.096594
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.700000,0.911000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.700000,0.101144
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.700000,0.098115
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.700000,0.097519
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.800000,0.880500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.800000,0.122248
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.800000,0.102493
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.800000,0.098302
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.900000,0.883500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.900000,0.108798
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.900000,0.101519
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.900000,0.095895
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,3.000000,0.100000,0.919000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,3.000000,0.100000,0.118360
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,3.000000,0.100000,0.087912
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,3.000000,0.100000,0.083053
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,3.000000,0.300000,0.973000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,3.000000,0.300000,0.058206
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,3.000000,0.300000,0.111001
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,3.000000,0.300000,0.084009
