solver,metric,SNR,value
TREX-DA+NN: TLARS,FDR,0.100000,0.000000
TREX-DA+NN: TLARS,sd_FDR,0.100000,0.000000
TREX-DA+NN: TLARS,TPR,0.100000,0.000000
TREX-DA+NN: TLARS,sd_TPR,0.100000,0.000000
TREX-DA+NN: TLARS,Avg_L,0.100000,1.000000
TREX-DA+NN: TLARS,Avg_T,0.100000,139.015000
TREX-DA+NN: TLARS,FDR,0.200000,0.000000
TREX-DA+NN: TLARS,sd_FDR,0.200000,0.000000
TREX-DA+NN: TLARS,TPR,0.200000,0.000500
TREX-DA+NN: TLARS,sd_TPR,0.200000,0.007071
TREX-DA+NN: TLARS,Avg_L,0.200000,1.010000
TREX-DA+NN: TLARS,Avg_T,0.200000,130.930000
TREX-DA+NN: TLARS,FDR,0.500000,0.051052
TREX-DA+NN: TLARS,sd_FDR,0.500000,0.124720
TREX-DA+NN: TLARS,TPR,0.500000,0.118500
TREX-DA+NN: TLARS,sd_TPR,0.500000,0.195702
TREX-DA+NN: TLARS,Avg_L,0.500000,1.045000
TREX-DA+NN: TLARS,Avg_T,0.500000,134.610000
TREX-DA+NN: TLARS,FDR,1.000000,0.100379
TREX-DA+NN: TLARS,sd_FDR,1.000000,0.124427
TREX-DA+NN: TLARS,TPR,1.000000,0.639500
TREX-DA+NN: TLARS,sd_TPR,1.000000,0.202472
TREX-DA+NN: TLARS,Avg_L,1.000000,1.065000
TREX-DA+NN: TLARS,Avg_T,1.000000,138.795000
TREX-DA+NN: TLARS,FDR,2.000000,0.108652
TREX-DA+NN: TLARS,sd_FDR,2.000000,0.096704
TREX-DA+NN: TLARS,TPR,2.000000,0.869500
TREX-DA+NN: TLARS,sd_TPR,2.000000,0.128069
TREX-DA+NN: TLARS,Avg_L,2.000000,1.005000
TREX-DA+NN: TLARS,Avg_T,2.000000,140.570000
TREX-DA+NN: TLARS,FDR,5.000000,0.133144
TREX-DA+NN: TLARS,sd_FDR,5.000000,0.094312
TREX-DA+NN: TLARS,TPR,5.000000,0.913500
TREX-DA+NN: TLARS,sd_TPR,5.000000,0.101584
TREX-DA+NN: TLARS,Avg_L,5.000000,1.015000
TREX-DA+NN: TLARS,Avg_T,5.000000,140.225000
TREX-DA+NN: TAFS,FDR,0.100000,0.000000
TREX-DA+NN: TAFS,sd_FDR,0.100000,0.000000
TREX-DA+NN: TAFS,TPR,0.100000,0.000000
TREX-DA+NN: TAFS,sd_TPR,0.100000,0.000000
TREX-DA+NN: TAFS,Avg_L,0.100000,1.005000
TREX-DA+NN: TAFS,Avg_T,0.100000,7.950000
TREX-DA+NN: TAFS,FDR,0.200000,0.000000
TREX-DA+NN: TAFS,sd_FDR,0.200000,0.000000
TREX-DA+NN: TAFS,TPR,0.200000,0.000000
TREX-DA+NN: TAFS,sd_TPR,0.200000,0.000000
TREX-DA+NN: TAFS,Avg_L,0.200000,1.010000
TREX-DA+NN: TAFS,Avg_T,0.200000,7.925000
TREX-DA+NN: TAFS,FDR,0.500000,0.040266
TREX-DA+NN: TAFS,sd_FDR,0.500000,0.121936
TREX-DA+NN: TAFS,TPR,0.500000,0.140000
TREX-DA+NN: TAFS,sd_TPR,0.500000,0.218031
TREX-DA+NN: TAFS,Avg_L,0.500000,1.060000
TREX-DA+NN: TAFS,Avg_T,0.500000,7.945000
TREX-DA+NN: TAFS,FDR,1.000000,0.070749
TREX-DA+NN: TAFS,sd_FDR,1.000000,0.083377
TREX-DA+NN: TAFS,TPR,1.000000,0.804000
TREX-DA+NN: TAFS,sd_TPR,1.000000,0.185082
TREX-DA+NN: TAFS,Avg_L,1.000000,1.055000
TREX-DA+NN: TAFS,Avg_T,1.000000,7.880000
TREX-DA+NN: TAFS,FDR,2.000000,0.098759
TREX-DA+NN: TAFS,sd_FDR,2.000000,0.065505
TREX-DA+NN: TAFS,TPR,2.000000,0.970500
TREX-DA+NN: TAFS,sd_TPR,2.000000,0.049922
TREX-DA+NN: TAFS,Avg_L,2.000000,1.015000
TREX-DA+NN: TAFS,Avg_T,2.000000,7.940000
TREX-DA+NN: TAFS,FDR,5.000000,0.106254
TREX-DA+NN: TAFS,sd_FDR,5.000000,0.063545
TREX-DA+NN: TAFS,TPR,5.000000,0.968500
TREX-DA+NN: TAFS,sd_TPR,5.000000,0.052646
TREX-DA+NN: TAFS,Avg_L,5.000000,1.000000
TREX-DA+NN: TAFS,Avg_T,5.000000,8.000000
TREX-DA+NN: TOMP,FDR,0.100000,0.000000
TREX-DA+NN: TOMP,sd_FDR,0.100000,0.000000
TREX-DA+NN: TOMP,TPR,0.100000,0.000000
TREX-DA+NN: TOMP,sd_TPR,0.100000,0.000000
TREX-DA+NN: TOMP,Avg_L,0.100000,1.005000
