solver,metric,SNR,value
TREX-DA+NN: TLARS,FDR,0.100000,0.005000
TREX-DA+NN: TLARS,sd_FDR,0.100000,0.070711
TREX-DA+NN: TLARS,TPR,0.100000,0.000000
TREX-DA+NN: TLARS,sd_TPR,0.100000,0.000000
TREX-DA+NN: TLARS,Avg_L,0.100000,1.020000
TREX-DA+NN: TLARS,Avg_T,0.100000,137.900000
TREX-DA+NN: TLARS,FDR,0.200000,0.000000
TREX-DA+NN: TLARS,sd_FDR,0.200000,0.000000
TREX-DA+NN: TLARS,TPR,0.200000,0.000000
TREX-DA+NN: TLARS,sd_TPR,0.200000,0.000000
TREX-DA+NN: TLARS,Avg_L,0.200000,1.000000
TREX-DA+NN: TLARS,Avg_T,0.200000,135.280000
TREX-DA+NN: TLARS,FDR,0.500000,0.052313
TREX-DA+NN: TLARS,sd_FDR,0.500000,0.128574
TREX-DA+NN: TLARS,TPR,0.500000,0.103500
TREX-DA+NN: TLARS,sd_TPR,0.500000,0.179720
TREX-DA+NN: TLARS,Avg_L,0.500000,1.085000
TREX-DA+NN: TLARS,Avg_T,0.500000,134.240000
TREX-DA+NN: TLARS,FDR,1.000000,0.111129
TREX-DA+NN: TLARS,sd_FDR,1.000000,0.130587
TREX-DA+NN: TLARS,TPR,1.000000,0.621500
TREX-DA+NN: TLARS,sd_TPR,1.000000,0.228800
TREX-DA+NN: TLARS,Avg_L,1.000000,1.065000
TREX-DA+NN: TLARS,Avg_T,1.000000,141.175000
TREX-DA+NN: TLARS,FDR,2.000000,0.126736
TREX-DA+NN: TLARS,sd_FDR,2.000000,0.102169
TREX-DA+NN: TLARS,TPR,2.000000,0.865500
TREX-DA+NN: TLARS,sd_TPR,2.000000,0.143046
TREX-DA+NN: TLARS,Avg_L,2.000000,1.025000
TREX-DA+NN: TLARS,Avg_T,2.000000,142.720000
TREX-DA+NN: TLARS,FDR,5.000000,0.130514
TREX-DA+NN: TLARS,sd_FDR,5.000000,0.103868
TREX-DA+NN: TLARS,TPR,5.000000,0.888000
TREX-DA+NN: TLARS,sd_TPR,5.000000,0.134336
TREX-DA+NN: TLARS,Avg_L,5.000000,1.010000
TREX-DA+NN: TLARS,Avg_T,5.000000,141.720000
TREX-DA+NN: TAFS,FDR,0.100000,0.005000
TREX-DA+NN: TAFS,sd_FDR,0.100000,0.070711
TREX-DA+NN: TAFS,TPR,0.100000,0.000000
TREX-DA+NN: TAFS,sd_TPR,0.100000,0.000000
TREX-DA+NN: TAFS,Avg_L,0.100000,1.030000
TREX-DA+NN: TAFS,Avg_T,0.100000,7.970000
TREX-DA+NN: TAFS,FDR,0.200000,0.000000
TREX-DA+NN: TAFS,sd_FDR,0.200000,0.000000
TREX-DA+NN: TAFS,TPR,0.200000,0.000000
TREX-DA+NN: TAFS,sd_TPR,0.200000,0.000000
TREX-DA+NN: TAFS,Avg_L,0.200000,1.000000
TREX-DA+NN: TAFS,Avg_T,0.200000,7.980000
TREX-DA+NN: TAFS,FDR,0.500000,0.038972
TREX-DA+NN: TAFS,sd_FDR,0.500000,0.101134
TREX-DA+NN: TAFS,TPR,0.500000,0.138000
TREX-DA+NN: TAFS,sd_TPR,0.500000,0.210661
TREX-DA+NN: TAFS,Avg_L,0.500000,1.090000
TREX-DA+NN: TAFS,Avg_T,0.500000,7.880000
TREX-DA+NN: TAFS,FDR,1.000000,0.079737
TREX-DA+NN: TAFS,sd_FDR,1.000000,0.098680
TREX-DA+NN: TAFS,TPR,1.000000,0.750500
TREX-DA+NN: TAFS,sd_TPR,1.000000,0.235322
TREX-DA+NN: TAFS,Avg_L,1.000000,1.095000
TREX-DA+NN: TAFS,Avg_T,1.000000,7.905000
TREX-DA+NN: TAFS,FDR,2.000000,0.103616
TREX-DA+NN: TAFS,sd_FDR,2.000000,0.070521
TREX-DA+NN: TAFS,TPR,2.000000,0.958000
TREX-DA+NN: TAFS,sd_TPR,2.000000,0.067519
TREX-DA+NN: TAFS,Avg_L,2.000000,1.010000
TREX-DA+NN: TAFS,Avg_T,2.000000,7.980000
TREX-DA+NN: TAFS,FDR,5.000000,0.108261
TREX-DA+NN: TAFS,sd_FDR,5.000000,0.072027
TREX-DA+NN: TAFS,TPR,5.000000,0.959000
TREX-DA+NN: TAFS,sd_TPR,5.000000,0.069593
TREX-DA+NN: TAFS,Avg_L,5.000000,1.000000
TREX-DA+NN: TAFS,Avg_T,5.000000,8.000000
TREX-DA+NN: TOMP,FDR,0.100000,0.005000
TREX-DA+NN: TOMP,sd_FDR,0.100000,0.070711
TREX-DA+NN: TOMP,TPR,0.100000,0.000000
TREX-DA+NN: TOMP,sd_TPR,0.100000,0.000000
TREX-DA+NN: TOMP,Avg_L,0.100000,1.020000
TREX-DA+NN: TOMP,Avg_T,0.100000,7.980000
TREX-DA+NN: TOMP,FDR,0.200000,0.003000
TREX-DA+NN: TOMP,sd_FDR,0.200000,0.042426
TREX-DA+NN: TOMP,TPR,0.200000,0.001000
TREX-DA+NN: TOMP,sd_TPR,0.200000,0.014142
TREX-DA+NN: TOMP,Avg_L,0.200000,1.000000
TREX-DA+NN: TOMP,Avg_T,0.200000,7.970000
TREX-DA+NN: TOMP,FDR,0.500000,0.039909
TREX-DA+NN: TOMP,sd_FDR,0.500000,0.125353
TREX-DA+NN: TOMP,TPR,0.500000,0.126000
TREX-DA+NN: TOMP,sd_TPR,0.500000,0.203299
TREX-DA+NN: TOMP,Avg_L,0.500000,1.075000
TREX-DA+NN: TOMP,Avg_T,0.500000,7.970000
TREX-DA+NN: TOMP,FDR,1.000000,0.067946
TREX-DA+NN: TOMP,sd_FDR,1.000000,0.093194
TREX-DA+NN: TOMP,TPR,1.000000,0.765000
TREX-DA+NN: TOMP,sd_TPR,1.000000,0.229649
TREX-DA+NN: TOMP,Avg_L,1.000000,1.095000
TREX-DA+NN: TOMP,Avg_T,1.000000,8.005000
TREX-DA+NN: TOMP,FDR,2.000000,0.086461
TREX-DA+NN: TOMP,sd_FDR,2.000000,0.058571
TREX-DA+NN: TOMP,TPR,2.000000,0.968500
TREX-DA+NN: TOMP,sd_TPR,2.000000,0.065415
TREX-DA+NN: TOMP,Avg_L,2.000000,1.005000
TREX-DA+NN: TOMP,Avg_T,2.000000,8.000000
TREX-DA+NN: TOMP,FDR,5.000000,0.076515
TREX-DA+NN: TOMP,sd_FDR,5.000000,0.062943
TREX-DA+NN: TOMP,TPR,5.000000,0.989500
TREX-DA+NN: TOMP,sd_TPR,5.000000,0.043000
TREX-DA+NN: TOMP,Avg_L,5.000000,1.000000
TREX-DA+NN: TOMP,Avg_T,5.000000,8.000000
TREX: TLARS,FDR,0.100000,0.036750
TREX: TLARS,sd_FDR,0.100000,0.182836
TREX: TLARS,TPR,0.100000,0.008000
TREX: TLARS,sd_TPR,0.100000,0.032268
TREX: TLARS,Avg_L,0.100000,2.265000
TREX: TLARS,Avg_T,0.100000,4.015000
TREX: TLARS,FDR,0.200000,0.110821
TREX: TLARS,sd_FDR,0.200000,0.262757
TREX: TLARS,TPR,0.200000,0.044500
TREX: TLARS,sd_TPR,0.200000,0.072775
TREX: TLARS,Avg_L,0.200000,3.465000
TREX: TLARS,Avg_T,0.200000,4.785000
TREX: TLARS,FDR,0.500000,0.233585
TREX: TLARS,sd_FDR,0.500000,0.200708
TREX: TLARS,TPR,0.500000,0.430000
TREX: TLARS,sd_TPR,0.500000,0.179334
TREX: TLARS,Avg_L,0.500000,2.535000
TREX: TLARS,Avg_T,0.500000,7.155000
TREX: TLARS,FDR,1.000000,0.228999
TREX: TLARS,sd_FDR,1.000000,0.136758
TREX: TLARS,TPR,1.000000,0.865000
TREX: TLARS,sd_TPR,1.000000,0.131764
TREX: TLARS,Avg_L,1.000000,1.160000
TREX: TLARS,Avg_T,1.000000,6.400000
TREX: TLARS,FDR,2.000000,0.256678
TREX: TLARS,sd_FDR,2.000000,0.111102
TREX: TLARS,TPR,2.000000,0.995500
TREX: TLARS,sd_TPR,2.000000,0.023074
TREX: TLARS,Avg_L,2.000000,1.000000
TREX: TLARS,Avg_T,2.000000,7.530000
TREX: TLARS,FDR,5.000000,0.273732
TREX: TLARS,sd_FDR,5.000000,0.111371
TREX: TLARS,TPR,5.000000,1.000000
TREX: TLARS,sd_TPR,5.000000,0.000000
TREX: TLARS,Avg_L,5.000000,1.000000
TREX: TLARS,Avg_T,5.000000,7.925000
TREX: TAFS,FDR,0.100000,0.027500
TREX: TAFS,sd_FDR,0.100000,0.160068
TREX: TAFS,TPR,0.100000,0.006500
TREX: TAFS,sd_TPR,0.100000,0.028492
TREX: TAFS,Avg_L,0.100000,2.215000
TREX: TAFS,Avg_T,0.100000,5.415000
TREX: TAFS,FDR,0.200000,0.066667
TREX: TAFS,sd_FDR,0.200000,0.227260
TREX: TAFS,TPR,0.200000,0.031500
TREX: TAFS,sd_TPR,0.200000,0.060631
TREX: TAFS,Avg_L,0.200000,3.485000
TREX: TAFS,Avg_T,0.200000,5.585000
TREX: TAFS,FDR,0.500000,0.143685
TREX: TAFS,sd_FDR,0.500000,0.187737
TREX: TAFS,TPR,0.500000,0.350000
TREX: TAFS,sd_TPR,0.500000,0.180173
TREX: TAFS,Avg_L,0.500000,2.665000
TREX: TAFS,Avg_T,0.500000,7.090000
TREX: TAFS,FDR,1.000000,0.111192
TREX: TAFS,sd_FDR,1.000000,0.107977
TREX: TAFS,TPR,1.000000,0.846000
TREX: TAFS,sd_TPR,1.000000,0.145912
TREX: TAFS,Avg_L,1.000000,1.125000
TREX: TAFS,Avg_T,1.000000,7.215000
TREX: TAFS,FDR,2.000000,0.139902
TREX: TAFS,sd_FDR,2.000000,0.075038
TREX: TAFS,TPR,2.000000,0.984500
TREX: TAFS,sd_TPR,2.000000,0.042648
TREX: TAFS,Avg_L,2.000000,1.000000
TREX: TAFS,Avg_T,2.000000,9.025000
TREX: TAFS,FDR,5.000000,0.190451
TREX: TAFS,sd_FDR,5.000000,0.063447
TREX: TAFS,TPR,5.000000,1.000000
TREX: TAFS,sd_TPR,5.000000,0.000000
TREX: TAFS,Avg_L,5.000000,1.000000
TREX: TAFS,Avg_T,5.000000,9.110000
TREX: TOMP,FDR,0.100000,0.037500
TREX: TOMP,sd_FDR,0.100000,0.180295
TREX: TOMP,TPR,0.100000,0.006000
TREX: TOMP,sd_TPR,0.100000,0.025833
TREX: TOMP,Avg_L,0.100000,2.330000
TREX: TOMP,Avg_T,0.100000,7.370000
TREX: TOMP,FDR,0.200000,0.062583
TREX: TOMP,sd_FDR,0.200000,0.220086
TREX: TOMP,TPR,0.200000,0.029500
TREX: TOMP,sd_TPR,0.200000,0.057413
TREX: TOMP,Avg_L,0.200000,3.315000
TREX: TOMP,Avg_T,0.200000,6.940000
TREX: TOMP,FDR,0.500000,0.117712
TREX: TOMP,sd_FDR,0.500000,0.177464
TREX: TOMP,TPR,0.500000,0.332000
TREX: TOMP,sd_TPR,0.500000,0.183424
TREX: TOMP,Avg_L,0.500000,2.595000
TREX: TOMP,Avg_T,0.500000,7.460000
TREX: TOMP,FDR,1.000000,0.096464
TREX: TOMP,sd_FDR,1.000000,0.099067
TREX: TOMP,TPR,1.000000,0.839000
TREX: TOMP,sd_TPR,1.000000,0.172417
TREX: TOMP,Avg_L,1.000000,1.120000
TREX: TOMP,Avg_T,1.000000,7.430000
TREX: TOMP,FDR,2.000000,0.114005
TREX: TOMP,sd_FDR,2.000000,0.056478
TREX: TOMP,TPR,2.000000,0.982000
TREX: TOMP,sd_TPR,2.000000,0.045677
TREX: TOMP,Avg_L,2.000000,1.000000
TREX: TOMP,Avg_T,2.000000,8.595000
TREX: TOMP,FDR,5.000000,0.110697
TREX: TOMP,sd_FDR,5.000000,0.063229
TREX: TOMP,TPR,5.000000,1.000000
TREX: TOMP,sd_TPR,5.000000,0.000000
TREX: TOMP,Avg_L,5.000000,1.000000
TREX: TOMP,Avg_T,5.000000,8.575000
