solver,metric,Rho,value
TREX-DA+EQUI: TLARS,FDR,0.000000,0.104571
TREX-DA+EQUI: TLARS,sd_FDR,0.000000,0.143799
TREX-DA+EQUI: TLARS,TPR,0.000000,0.401000
TREX-DA+EQUI: TLARS,sd_TPR,0.000000,0.214544
TREX-DA+EQUI: TLARS,Avg_L,0.000000,3.090000
TREX-DA+EQUI: TLARS,Avg_T,0.000000,7.480000
TREX-DA+EQUI: TLARS,FDR,0.025000,0.001500
TREX-DA+EQUI: TLARS,sd_FDR,0.025000,0.021213
TREX-DA+EQUI: TLARS,TPR,0.025000,0.003500
TREX-DA+EQUI: TLARS,sd_TPR,0.025000,0.049497
TREX-DA+EQUI: TLARS,Avg_L,0.025000,1.005000
TREX-DA+EQUI: TLARS,Avg_T,0.025000,149.300000
TREX-DA+EQUI: TLARS,FDR,0.050000,0.000000
TREX-DA+EQUI: TLARS,sd_FDR,0.050000,0.000000
TREX-DA+EQUI: TLARS,TPR,0.050000,0.000000
TREX-DA+EQUI: TLARS,sd_TPR,0.050000,0.000000
TREX-DA+EQUI: TLARS,Avg_L,0.050000,1.000000
TREX-DA+EQUI: TLARS,Avg_T,0.050000,150.000000
TREX-DA+EQUI: TLARS,FDR,0.100000,0.000000
TREX-DA+EQUI: TLARS,sd_FDR,0.100000,0.000000
TREX-DA+EQUI: TLARS,TPR,0.100000,0.000000
TREX-DA+EQUI: TLARS,sd_TPR,0.100000,0.000000
TREX-DA+EQUI: TLARS,Avg_L,0.100000,1.000000
TREX-DA+EQUI: TLARS,Avg_T,0.100000,150.000000
TREX-DA+EQUI: TLARS,FDR,0.200000,0.000000
TREX-DA+EQUI: TLARS,sd_FDR,0.200000,0.000000
TREX-DA+EQUI: TLARS,TPR,0.200000,0.000000
TREX-DA+EQUI: TLARS,sd_TPR,0.200000,0.000000
TREX-DA+EQUI: TLARS,Avg_L,0.200000,1.000000
TREX-DA+EQUI: TLARS,Avg_T,0.200000,150.000000
TREX-DA+EQUI: TLARS,FDR,0.400000,0.000000
TREX-DA+EQUI: TLARS,sd_FDR,0.400000,0.000000
TREX-DA+EQUI: TLARS,TPR,0.400000,0.000000
TREX-DA+EQUI: TLARS,sd_TPR,0.400000,0.000000
TREX-DA+EQUI: TLARS,Avg_L,0.400000,1.000000
TREX-DA+EQUI: TLARS,Avg_T,0.400000,150.000000
TREX-DA+EQUI: TLARS,FDR,0.700000,0.000000
TREX-DA+EQUI: TLARS,sd_FDR,0.700000,0.000000
TREX-DA+EQUI: TLARS,TPR,0.700000,0.000000
TREX-DA+EQUI: TLARS,sd_TPR,0.700000,0.000000
TREX-DA+EQUI: TLARS,Avg_L,0.700000,1.000000
TREX-DA+EQUI: TLARS,Avg_T,0.700000,150.000000
TREX-DA+EQUI: TLARS,FDR,0.900000,0.000000
TREX-DA+EQUI: TLARS,sd_FDR,0.900000,0.000000
TREX-DA+EQUI: TLARS,TPR,0.900000,0.000000
TREX-DA+EQUI: TLARS,sd_TPR,0.900000,0.000000
TREX-DA+EQUI: TLARS,Avg_L,0.900000,1.000000
TREX-DA+EQUI: TLARS,Avg_T,0.900000,150.000000
TREX-DA+EQUI: TAFS,FDR,0.000000,0.064525
TREX-DA+EQUI: TAFS,sd_FDR,0.000000,0.116204
TREX-DA+EQUI: TAFS,TPR,0.000000,0.403500
TREX-DA+EQUI: TAFS,sd_TPR,0.000000,0.235830
TREX-DA+EQUI: TAFS,Avg_L,0.000000,2.865000
