solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.074167
TREX-DA: TLARS,sd_FDR,0.100000,0.255971
TREX-DA: TLARS,TPR,0.100000,0.007000
TREX-DA: TLARS,sd_TPR,0.100000,0.027473
TREX-DA: TLARS,Avg_L,0.100000,1.935000
TREX-DA: TLARS,Avg_T,0.100000,5.555000
TREX-DA: TLARS,FDR,0.200000,0.180656
TREX-DA: TLARS,sd_FDR,0.200000,0.317653
TREX-DA: TLARS,TPR,0.200000,0.057500
TREX-DA: TLARS,sd_TPR,0.200000,0.094809
TREX-DA: TLARS,Avg_L,0.200000,2.460000
TREX-DA: TLARS,Avg_T,0.200000,8.065000
TREX-DA: TLARS,FDR,0.500000,0.353957
TREX-DA: TLARS,sd_FDR,0.500000,0.239328
TREX-DA: TLARS,TPR,0.500000,0.368500
TREX-DA: TLARS,sd_TPR,0.500000,0.199390
TREX-DA: TLARS,Avg_L,0.500000,2.120000
TREX-DA: TLARS,Avg_T,0.500000,12.050000
TREX-DA: TLARS,FDR,1.000000,0.352052
TREX-DA: TLARS,sd_FDR,1.000000,0.167648
TREX-DA: TLARS,TPR,1.000000,0.685500
TREX-DA: TLARS,sd_TPR,1.000000,0.171718
TREX-DA: TLARS,Avg_L,1.000000,1.550000
TREX-DA: TLARS,Avg_T,1.000000,8.800000
TREX-DA: TLARS,FDR,2.000000,0.348772
TREX-DA: TLARS,sd_FDR,2.000000,0.146966
TREX-DA: TLARS,TPR,2.000000,0.799000
TREX-DA: TLARS,sd_TPR,2.000000,0.166848
TREX-DA: TLARS,Avg_L,2.000000,1.170000
TREX-DA: TLARS,Avg_T,2.000000,20.080000
TREX-DA: TLARS,FDR,5.000000,0.331417
TREX-DA: TLARS,sd_FDR,5.000000,0.160365
TREX-DA: TLARS,TPR,5.000000,0.800000
TREX-DA: TLARS,sd_TPR,5.000000,0.166247
TREX-DA: TLARS,Avg_L,5.000000,1.065000
TREX-DA: TLARS,Avg_T,5.000000,19.185000
TREX-DA: TAFS,FDR,0.100000,0.082917
TREX-DA: TAFS,sd_FDR,0.100000,0.270386
TREX-DA: TAFS,TPR,0.100000,0.009000
TREX-DA: TAFS,sd_TPR,0.100000,0.032002
TREX-DA: TAFS,Avg_L,0.100000,2.145000
TREX-DA: TAFS,Avg_T,0.100000,4.885000
TREX-DA: TAFS,FDR,0.200000,0.192917
TREX-DA: TAFS,sd_FDR,0.200000,0.326626
TREX-DA: TAFS,TPR,0.200000,0.045500
TREX-DA: TAFS,sd_TPR,0.200000,0.068580
TREX-DA: TAFS,Avg_L,0.200000,3.095000
TREX-DA: TAFS,Avg_T,0.200000,5.035000
TREX-DA: TAFS,FDR,0.500000,0.210579
TREX-DA: TAFS,sd_FDR,0.500000,0.217318
TREX-DA: TAFS,TPR,0.500000,0.334000
TREX-DA: TAFS,sd_TPR,0.500000,0.162716
TREX-DA: TAFS,Avg_L,0.500000,2.235000
TREX-DA: TAFS,Avg_T,0.500000,5.190000
TREX-DA: TAFS,FDR,1.000000,0.113771
TREX-DA: TAFS,sd_FDR,1.000000,0.117773
TREX-DA: TAFS,TPR,1.000000,0.730500
TREX-DA: TAFS,sd_TPR,1.000000,0.180228
TREX-DA: TAFS,Avg_L,1.000000,1.395000
TREX-DA: TAFS,Avg_T,1.000000,4.910000
TREX-DA: TAFS,FDR,2.000000,0.076867
TREX-DA: TAFS,sd_FDR,2.000000,0.068438
TREX-DA: TAFS,TPR,2.000000,0.946500
TREX-DA: TAFS,sd_TPR,2.000000,0.114250
TREX-DA: TAFS,Avg_L,2.000000,1.030000
TREX-DA: TAFS,Avg_T,2.000000,6.255000
TREX-DA: TAFS,FDR,5.000000,0.104814
TREX-DA: TAFS,sd_FDR,5.000000,0.068523
TREX-DA: TAFS,TPR,5.000000,0.940000
TREX-DA: TAFS,sd_TPR,5.000000,0.111184
TREX-DA: TAFS,Avg_L,5.000000,1.000000
TREX-DA: TAFS,Avg_T,5.000000,6.890000
TREX-DA: TOMP,FDR,0.100000,0.097500
TREX-DA: TOMP,sd_FDR,0.100000,0.295262
TREX-DA: TOMP,TPR,0.100000,0.010500
TREX-DA: TOMP,sd_TPR,0.100000,0.033845
TREX-DA: TOMP,Avg_L,0.100000,2.540000
TREX-DA: TOMP,Avg_T,0.100000,6.695000
TREX-DA: TOMP,FDR,0.200000,0.140833
TREX-DA: TOMP,sd_FDR,0.200000,0.317944
TREX-DA: TOMP,TPR,0.200000,0.037500
TREX-DA: TOMP,sd_TPR,0.200000,0.060515
TREX-DA: TOMP,Avg_L,0.200000,3.505000
TREX-DA: TOMP,Avg_T,0.200000,6.325000
TREX-DA: TOMP,FDR,0.500000,0.166202
TREX-DA: TOMP,sd_FDR,0.500000,0.216879
TREX-DA: TOMP,TPR,0.500000,0.265000
TREX-DA: TOMP,sd_TPR,0.500000,0.142395
TREX-DA: TOMP,Avg_L,0.500000,2.550000
TREX-DA: TOMP,Avg_T,0.500000,6.205000
TREX-DA: TOMP,FDR,1.000000,0.092843
TREX-DA: TOMP,sd_FDR,1.000000,0.115781
TREX-DA: TOMP,TPR,1.000000,0.667000
TREX-DA: TOMP,sd_TPR,1.000000,0.193905
TREX-DA: TOMP,Avg_L,1.000000,1.565000
TREX-DA: TOMP,Avg_T,1.000000,5.680000
TREX-DA: TOMP,FDR,2.000000,0.048881
