method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=0.20,rho=0.30,0.053485,0.064894
EN,mean_TPP,snr=0.20,rho=0.30,0.172633,0.161577
EN+AUG,mean_FDP,snr=0.20,rho=0.30,0.053263,0.088089
EN+AUG,mean_TPP,snr=0.20,rho=0.30,0.171633,0.167825
IEN,mean_FDP,snr=0.20,rho=0.30,0.029473,0.085551
IEN,mean_TPP,snr=0.20,rho=0.30,0.075633,0.076986
EN,mean_FDP,snr=0.20,rho=0.50,0.060388,0.040175
EN,mean_TPP,snr=0.20,rho=0.50,0.444033,0.260227
EN+AUG,mean_FDP,snr=0.20,rho=0.50,0.060546,0.042391
EN+AUG,mean_TPP,snr=0.20,rho=0.50,0.460100,0.269822
IEN,mean_FDP,snr=0.20,rho=0.50,0.018973,0.034640
IEN,mean_TPP,snr=0.20,rho=0.50,0.215500,0.150330
EN,mean_FDP,snr=0.20,rho=0.70,0.070477,0.034948
EN,mean_TPP,snr=0.20,rho=0.70,0.669567,0.255374
EN+AUG,mean_FDP,snr=0.20,rho=0.70,0.071822,0.036910
EN+AUG,mean_TPP,snr=0.20,rho=0.70,0.691533,0.261111
IEN,mean_FDP,snr=0.20,rho=0.70,0.012992,0.021984
IEN,mean_TPP,snr=0.20,rho=0.70,0.383167,0.225082
EN,mean_FDP,snr=0.20,rho=0.90,0.072784,0.034277
EN,mean_TPP,snr=0.20,rho=0.90,0.796000,0.256907
EN+AUG,mean_FDP,snr=0.20,rho=0.90,0.074404,0.037101
EN+AUG,mean_TPP,snr=0.20,rho=0.90,0.811233,0.263236
IEN,mean_FDP,snr=0.20,rho=0.90,0.014261,0.017607
IEN,mean_TPP,snr=0.20,rho=0.90,0.528267,0.261540
EN,mean_FDP,snr=0.20,rho=0.95,0.069985,0.036554
EN,mean_TPP,snr=0.20,rho=0.95,0.808033,0.267784
EN+AUG,mean_FDP,snr=0.20,rho=0.95,0.073851,0.038097
EN+AUG,mean_TPP,snr=0.20,rho=0.95,0.830267,0.265729
IEN,mean_FDP,snr=0.20,rho=0.95,0.016769,0.021235
IEN,mean_TPP,snr=0.20,rho=0.95,0.554667,0.263922
EN,mean_FDP,snr=0.20,rho=0.99,0.070630,0.054201
EN,mean_TPP,snr=0.20,rho=0.99,0.790200,0.275859
EN+AUG,mean_FDP,snr=0.20,rho=0.99,0.068777,0.042327
EN+AUG,mean_TPP,snr=0.20,rho=0.99,0.815633,0.254755
IEN,mean_FDP,snr=0.20,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=0.20,rho=0.99,0.011800,0.005293
EN,mean_FDP,snr=0.50,rho=0.30,0.075026,0.028385
EN,mean_TPP,snr=0.50,rho=0.30,0.633500,0.147266
EN+AUG,mean_FDP,snr=0.50,rho=0.30,0.075839,0.029490
EN+AUG,mean_TPP,snr=0.50,rho=0.30,0.659833,0.156456
IEN,mean_FDP,snr=0.50,rho=0.30,0.013648,0.020418
