method,metric,hc_linkage,mean,sd
EN,mean_FDP,Single,0.071538,0.042921
EN,mean_TPP,Single,1.000000,0.000000
IEN,mean_FDP,Single,0.015443,0.019160
IEN,mean_TPP,Single,0.994667,0.024060
EN,mean_FDP,Complete,0.071538,0.042921
EN,mean_TPP,Complete,1.000000,0.000000
IEN,mean_FDP,Complete,0.015443,0.019160
IEN,mean_TPP,Complete,0.994667,0.024060
EN,mean_FDP,Average,0.071538,0.042921
EN,mean_TPP,Average,1.000000,0.000000
IEN,mean_FDP,Average,0.015443,0.019160
IEN,mean_TPP,Average,0.994667,0.024060
EN,mean_FDP,WPGMA,0.071538,0.042921
EN,mean_TPP,WPGMA,1.000000,0.000000
IEN,mean_FDP,WPGMA,0.015443,0.019160
IEN,mean_TPP,WPGMA,0.994667,0.024060
