method,metric,rho,mean,sd
EN,mean_FDP,0.100000,0.064151,0.033619
EN,mean_TPP,0.100000,0.426767,0.099660
EN+AUG,mean_FDP,0.100000,0.063807,0.033602
EN+AUG,mean_TPP,0.100000,0.431067,0.113191
IEN,mean_FDP,0.100000,0.020483,0.026082
IEN,mean_TPP,0.100000,0.208700,0.079012
EN,mean_FDP,0.200000,0.083261,0.024691
EN,mean_TPP,0.200000,0.840033,0.063747
EN+AUG,mean_FDP,0.200000,0.083202,0.025646
EN+AUG,mean_TPP,0.200000,0.869000,0.067396
IEN,mean_FDP,0.200000,0.009289,0.011712
IEN,mean_TPP,0.200000,0.536200,0.104281
EN,mean_FDP,0.300000,0.090577,0.024069
EN,mean_TPP,0.300000,0.960400,0.033535
EN+AUG,mean_FDP,0.300000,0.091548,0.025084
EN+AUG,mean_TPP,0.300000,0.974033,0.025654
IEN,mean_FDP,0.300000,0.005323,0.007671
IEN,mean_TPP,0.300000,0.763533,0.098132
EN,mean_FDP,0.500000,0.083870,0.035179
EN,mean_TPP,0.500000,0.997600,0.006651
EN+AUG,mean_FDP,0.500000,0.083014,0.035155
EN+AUG,mean_TPP,0.500000,0.998767,0.004070
IEN,mean_FDP,0.500000,0.008951,0.011476
IEN,mean_TPP,0.500000,0.963233,0.052904
EN,mean_FDP,0.700000,0.071538,0.042921
EN,mean_TPP,0.700000,1.000000,0.000000
EN+AUG,mean_FDP,0.700000,0.065927,0.042489
EN+AUG,mean_TPP,0.700000,1.000000,0.000000
IEN,mean_FDP,0.700000,0.015443,0.019160
IEN,mean_TPP,0.700000,0.994667,0.024060
EN,mean_FDP,0.800000,0.066277,0.044361
EN,mean_TPP,0.800000,1.000000,0.000000
EN+AUG,mean_FDP,0.800000,0.063940,0.043346
EN+AUG,mean_TPP,0.800000,1.000000,0.000000
IEN,mean_FDP,0.800000,0.017761,0.022711
IEN,mean_TPP,0.800000,0.997567,0.014812
EN,mean_FDP,0.900000,0.064993,0.044986
EN,mean_TPP,0.900000,1.000000,0.000000
EN+AUG,mean_FDP,0.900000,0.061049,0.043641
EN+AUG,mean_TPP,0.900000,1.000000,0.000000
IEN,mean_FDP,0.900000,0.015085,0.021965
IEN,mean_TPP,0.900000,0.998700,0.009884
EN,mean_FDP,0.950000,0.064348,0.044769
EN,mean_TPP,0.950000,1.000000,0.000000
EN+AUG,mean_FDP,0.950000,0.059388,0.043205
EN+AUG,mean_TPP,0.950000,1.000000,0.000000
IEN,mean_FDP,0.950000,0.014481,0.023059
IEN,mean_TPP,0.950000,0.999233,0.007387
EN,mean_FDP,0.990000,0.057939,0.040798
EN,mean_TPP,0.990000,1.000000,0.000000
EN+AUG,mean_FDP,0.990000,0.056638,0.038282
EN+AUG,mean_TPP,0.990000,1.000000,0.000000
IEN,mean_FDP,0.990000,0.000000,0.000000
IEN,mean_TPP,0.990000,0.019767,0.001228
