method,metric,snr,mean,sd
EN,mean_FDP,0.100000,0.055117,0.058168
EN,mean_TPP,0.100000,0.444400,0.337497
EN+AUG,mean_FDP,0.100000,0.053316,0.047471
EN+AUG,mean_TPP,0.100000,0.453533,0.346556
IEN,mean_FDP,0.100000,0.000000,0.000000
IEN,mean_TPP,0.100000,0.005733,0.005513
EN,mean_FDP,0.200000,0.070684,0.054237
EN,mean_TPP,0.200000,0.790300,0.275844
EN+AUG,mean_FDP,0.200000,0.067895,0.043207
EN+AUG,mean_TPP,0.200000,0.813267,0.254779
IEN,mean_FDP,0.200000,0.000000,0.000000
IEN,mean_TPP,0.200000,0.011800,0.005293
EN,mean_FDP,0.500000,0.065579,0.038919
EN,mean_TPP,0.500000,0.996767,0.031305
EN+AUG,mean_FDP,0.500000,0.066544,0.038335
EN+AUG,mean_TPP,0.500000,0.999200,0.008931
IEN,mean_FDP,0.500000,0.000000,0.000000
IEN,mean_TPP,0.500000,0.017367,0.003715
EN,mean_FDP,1.000000,0.060943,0.041695
EN,mean_TPP,1.000000,1.000000,0.000000
EN+AUG,mean_FDP,1.000000,0.056617,0.038149
EN+AUG,mean_TPP,1.000000,1.000000,0.000000
IEN,mean_FDP,1.000000,0.000000,0.000000
IEN,mean_TPP,1.000000,0.019367,0.001960
EN,mean_FDP,2.000000,0.057914,0.040750
EN,mean_TPP,2.000000,1.000000,0.000000
EN+AUG,mean_FDP,2.000000,0.056606,0.037965
EN+AUG,mean_TPP,2.000000,1.000000,0.000000
IEN,mean_FDP,2.000000,0.000000,0.000000
IEN,mean_TPP,2.000000,0.019767,0.001228
EN,mean_FDP,5.000000,0.060423,0.042186
EN,mean_TPP,5.000000,1.000000,0.000000
EN+AUG,mean_FDP,5.000000,0.056834,0.039774
EN+AUG,mean_TPP,5.000000,1.000000,0.000000
IEN,mean_FDP,5.000000,0.000000,0.000000
IEN,mean_TPP,5.000000,0.019967,0.000471
