method,metric,row_label,col_label,mean,sd
TENET,mean_FDP,snr=0.2,rho=0.3,0.037002,0.056297
TENET,mean_TPP,snr=0.2,rho=0.3,0.135467,0.142528
TENET_AUG,mean_FDP,snr=0.2,rho=0.3,0.037002,0.056297
TENET_AUG,mean_TPP,snr=0.2,rho=0.3,0.135467,0.142528
TIENET_AUG,mean_FDP,snr=0.2,rho=0.3,0.021138,0.047624
TIENET_AUG,mean_TPP,snr=0.2,rho=0.3,0.066233,0.071434
TENET,mean_FDP,snr=0.2,rho=0.5,0.057953,0.038831
TENET,mean_TPP,snr=0.2,rho=0.5,0.426367,0.239730
TENET_AUG,mean_FDP,snr=0.2,rho=0.5,0.057953,0.038831
TENET_AUG,mean_TPP,snr=0.2,rho=0.5,0.426367,0.239730
TIENET_AUG,mean_FDP,snr=0.2,rho=0.5,0.019655,0.033759
TIENET_AUG,mean_TPP,snr=0.2,rho=0.5,0.203567,0.137752
TENET,mean_FDP,snr=0.2,rho=0.7,0.065563,0.034818
TENET,mean_TPP,snr=0.2,rho=0.7,0.653633,0.260850
TENET_AUG,mean_FDP,snr=0.2,rho=0.7,0.065563,0.034818
TENET_AUG,mean_TPP,snr=0.2,rho=0.7,0.653633,0.260850
TIENET_AUG,mean_FDP,snr=0.2,rho=0.7,0.012991,0.020893
TIENET_AUG,mean_TPP,snr=0.2,rho=0.7,0.367467,0.210622
TENET,mean_FDP,snr=0.2,rho=0.9,0.068409,0.034466
TENET,mean_TPP,snr=0.2,rho=0.9,0.794033,0.259909
TENET_AUG,mean_FDP,snr=0.2,rho=0.9,0.068409,0.034466
TENET_AUG,mean_TPP,snr=0.2,rho=0.9,0.794033,0.259909
TIENET_AUG,mean_FDP,snr=0.2,rho=0.9,0.013956,0.018779
TIENET_AUG,mean_TPP,snr=0.2,rho=0.9,0.524200,0.253990
TENET,mean_FDP,snr=0.2,rho=0.95,0.070828,0.032446
TENET,mean_TPP,snr=0.2,rho=0.95,0.827933,0.243403
TENET_AUG,mean_FDP,snr=0.2,rho=0.95,0.070828,0.032446
TENET_AUG,mean_TPP,snr=0.2,rho=0.95,0.827933,0.243403
TIENET_AUG,mean_FDP,snr=0.2,rho=0.95,0.016710,0.021809
TIENET_AUG,mean_TPP,snr=0.2,rho=0.95,0.564933,0.252446
TENET,mean_FDP,snr=0.2,rho=0.99,0.068613,0.040042
TENET,mean_TPP,snr=0.2,rho=0.99,0.825833,0.241731
TENET_AUG,mean_FDP,snr=0.2,rho=0.99,0.068613,0.040042
TENET_AUG,mean_TPP,snr=0.2,rho=0.99,0.825833,0.241731
TIENET_AUG,mean_FDP,snr=0.2,rho=0.99,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=0.2,rho=0.99,0.011900,0.005587
TENET,mean_FDP,snr=0.5,rho=0.3,0.067004,0.029274
TENET,mean_TPP,snr=0.5,rho=0.3,0.606467,0.141094
TENET_AUG,mean_FDP,snr=0.5,rho=0.3,0.067004,0.029274
TENET_AUG,mean_TPP,snr=0.5,rho=0.3,0.606467,0.141094
TIENET_AUG,mean_FDP,snr=0.5,rho=0.3,0.013849,0.019936
TIENET_AUG,mean_TPP,snr=0.5,rho=0.3,0.319600,0.119757
TENET,mean_FDP,snr=0.5,rho=0.5,0.079379,0.026135
TENET,mean_TPP,snr=0.5,rho=0.5,0.900233,0.085955
TENET_AUG,mean_FDP,snr=0.5,rho=0.5,0.079379,0.026135
TENET_AUG,mean_TPP,snr=0.5,rho=0.5,0.900233,0.085955
TIENET_AUG,mean_FDP,snr=0.5,rho=0.5,0.007658,0.011134
TIENET_AUG,mean_TPP,snr=0.5,rho=0.5,0.609200,0.145926
TENET,mean_FDP,snr=0.5,rho=0.7,0.084504,0.027074
TENET,mean_TPP,snr=0.5,rho=0.7,0.982567,0.036360
TENET_AUG,mean_FDP,snr=0.5,rho=0.7,0.084504,0.027074
TENET_AUG,mean_TPP,snr=0.5,rho=0.7,0.982567,0.036360
TIENET_AUG,mean_FDP,snr=0.5,rho=0.7,0.009815,0.013677
TIENET_AUG,mean_TPP,snr=0.5,rho=0.7,0.824167,0.147896
TENET,mean_FDP,snr=0.5,rho=0.9,0.074849,0.037277
TENET,mean_TPP,snr=0.5,rho=0.9,0.997067,0.022896
TENET_AUG,mean_FDP,snr=0.5,rho=0.9,0.074849,0.037277
TENET_AUG,mean_TPP,snr=0.5,rho=0.9,0.997067,0.022896
TIENET_AUG,mean_FDP,snr=0.5,rho=0.9,0.022524,0.024514
TIENET_AUG,mean_TPP,snr=0.5,rho=0.9,0.914167,0.138086
TENET,mean_FDP,snr=0.5,rho=0.95,0.069777,0.040241
TENET,mean_TPP,snr=0.5,rho=0.95,0.995700,0.034714
TENET_AUG,mean_FDP,snr=0.5,rho=0.95,0.069777,0.040241
TENET_AUG,mean_TPP,snr=0.5,rho=0.95,0.995700,0.034714
TIENET_AUG,mean_FDP,snr=0.5,rho=0.95,0.023847,0.026017
TIENET_AUG,mean_TPP,snr=0.5,rho=0.95,0.920800,0.140742
TENET,mean_FDP,snr=0.5,rho=0.99,0.063459,0.040666
TENET,mean_TPP,snr=0.5,rho=0.99,0.995567,0.036166
TENET_AUG,mean_FDP,snr=0.5,rho=0.99,0.063459,0.040666
TENET_AUG,mean_TPP,snr=0.5,rho=0.99,0.995567,0.036166
TIENET_AUG,mean_FDP,snr=0.5,rho=0.99,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=0.5,rho=0.99,0.017400,0.003885
TENET,mean_FDP,snr=1,rho=0.3,0.080196,0.023607
TENET,mean_TPP,snr=1,rho=0.3,0.875467,0.061388
TENET_AUG,mean_FDP,snr=1,rho=0.3,0.080196,0.023607
TENET_AUG,mean_TPP,snr=1,rho=0.3,0.875467,0.061388
TIENET_AUG,mean_FDP,snr=1,rho=0.3,0.008772,0.011587
TIENET_AUG,mean_TPP,snr=1,rho=0.3,0.570267,0.109224
TENET,mean_FDP,snr=1,rho=0.5,0.087573,0.024201
TENET,mean_TPP,snr=1,rho=0.5,0.988300,0.019411
TENET_AUG,mean_FDP,snr=1,rho=0.5,0.087573,0.024201
TENET_AUG,mean_TPP,snr=1,rho=0.5,0.988300,0.019411
TIENET_AUG,mean_FDP,snr=1,rho=0.5,0.006746,0.009629
TIENET_AUG,mean_TPP,snr=1,rho=0.5,0.864067,0.099342
TENET,mean_FDP,snr=1,rho=0.7,0.072423,0.036581
TENET,mean_TPP,snr=1,rho=0.7,0.999400,0.003218
TENET_AUG,mean_FDP,snr=1,rho=0.7,0.072423,0.036581
TENET_AUG,mean_TPP,snr=1,rho=0.7,0.999400,0.003218
TIENET_AUG,mean_FDP,snr=1,rho=0.7,0.017375,0.020777
TIENET_AUG,mean_TPP,snr=1,rho=0.7,0.968700,0.063546
TENET,mean_FDP,snr=1,rho=0.9,0.062966,0.042173
TENET,mean_TPP,snr=1,rho=0.9,1.000000,0.000000
TENET_AUG,mean_FDP,snr=1,rho=0.9,0.062966,0.042173
TENET_AUG,mean_TPP,snr=1,rho=0.9,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=1,rho=0.9,0.025773,0.025385
TIENET_AUG,mean_TPP,snr=1,rho=0.9,0.990200,0.043421
TENET,mean_FDP,snr=1,rho=0.95,0.059843,0.042407
TENET,mean_TPP,snr=1,rho=0.95,1.000000,0.000000
TENET_AUG,mean_FDP,snr=1,rho=0.95,0.059843,0.042407
TENET_AUG,mean_TPP,snr=1,rho=0.95,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=1,rho=0.95,0.021965,0.024895
TIENET_AUG,mean_TPP,snr=1,rho=0.95,0.991767,0.041107
TENET,mean_FDP,snr=1,rho=0.99,0.057942,0.039199
TENET,mean_TPP,snr=1,rho=0.99,1.000000,0.000000
TENET_AUG,mean_FDP,snr=1,rho=0.99,0.057942,0.039199
TENET_AUG,mean_TPP,snr=1,rho=0.99,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=1,rho=0.99,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=1,rho=0.99,0.019533,0.001705
TENET,mean_FDP,snr=2,rho=0.3,0.084740,0.022695
TENET,mean_TPP,snr=2,rho=0.3,0.961267,0.028161
TENET_AUG,mean_FDP,snr=2,rho=0.3,0.084740,0.022695
TENET_AUG,mean_TPP,snr=2,rho=0.3,0.961267,0.028161
TIENET_AUG,mean_FDP,snr=2,rho=0.3,0.005906,0.009051
TIENET_AUG,mean_TPP,snr=2,rho=0.3,0.759433,0.095446
TENET,mean_FDP,snr=2,rho=0.5,0.079561,0.031414
TENET,mean_TPP,snr=2,rho=0.5,0.998533,0.004288
TENET_AUG,mean_FDP,snr=2,rho=0.5,0.079561,0.031414
TENET_AUG,mean_TPP,snr=2,rho=0.5,0.998533,0.004288
TIENET_AUG,mean_FDP,snr=2,rho=0.5,0.011756,0.014665
TIENET_AUG,mean_TPP,snr=2,rho=0.5,0.967767,0.047428
TENET,mean_FDP,snr=2,rho=0.7,0.065398,0.039653
TENET,mean_TPP,snr=2,rho=0.7,0.999967,0.000471
TENET_AUG,mean_FDP,snr=2,rho=0.7,0.065398,0.039653
TENET_AUG,mean_TPP,snr=2,rho=0.7,0.999967,0.000471
TIENET_AUG,mean_FDP,snr=2,rho=0.7,0.017782,0.022235
TIENET_AUG,mean_TPP,snr=2,rho=0.7,0.995867,0.021745
TENET,mean_FDP,snr=2,rho=0.9,0.057131,0.040087
TENET,mean_TPP,snr=2,rho=0.9,1.000000,0.000000
TENET_AUG,mean_FDP,snr=2,rho=0.9,0.057131,0.040087
TENET_AUG,mean_TPP,snr=2,rho=0.9,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=2,rho=0.9,0.018179,0.024518
TIENET_AUG,mean_TPP,snr=2,rho=0.9,0.999067,0.011084
TENET,mean_FDP,snr=2,rho=0.95,0.057442,0.040595
TENET,mean_TPP,snr=2,rho=0.95,1.000000,0.000000
TENET_AUG,mean_FDP,snr=2,rho=0.95,0.057442,0.040595
TENET_AUG,mean_TPP,snr=2,rho=0.95,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=2,rho=0.95,0.014240,0.022698
