method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=0.20,rho=0.30,0.042762,0.061447
EN,mean_TPP,snr=0.20,rho=0.30,0.146167,0.144426
EN+AUG,mean_FDP,snr=0.20,rho=0.30,0.038021,0.055087
EN+AUG,mean_TPP,snr=0.20,rho=0.30,0.141600,0.150533
IEN,mean_FDP,snr=0.20,rho=0.30,0.021138,0.047624
IEN,mean_TPP,snr=0.20,rho=0.30,0.066233,0.071434
EN,mean_FDP,snr=0.20,rho=0.50,0.059466,0.040401
EN,mean_TPP,snr=0.20,rho=0.50,0.432600,0.235718
EN+AUG,mean_FDP,snr=0.20,rho=0.50,0.060572,0.040505
EN+AUG,mean_TPP,snr=0.20,rho=0.50,0.449533,0.255672
IEN,mean_FDP,snr=0.20,rho=0.50,0.019655,0.033759
IEN,mean_TPP,snr=0.20,rho=0.50,0.203567,0.137752
EN,mean_FDP,snr=0.20,rho=0.70,0.067244,0.034337
EN,mean_TPP,snr=0.20,rho=0.70,0.662267,0.249892
EN+AUG,mean_FDP,snr=0.20,rho=0.70,0.068714,0.036676
EN+AUG,mean_TPP,snr=0.20,rho=0.70,0.683800,0.265921
IEN,mean_FDP,snr=0.20,rho=0.70,0.012991,0.020893
IEN,mean_TPP,snr=0.20,rho=0.70,0.367467,0.210622
EN,mean_FDP,snr=0.20,rho=0.90,0.071590,0.032477
EN,mean_TPP,snr=0.20,rho=0.90,0.810200,0.241604
EN+AUG,mean_FDP,snr=0.20,rho=0.90,0.069263,0.035494
EN+AUG,mean_TPP,snr=0.20,rho=0.90,0.816100,0.260736
IEN,mean_FDP,snr=0.20,rho=0.90,0.013956,0.018779
IEN,mean_TPP,snr=0.20,rho=0.90,0.524200,0.253990
EN,mean_FDP,snr=0.20,rho=0.95,0.068619,0.034437
EN,mean_TPP,snr=0.20,rho=0.95,0.817567,0.258898
EN+AUG,mean_FDP,snr=0.20,rho=0.95,0.070143,0.033458
EN+AUG,mean_TPP,snr=0.20,rho=0.95,0.847033,0.243932
IEN,mean_FDP,snr=0.20,rho=0.95,0.016710,0.021809
IEN,mean_TPP,snr=0.20,rho=0.95,0.564933,0.252446
EN,mean_FDP,snr=0.20,rho=0.99,0.068820,0.040122
EN,mean_TPP,snr=0.20,rho=0.99,0.824167,0.247644
EN+AUG,mean_FDP,snr=0.20,rho=0.99,0.069672,0.040058
EN+AUG,mean_TPP,snr=0.20,rho=0.99,0.844733,0.237655
IEN,mean_FDP,snr=0.20,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=0.20,rho=0.99,0.011900,0.005587
EN,mean_FDP,snr=0.50,rho=0.30,0.069039,0.028041
EN,mean_TPP,snr=0.50,rho=0.30,0.615333,0.134677
EN+AUG,mean_FDP,snr=0.50,rho=0.30,0.067674,0.028009
EN+AUG,mean_TPP,snr=0.50,rho=0.30,0.640867,0.148027
IEN,mean_FDP,snr=0.50,rho=0.30,0.013849,0.019936
IEN,mean_TPP,snr=0.50,rho=0.30,0.319600,0.119757
EN,mean_FDP,snr=0.50,rho=0.50,0.081238,0.025676
EN,mean_TPP,snr=0.50,rho=0.50,0.906000,0.078099
EN+AUG,mean_FDP,snr=0.50,rho=0.50,0.082822,0.026408
EN+AUG,mean_TPP,snr=0.50,rho=0.50,0.925200,0.083079
IEN,mean_FDP,snr=0.50,rho=0.50,0.007658,0.011134
IEN,mean_TPP,snr=0.50,rho=0.50,0.609200,0.145926
EN,mean_FDP,snr=0.50,rho=0.70,0.084594,0.027805
EN,mean_TPP,snr=0.50,rho=0.70,0.982500,0.036530
EN+AUG,mean_FDP,snr=0.50,rho=0.70,0.085638,0.030215
EN+AUG,mean_TPP,snr=0.50,rho=0.70,0.989100,0.027493
IEN,mean_FDP,snr=0.50,rho=0.70,0.009815,0.013677
IEN,mean_TPP,snr=0.50,rho=0.70,0.824167,0.147896
EN,mean_FDP,snr=0.50,rho=0.90,0.078229,0.037135
EN,mean_TPP,snr=0.50,rho=0.90,0.997867,0.013611
EN+AUG,mean_FDP,snr=0.50,rho=0.90,0.075650,0.038608
EN+AUG,mean_TPP,snr=0.50,rho=0.90,0.999500,0.003836
IEN,mean_FDP,snr=0.50,rho=0.90,0.022524,0.024514
IEN,mean_TPP,snr=0.50,rho=0.90,0.914167,0.138086
EN,mean_FDP,snr=0.50,rho=0.95,0.074009,0.039749
EN,mean_TPP,snr=0.50,rho=0.95,0.999300,0.005765
