method,metric,rho,mean,sd
EN,mean_FDP,0.100000,0.060982,0.031091
EN,mean_TPP,0.100000,0.416133,0.094348
EN+AUG,mean_FDP,0.100000,0.060484,0.032020
EN+AUG,mean_TPP,0.100000,0.421300,0.104050
IEN,mean_FDP,0.100000,0.020929,0.029650
IEN,mean_TPP,0.100000,0.205700,0.072528
EN,mean_FDP,0.200000,0.078094,0.024243
EN,mean_TPP,0.200000,0.834633,0.059990
EN+AUG,mean_FDP,0.200000,0.078160,0.024028
EN+AUG,mean_TPP,0.200000,0.867200,0.055755
IEN,mean_FDP,0.200000,0.010380,0.012073
IEN,mean_TPP,0.200000,0.530233,0.099434
EN,mean_FDP,0.300000,0.085556,0.023549
EN,mean_TPP,0.300000,0.961933,0.027755
EN+AUG,mean_FDP,0.300000,0.086470,0.024235
EN+AUG,mean_TPP,0.300000,0.975700,0.021625
IEN,mean_FDP,0.300000,0.005906,0.009051
IEN,mean_TPP,0.300000,0.759433,0.095446
EN,mean_FDP,0.500000,0.079348,0.031573
EN,mean_TPP,0.500000,0.998633,0.004190
EN+AUG,mean_FDP,0.500000,0.079473,0.034857
EN+AUG,mean_TPP,0.500000,0.999300,0.002623
IEN,mean_FDP,0.500000,0.011756,0.014665
IEN,mean_TPP,0.500000,0.967767,0.047428
EN,mean_FDP,0.700000,0.068038,0.040237
EN,mean_TPP,0.700000,0.999967,0.000471
EN+AUG,mean_FDP,0.700000,0.065246,0.041904
EN+AUG,mean_TPP,0.700000,1.000000,0.000000
IEN,mean_FDP,0.700000,0.017782,0.022235
IEN,mean_TPP,0.700000,0.995867,0.021745
EN,mean_FDP,0.800000,0.064475,0.039924
EN,mean_TPP,0.800000,1.000000,0.000000
EN+AUG,mean_FDP,0.800000,0.063230,0.042716
EN+AUG,mean_TPP,0.800000,1.000000,0.000000
IEN,mean_FDP,0.800000,0.015834,0.021770
IEN,mean_TPP,0.800000,0.998067,0.016007
EN,mean_FDP,0.900000,0.060171,0.040695
EN,mean_TPP,0.900000,1.000000,0.000000
EN+AUG,mean_FDP,0.900000,0.061019,0.042926
EN+AUG,mean_TPP,0.900000,1.000000,0.000000
IEN,mean_FDP,0.900000,0.018179,0.024518
IEN,mean_TPP,0.900000,0.999067,0.011084
EN,mean_FDP,0.950000,0.061206,0.041576
EN,mean_TPP,0.950000,1.000000,0.000000
EN+AUG,mean_FDP,0.950000,0.058480,0.043072
EN+AUG,mean_TPP,0.950000,1.000000,0.000000
IEN,mean_FDP,0.950000,0.014240,0.022698
IEN,mean_TPP,0.950000,0.998867,0.013861
EN,mean_FDP,0.990000,0.058067,0.037410
EN,mean_TPP,0.990000,1.000000,0.000000
EN+AUG,mean_FDP,0.990000,0.057645,0.039132
EN+AUG,mean_TPP,0.990000,1.000000,0.000000
IEN,mean_FDP,0.990000,0.000000,0.000000
IEN,mean_TPP,0.990000,0.019867,0.000936
