method,metric,row_label,col_label,mean,sd
TENET,mean_FDP,snr=0.2,rho=0.3,0.052112,0.040675
TENET,mean_TPP,snr=0.2,rho=0.3,0.330800,0.185645
TENET_AUG,mean_FDP,snr=0.2,rho=0.3,0.052112,0.040675
TENET_AUG,mean_TPP,snr=0.2,rho=0.3,0.330800,0.185645
TIENET_AUG,mean_FDP,snr=0.2,rho=0.3,0.017095,0.034504
TIENET_AUG,mean_TPP,snr=0.2,rho=0.3,0.175933,0.122649
TENET,mean_FDP,snr=0.2,rho=0.5,0.064163,0.041542
TENET,mean_TPP,snr=0.2,rho=0.5,0.585000,0.196824
TENET_AUG,mean_FDP,snr=0.2,rho=0.5,0.064163,0.041542
TENET_AUG,mean_TPP,snr=0.2,rho=0.5,0.585000,0.196824
TIENET_AUG,mean_FDP,snr=0.2,rho=0.5,0.011071,0.021865
TIENET_AUG,mean_TPP,snr=0.2,rho=0.5,0.377533,0.176723
TENET,mean_FDP,snr=0.2,rho=0.7,0.070749,0.049833
TENET,mean_TPP,snr=0.2,rho=0.7,0.712500,0.176563
TENET_AUG,mean_FDP,snr=0.2,rho=0.7,0.070749,0.049833
TENET_AUG,mean_TPP,snr=0.2,rho=0.7,0.712500,0.176563
TIENET_AUG,mean_FDP,snr=0.2,rho=0.7,0.011604,0.017562
TIENET_AUG,mean_TPP,snr=0.2,rho=0.7,0.544200,0.176081
TENET,mean_FDP,snr=0.2,rho=0.85,0.069407,0.056335
TENET,mean_TPP,snr=0.2,rho=0.85,0.762867,0.174689
TENET_AUG,mean_FDP,snr=0.2,rho=0.85,0.069407,0.056335
TENET_AUG,mean_TPP,snr=0.2,rho=0.85,0.762867,0.174689
TIENET_AUG,mean_FDP,snr=0.2,rho=0.85,0.016012,0.022979
TIENET_AUG,mean_TPP,snr=0.2,rho=0.85,0.617333,0.181382
TENET,mean_FDP,snr=0.2,rho=0.9,0.068407,0.059784
TENET,mean_TPP,snr=0.2,rho=0.9,0.772800,0.179160
TENET_AUG,mean_FDP,snr=0.2,rho=0.9,0.068407,0.059784
TENET_AUG,mean_TPP,snr=0.2,rho=0.9,0.772800,0.179160
TIENET_AUG,mean_FDP,snr=0.2,rho=0.9,0.017711,0.023853
TIENET_AUG,mean_TPP,snr=0.2,rho=0.9,0.629400,0.185758
TENET,mean_FDP,snr=0.2,rho=0.95,0.065222,0.063085
TENET,mean_TPP,snr=0.2,rho=0.95,0.781900,0.184491
TENET_AUG,mean_FDP,snr=0.2,rho=0.95,0.065222,0.063085
TENET_AUG,mean_TPP,snr=0.2,rho=0.95,0.781900,0.184491
TIENET_AUG,mean_FDP,snr=0.2,rho=0.95,0.020008,0.028246
TIENET_AUG,mean_TPP,snr=0.2,rho=0.95,0.639167,0.181451
TENET,mean_FDP,snr=0.2,rho=0.99,0.070293,0.062699
TENET,mean_TPP,snr=0.2,rho=0.99,0.784100,0.175507
TENET_AUG,mean_FDP,snr=0.2,rho=0.99,0.070293,0.062699
TENET_AUG,mean_TPP,snr=0.2,rho=0.99,0.784100,0.175507
TIENET_AUG,mean_FDP,snr=0.2,rho=0.99,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=0.2,rho=0.99,0.006767,0.002163
TENET,mean_FDP,snr=0.5,rho=0.3,0.072366,0.029014
TENET,mean_TPP,snr=0.5,rho=0.3,0.694733,0.093184
TENET_AUG,mean_FDP,snr=0.5,rho=0.3,0.072366,0.029014
TENET_AUG,mean_TPP,snr=0.5,rho=0.3,0.694733,0.093184
TIENET_AUG,mean_FDP,snr=0.5,rho=0.3,0.007176,0.012728
TIENET_AUG,mean_TPP,snr=0.5,rho=0.3,0.460033,0.114769
TENET,mean_FDP,snr=0.5,rho=0.5,0.077460,0.035465
TENET,mean_TPP,snr=0.5,rho=0.5,0.825567,0.083945
TENET_AUG,mean_FDP,snr=0.5,rho=0.5,0.077460,0.035465
TENET_AUG,mean_TPP,snr=0.5,rho=0.5,0.825567,0.083945
TIENET_AUG,mean_FDP,snr=0.5,rho=0.5,0.007684,0.013955
TIENET_AUG,mean_TPP,snr=0.5,rho=0.5,0.654167,0.105557
TENET,mean_FDP,snr=0.5,rho=0.7,0.076021,0.043656
TENET,mean_TPP,snr=0.5,rho=0.7,0.877333,0.075018
TENET_AUG,mean_FDP,snr=0.5,rho=0.7,0.076021,0.043656
TENET_AUG,mean_TPP,snr=0.5,rho=0.7,0.877333,0.075018
TIENET_AUG,mean_FDP,snr=0.5,rho=0.7,0.009500,0.017886
TIENET_AUG,mean_TPP,snr=0.5,rho=0.7,0.730600,0.120791
TENET,mean_FDP,snr=0.5,rho=0.85,0.069967,0.051550
TENET,mean_TPP,snr=0.5,rho=0.85,0.894900,0.071942
TENET_AUG,mean_FDP,snr=0.5,rho=0.85,0.069967,0.051550
TENET_AUG,mean_TPP,snr=0.5,rho=0.85,0.894900,0.071942
TIENET_AUG,mean_FDP,snr=0.5,rho=0.85,0.011434,0.018775
TIENET_AUG,mean_TPP,snr=0.5,rho=0.85,0.751000,0.135577
TENET,mean_FDP,snr=0.5,rho=0.9,0.067439,0.054746
TENET,mean_TPP,snr=0.5,rho=0.9,0.897667,0.073862
TENET_AUG,mean_FDP,snr=0.5,rho=0.9,0.067439,0.054746
TENET_AUG,mean_TPP,snr=0.5,rho=0.9,0.897667,0.073862
TIENET_AUG,mean_FDP,snr=0.5,rho=0.9,0.012703,0.021647
TIENET_AUG,mean_TPP,snr=0.5,rho=0.9,0.752167,0.139965
TENET,mean_FDP,snr=0.5,rho=0.95,0.065273,0.058066
TENET,mean_TPP,snr=0.5,rho=0.95,0.899433,0.075468
TENET_AUG,mean_FDP,snr=0.5,rho=0.95,0.065273,0.058066
TENET_AUG,mean_TPP,snr=0.5,rho=0.95,0.899433,0.075468
TIENET_AUG,mean_FDP,snr=0.5,rho=0.95,0.013541,0.022691
TIENET_AUG,mean_TPP,snr=0.5,rho=0.95,0.752067,0.149045
TENET,mean_FDP,snr=0.5,rho=0.99,0.066039,0.055430
TENET,mean_TPP,snr=0.5,rho=0.99,0.898367,0.077500
TENET_AUG,mean_FDP,snr=0.5,rho=0.99,0.066039,0.055430
TENET_AUG,mean_TPP,snr=0.5,rho=0.99,0.898367,0.077500
TIENET_AUG,mean_FDP,snr=0.5,rho=0.99,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=0.5,rho=0.99,0.007300,0.001960
TENET,mean_FDP,snr=1,rho=0.3,0.079501,0.027681
TENET,mean_TPP,snr=1,rho=0.3,0.813767,0.066108
TENET_AUG,mean_FDP,snr=1,rho=0.3,0.079501,0.027681
TENET_AUG,mean_TPP,snr=1,rho=0.3,0.813767,0.066108
TIENET_AUG,mean_FDP,snr=1,rho=0.3,0.004150,0.007791
TIENET_AUG,mean_TPP,snr=1,rho=0.3,0.622300,0.084659
TENET,mean_FDP,snr=1,rho=0.5,0.079266,0.035116
TENET,mean_TPP,snr=1,rho=0.5,0.889833,0.050956
TENET_AUG,mean_FDP,snr=1,rho=0.5,0.079266,0.035116
TENET_AUG,mean_TPP,snr=1,rho=0.5,0.889833,0.050956
TIENET_AUG,mean_FDP,snr=1,rho=0.5,0.005365,0.012078
TIENET_AUG,mean_TPP,snr=1,rho=0.5,0.742800,0.100674
TENET,mean_FDP,snr=1,rho=0.7,0.076218,0.043080
TENET,mean_TPP,snr=1,rho=0.7,0.915500,0.049076
TENET_AUG,mean_FDP,snr=1,rho=0.7,0.076218,0.043080
TENET_AUG,mean_TPP,snr=1,rho=0.7,0.915500,0.049076
TIENET_AUG,mean_FDP,snr=1,rho=0.7,0.007372,0.015883
TIENET_AUG,mean_TPP,snr=1,rho=0.7,0.786900,0.114837
TENET,mean_FDP,snr=1,rho=0.85,0.067363,0.049398
TENET,mean_TPP,snr=1,rho=0.85,0.923133,0.055145
TENET_AUG,mean_FDP,snr=1,rho=0.85,0.067363,0.049398
TENET_AUG,mean_TPP,snr=1,rho=0.85,0.923133,0.055145
TIENET_AUG,mean_FDP,snr=1,rho=0.85,0.009848,0.019670
TIENET_AUG,mean_TPP,snr=1,rho=0.85,0.800433,0.121820
TENET,mean_FDP,snr=1,rho=0.9,0.062750,0.050415
TENET,mean_TPP,snr=1,rho=0.9,0.924000,0.058742
TENET_AUG,mean_FDP,snr=1,rho=0.9,0.062750,0.050415
TENET_AUG,mean_TPP,snr=1,rho=0.9,0.924000,0.058742
TIENET_AUG,mean_FDP,snr=1,rho=0.9,0.008774,0.017831
TIENET_AUG,mean_TPP,snr=1,rho=0.9,0.798533,0.130016
TENET,mean_FDP,snr=1,rho=0.95,0.061749,0.053650
TENET,mean_TPP,snr=1,rho=0.95,0.924933,0.061792
TENET_AUG,mean_FDP,snr=1,rho=0.95,0.061749,0.053650
TENET_AUG,mean_TPP,snr=1,rho=0.95,0.924933,0.061792
TIENET_AUG,mean_FDP,snr=1,rho=0.95,0.010469,0.017264
TIENET_AUG,mean_TPP,snr=1,rho=0.95,0.800933,0.132810
TENET,mean_FDP,snr=1,rho=0.99,0.058801,0.039771
TENET,mean_TPP,snr=1,rho=0.99,0.924567,0.064399
TENET_AUG,mean_FDP,snr=1,rho=0.99,0.058801,0.039771
TENET_AUG,mean_TPP,snr=1,rho=0.99,0.924567,0.064399
TIENET_AUG,mean_FDP,snr=1,rho=0.99,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=1,rho=0.99,0.007333,0.002005
TENET,mean_FDP,snr=2,rho=0.3,0.082203,0.026988
TENET,mean_TPP,snr=2,rho=0.3,0.866867,0.047583
TENET_AUG,mean_FDP,snr=2,rho=0.3,0.082203,0.026988
TENET_AUG,mean_TPP,snr=2,rho=0.3,0.866867,0.047583
TIENET_AUG,mean_FDP,snr=2,rho=0.3,0.003078,0.007100
TIENET_AUG,mean_TPP,snr=2,rho=0.3,0.705133,0.080705
TENET,mean_FDP,snr=2,rho=0.5,0.080043,0.036601
TENET,mean_TPP,snr=2,rho=0.5,0.914267,0.041075
TENET_AUG,mean_FDP,snr=2,rho=0.5,0.080043,0.036601
TENET_AUG,mean_TPP,snr=2,rho=0.5,0.914267,0.041075
TIENET_AUG,mean_FDP,snr=2,rho=0.5,0.003545,0.010207
TIENET_AUG,mean_TPP,snr=2,rho=0.5,0.784667,0.092909
TENET,mean_FDP,snr=2,rho=0.7,0.072960,0.042612
TENET,mean_TPP,snr=2,rho=0.7,0.930767,0.049397
TENET_AUG,mean_FDP,snr=2,rho=0.7,0.072960,0.042612
TENET_AUG,mean_TPP,snr=2,rho=0.7,0.930767,0.049397
TIENET_AUG,mean_FDP,snr=2,rho=0.7,0.005142,0.011685
TIENET_AUG,mean_TPP,snr=2,rho=0.7,0.824833,0.098464
TENET,mean_FDP,snr=2,rho=0.85,0.068046,0.047149
TENET,mean_TPP,snr=2,rho=0.85,0.938100,0.057101
TENET_AUG,mean_FDP,snr=2,rho=0.85,0.068046,0.047149
TENET_AUG,mean_TPP,snr=2,rho=0.85,0.938100,0.057101
TIENET_AUG,mean_FDP,snr=2,rho=0.85,0.006047,0.012795
TIENET_AUG,mean_TPP,snr=2,rho=0.85,0.839800,0.104044
TENET,mean_FDP,snr=2,rho=0.9,0.066960,0.047971
TENET,mean_TPP,snr=2,rho=0.9,0.940433,0.059004
TENET_AUG,mean_FDP,snr=2,rho=0.9,0.066960,0.047971
TENET_AUG,mean_TPP,snr=2,rho=0.9,0.940433,0.059004
TIENET_AUG,mean_FDP,snr=2,rho=0.9,0.005659,0.013802
TIENET_AUG,mean_TPP,snr=2,rho=0.9,0.840933,0.108025
TENET,mean_FDP,snr=2,rho=0.95,0.063666,0.053591
TENET,mean_TPP,snr=2,rho=0.95,0.941133,0.061586
TENET_AUG,mean_FDP,snr=2,rho=0.95,0.063666,0.053591
TENET_AUG,mean_TPP,snr=2,rho=0.95,0.941133,0.061586
TIENET_AUG,mean_FDP,snr=2,rho=0.95,0.006818,0.015105
TIENET_AUG,mean_TPP,snr=2,rho=0.95,0.839467,0.118514
TENET,mean_FDP,snr=2,rho=0.99,0.062353,0.044528
TENET,mean_TPP,snr=2,rho=0.99,0.941400,0.062922
TENET_AUG,mean_FDP,snr=2,rho=0.99,0.062353,0.044528
TENET_AUG,mean_TPP,snr=2,rho=0.99,0.941400,0.062922
TIENET_AUG,mean_FDP,snr=2,rho=0.99,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=2,rho=0.99,0.007200,0.001932
TENET,mean_FDP,snr=5,rho=0.3,0.080559,0.028107
TENET,mean_TPP,snr=5,rho=0.3,0.894100,0.036110
TENET_AUG,mean_FDP,snr=5,rho=0.3,0.080559,0.028107
TENET_AUG,mean_TPP,snr=5,rho=0.3,0.894100,0.036110
TIENET_AUG,mean_FDP,snr=5,rho=0.3,0.001297,0.003505
TIENET_AUG,mean_TPP,snr=5,rho=0.3,0.752467,0.078348
TENET,mean_FDP,snr=5,rho=0.5,0.077421,0.037434
TENET,mean_TPP,snr=5,rho=0.5,0.927000,0.041522
TENET_AUG,mean_FDP,snr=5,rho=0.5,0.077421,0.037434
TENET_AUG,mean_TPP,snr=5,rho=0.5,0.927000,0.041522
TIENET_AUG,mean_FDP,snr=5,rho=0.5,0.002005,0.006196
TIENET_AUG,mean_TPP,snr=5,rho=0.5,0.820500,0.082920
TENET,mean_FDP,snr=5,rho=0.7,0.075021,0.042994
TENET,mean_TPP,snr=5,rho=0.7,0.944167,0.049427
TENET_AUG,mean_FDP,snr=5,rho=0.7,0.075021,0.042994
TENET_AUG,mean_TPP,snr=5,rho=0.7,0.944167,0.049427
TIENET_AUG,mean_FDP,snr=5,rho=0.7,0.002692,0.007922
TIENET_AUG,mean_TPP,snr=5,rho=0.7,0.851467,0.082456
TENET,mean_FDP,snr=5,rho=0.85,0.073126,0.051023
TENET,mean_TPP,snr=5,rho=0.85,0.954567,0.054906
TENET_AUG,mean_FDP,snr=5,rho=0.85,0.073126,0.051023
TENET_AUG,mean_TPP,snr=5,rho=0.85,0.954567,0.054906
TIENET_AUG,mean_FDP,snr=5,rho=0.85,0.002894,0.007781
TIENET_AUG,mean_TPP,snr=5,rho=0.85,0.865700,0.083712
TENET,mean_FDP,snr=5,rho=0.9,0.069603,0.052226
TENET,mean_TPP,snr=5,rho=0.9,0.956967,0.056334
TENET_AUG,mean_FDP,snr=5,rho=0.9,0.069603,0.052226
TENET_AUG,mean_TPP,snr=5,rho=0.9,0.956967,0.056334
TIENET_AUG,mean_FDP,snr=5,rho=0.9,0.002318,0.006888
TIENET_AUG,mean_TPP,snr=5,rho=0.9,0.865533,0.086941
TENET,mean_FDP,snr=5,rho=0.95,0.068070,0.057018
TENET,mean_TPP,snr=5,rho=0.95,0.955533,0.059696
TENET_AUG,mean_FDP,snr=5,rho=0.95,0.068070,0.057018
TENET_AUG,mean_TPP,snr=5,rho=0.95,0.955533,0.059696
TIENET_AUG,mean_FDP,snr=5,rho=0.95,0.002467,0.008803
TIENET_AUG,mean_TPP,snr=5,rho=0.95,0.860733,0.093469
TENET,mean_FDP,snr=5,rho=0.99,0.060367,0.045145
TENET,mean_TPP,snr=5,rho=0.99,0.955633,0.061384
TENET_AUG,mean_FDP,snr=5,rho=0.99,0.060367,0.045145
TENET_AUG,mean_TPP,snr=5,rho=0.99,0.955633,0.061384
TIENET_AUG,mean_FDP,snr=5,rho=0.99,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=5,rho=0.99,0.007133,0.001705
