method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=0.20,rho=0.30,0.055858,0.040303
EN,mean_TPP,snr=0.20,rho=0.30,0.337733,0.183452
EN+AUG,mean_FDP,snr=0.20,rho=0.30,0.053807,0.040457
EN+AUG,mean_TPP,snr=0.20,rho=0.30,0.344233,0.194505
IEN,mean_FDP,snr=0.20,rho=0.30,0.017095,0.034504
IEN,mean_TPP,snr=0.20,rho=0.30,0.175933,0.122649
EN,mean_FDP,snr=0.20,rho=0.50,0.066196,0.041433
EN,mean_TPP,snr=0.20,rho=0.50,0.592467,0.195104
EN+AUG,mean_FDP,snr=0.20,rho=0.50,0.068301,0.045367
EN+AUG,mean_TPP,snr=0.20,rho=0.50,0.609300,0.204550
IEN,mean_FDP,snr=0.20,rho=0.50,0.011071,0.021865
IEN,mean_TPP,snr=0.20,rho=0.50,0.377533,0.176723
EN,mean_FDP,snr=0.20,rho=0.70,0.072193,0.049698
EN,mean_TPP,snr=0.20,rho=0.70,0.717133,0.173293
EN+AUG,mean_FDP,snr=0.20,rho=0.70,0.072285,0.049063
EN+AUG,mean_TPP,snr=0.20,rho=0.70,0.737067,0.179727
IEN,mean_FDP,snr=0.20,rho=0.70,0.011604,0.017562
IEN,mean_TPP,snr=0.20,rho=0.70,0.544200,0.176081
EN,mean_FDP,snr=0.20,rho=0.85,0.070180,0.055063
EN,mean_TPP,snr=0.20,rho=0.85,0.766800,0.165412
EN+AUG,mean_FDP,snr=0.20,rho=0.85,0.070972,0.055287
EN+AUG,mean_TPP,snr=0.20,rho=0.85,0.785400,0.174474
IEN,mean_FDP,snr=0.20,rho=0.85,0.016012,0.022979
IEN,mean_TPP,snr=0.20,rho=0.85,0.617333,0.181382
EN,mean_FDP,snr=0.20,rho=0.90,0.069510,0.060293
EN,mean_TPP,snr=0.20,rho=0.90,0.778233,0.169985
EN+AUG,mean_FDP,snr=0.20,rho=0.90,0.070632,0.061615
EN+AUG,mean_TPP,snr=0.20,rho=0.90,0.795267,0.178585
IEN,mean_FDP,snr=0.20,rho=0.90,0.017711,0.023853
IEN,mean_TPP,snr=0.20,rho=0.90,0.629400,0.185758
EN,mean_FDP,snr=0.20,rho=0.99,0.070103,0.062880
EN,mean_TPP,snr=0.20,rho=0.99,0.786200,0.172612
EN+AUG,mean_FDP,snr=0.20,rho=0.99,0.069007,0.055701
EN+AUG,mean_TPP,snr=0.20,rho=0.99,0.809167,0.169884
IEN,mean_FDP,snr=0.20,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=0.20,rho=0.99,0.006767,0.002163
EN,mean_FDP,snr=0.50,rho=0.30,0.073223,0.029830
EN,mean_TPP,snr=0.50,rho=0.30,0.694633,0.096354
EN+AUG,mean_FDP,snr=0.50,rho=0.30,0.074899,0.029093
EN+AUG,mean_TPP,snr=0.50,rho=0.30,0.722600,0.095567
IEN,mean_FDP,snr=0.50,rho=0.30,0.007176,0.012728
IEN,mean_TPP,snr=0.50,rho=0.30,0.460033,0.114769
EN,mean_FDP,snr=0.50,rho=0.50,0.078580,0.035692
EN,mean_TPP,snr=0.50,rho=0.50,0.826800,0.083716
EN+AUG,mean_FDP,snr=0.50,rho=0.50,0.079672,0.037944
EN+AUG,mean_TPP,snr=0.50,rho=0.50,0.851367,0.078187
IEN,mean_FDP,snr=0.50,rho=0.50,0.007684,0.013955
IEN,mean_TPP,snr=0.50,rho=0.50,0.654167,0.105557
