method,metric,row_label,col_label,mean,sd
TENET,mean_FDP,snr=0.2,rho=0.3,0.082658,0.049813
TENET,mean_TPP,snr=0.2,rho=0.3,0.783250,0.199643
TENET_AUG,mean_FDP,snr=0.2,rho=0.3,0.082658,0.049813
TENET_AUG,mean_TPP,snr=0.2,rho=0.3,0.783250,0.199643
TIENET_AUG,mean_FDP,snr=0.2,rho=0.3,0.015079,0.022822
TIENET_AUG,mean_TPP,snr=0.2,rho=0.3,0.487200,0.204070
TENET,mean_FDP,snr=0.2,rho=0.5,0.086625,0.061008
TENET,mean_TPP,snr=0.2,rho=0.5,0.973900,0.054550
TENET_AUG,mean_FDP,snr=0.2,rho=0.5,0.086625,0.061008
TENET_AUG,mean_TPP,snr=0.2,rho=0.5,0.973900,0.054550
TIENET_AUG,mean_FDP,snr=0.2,rho=0.5,0.012219,0.022163
TIENET_AUG,mean_TPP,snr=0.2,rho=0.5,0.825600,0.164783
TENET,mean_FDP,snr=0.2,rho=0.7,0.083603,0.073408
TENET,mean_TPP,snr=0.2,rho=0.7,0.999500,0.003287
TENET_AUG,mean_FDP,snr=0.2,rho=0.7,0.083603,0.073408
TENET_AUG,mean_TPP,snr=0.2,rho=0.7,0.999500,0.003287
TIENET_AUG,mean_FDP,snr=0.2,rho=0.7,0.021964,0.031144
TIENET_AUG,mean_TPP,snr=0.2,rho=0.7,0.974500,0.048658
TENET,mean_FDP,snr=0.2,rho=0.9,0.070609,0.091564
TENET,mean_TPP,snr=0.2,rho=0.9,1.000000,0.000000
TENET_AUG,mean_FDP,snr=0.2,rho=0.9,0.070609,0.091564
TENET_AUG,mean_TPP,snr=0.2,rho=0.9,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=0.2,rho=0.9,0.030267,0.033479
TIENET_AUG,mean_TPP,snr=0.2,rho=0.9,0.999950,0.000707
TENET,mean_FDP,snr=0.2,rho=0.95,0.065126,0.088076
TENET,mean_TPP,snr=0.2,rho=0.95,1.000000,0.000000
TENET_AUG,mean_FDP,snr=0.2,rho=0.95,0.065126,0.088076
TENET_AUG,mean_TPP,snr=0.2,rho=0.95,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=0.2,rho=0.95,0.031272,0.031599
TIENET_AUG,mean_TPP,snr=0.2,rho=0.95,1.000000,0.000000
TENET,mean_FDP,snr=0.2,rho=0.99,0.084608,0.090325
TENET,mean_TPP,snr=0.2,rho=0.99,1.000000,0.000000
TENET_AUG,mean_FDP,snr=0.2,rho=0.99,0.084608,0.090325
TENET_AUG,mean_TPP,snr=0.2,rho=0.99,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=0.2,rho=0.99,0.008095,0.058440
TIENET_AUG,mean_TPP,snr=0.2,rho=0.99,0.029300,0.010200
TENET,mean_FDP,snr=0.5,rho=0.3,0.094378,0.048762
TENET,mean_TPP,snr=0.5,rho=0.3,0.994700,0.010747
TENET_AUG,mean_FDP,snr=0.5,rho=0.3,0.094378,0.048762
TENET_AUG,mean_TPP,snr=0.5,rho=0.3,0.994700,0.010747
TIENET_AUG,mean_FDP,snr=0.5,rho=0.3,0.008327,0.012168
TIENET_AUG,mean_TPP,snr=0.5,rho=0.3,0.890950,0.075864
TENET,mean_FDP,snr=0.5,rho=0.5,0.083675,0.069301
TENET,mean_TPP,snr=0.5,rho=0.5,1.000000,0.000000
TENET_AUG,mean_FDP,snr=0.5,rho=0.5,0.083675,0.069301
TENET_AUG,mean_TPP,snr=0.5,rho=0.5,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=0.5,rho=0.5,0.017299,0.022084
TIENET_AUG,mean_TPP,snr=0.5,rho=0.5,0.996000,0.008388
TENET,mean_FDP,snr=0.5,rho=0.7,0.078298,0.082938
TENET,mean_TPP,snr=0.5,rho=0.7,1.000000,0.000000
TENET_AUG,mean_FDP,snr=0.5,rho=0.7,0.078298,0.082938
TENET_AUG,mean_TPP,snr=0.5,rho=0.7,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=0.5,rho=0.7,0.020810,0.026818
TIENET_AUG,mean_TPP,snr=0.5,rho=0.7,1.000000,0.000000
TENET,mean_FDP,snr=0.5,rho=0.9,0.073778,0.095761
TENET,mean_TPP,snr=0.5,rho=0.9,1.000000,0.000000
TENET_AUG,mean_FDP,snr=0.5,rho=0.9,0.073778,0.095761
TENET_AUG,mean_TPP,snr=0.5,rho=0.9,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=0.5,rho=0.9,0.020427,0.031004
TIENET_AUG,mean_TPP,snr=0.5,rho=0.9,1.000000,0.000000
TENET,mean_FDP,snr=0.5,rho=0.95,0.068055,0.096832
TENET,mean_TPP,snr=0.5,rho=0.95,1.000000,0.000000
TENET_AUG,mean_FDP,snr=0.5,rho=0.95,0.068055,0.096832
TENET_AUG,mean_TPP,snr=0.5,rho=0.95,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=0.5,rho=0.95,0.023119,0.031450
TIENET_AUG,mean_TPP,snr=0.5,rho=0.95,1.000000,0.000000
TENET,mean_FDP,snr=0.5,rho=0.99,0.089147,0.092430
TENET,mean_TPP,snr=0.5,rho=0.99,1.000000,0.000000
TENET_AUG,mean_FDP,snr=0.5,rho=0.99,0.089147,0.092430
TENET_AUG,mean_TPP,snr=0.5,rho=0.99,1.000000,0.000000
