method,metric,rho,mean,sd
EN,mean_FDP,0.100000,0.089504,0.032941
EN,mean_TPP,0.100000,0.947100,0.034358
EN+AUG,mean_FDP,0.100000,0.089348,0.032453
EN+AUG,mean_TPP,0.100000,0.946250,0.035479
IEN,mean_FDP,0.100000,0.007827,0.011246
IEN,mean_TPP,0.100000,0.710650,0.083094
EN,mean_FDP,0.200000,0.092376,0.043783
EN,mean_TPP,0.200000,0.999750,0.001565
EN+AUG,mean_FDP,0.200000,0.090629,0.043347
EN+AUG,mean_TPP,0.200000,0.999600,0.001965
IEN,mean_FDP,0.200000,0.005527,0.009981
IEN,mean_TPP,0.200000,0.966100,0.026253
EN,mean_FDP,0.300000,0.087797,0.052757
EN,mean_TPP,0.300000,1.000000,0.000000
EN+AUG,mean_FDP,0.300000,0.084313,0.057297
EN+AUG,mean_TPP,0.300000,1.000000,0.000000
IEN,mean_FDP,0.300000,0.008005,0.013537
IEN,mean_TPP,0.300000,0.998250,0.004186
EN,mean_FDP,0.500000,0.085455,0.073480
EN,mean_TPP,0.500000,1.000000,0.000000
EN+AUG,mean_FDP,0.500000,0.080503,0.075635
EN+AUG,mean_TPP,0.500000,1.000000,0.000000
IEN,mean_FDP,0.500000,0.007056,0.016646
IEN,mean_TPP,0.500000,1.000000,0.000000
EN,mean_FDP,0.700000,0.082259,0.090115
EN,mean_TPP,0.700000,1.000000,0.000000
EN+AUG,mean_FDP,0.700000,0.080430,0.091891
EN+AUG,mean_TPP,0.700000,1.000000,0.000000
IEN,mean_FDP,0.700000,0.008876,0.017994
IEN,mean_TPP,0.700000,1.000000,0.000000
EN,mean_FDP,0.800000,0.080086,0.096977
EN,mean_TPP,0.800000,1.000000,0.000000
EN+AUG,mean_FDP,0.800000,0.077800,0.098849
EN+AUG,mean_TPP,0.800000,1.000000,0.000000
IEN,mean_FDP,0.800000,0.007151,0.018016
IEN,mean_TPP,0.800000,1.000000,0.000000
EN,mean_FDP,0.900000,0.079642,0.105392
EN,mean_TPP,0.900000,1.000000,0.000000
EN+AUG,mean_FDP,0.900000,0.076618,0.105859
EN+AUG,mean_TPP,0.900000,1.000000,0.000000
IEN,mean_FDP,0.900000,0.006406,0.016837
IEN,mean_TPP,0.900000,1.000000,0.000000
EN,mean_FDP,0.950000,0.076736,0.104935
EN,mean_TPP,0.950000,1.000000,0.000000
EN+AUG,mean_FDP,0.950000,0.074534,0.109760
EN+AUG,mean_TPP,0.950000,1.000000,0.000000
IEN,mean_FDP,0.950000,0.007397,0.019174
IEN,mean_TPP,0.950000,1.000000,0.000000
EN,mean_FDP,0.990000,0.095826,0.105195
EN,mean_TPP,0.990000,1.000000,0.000000
EN+AUG,mean_FDP,0.990000,0.098327,0.103799
EN+AUG,mean_TPP,0.990000,1.000000,0.000000
IEN,mean_FDP,0.990000,0.017335,0.064429
IEN,mean_TPP,0.990000,0.059100,0.016900
