method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=0.20,rho=0.30,0.084096,0.049347
EN,mean_TPP,snr=0.20,rho=0.30,0.788000,0.195320
EN+AUG,mean_FDP,snr=0.20,rho=0.30,0.084471,0.050876
EN+AUG,mean_TPP,snr=0.20,rho=0.30,0.789200,0.195189
IEN,mean_FDP,snr=0.20,rho=0.30,0.015079,0.022822
IEN,mean_TPP,snr=0.20,rho=0.30,0.487200,0.204070
EN,mean_FDP,snr=0.20,rho=0.50,0.088898,0.060908
EN,mean_TPP,snr=0.20,rho=0.50,0.976250,0.049474
EN+AUG,mean_FDP,snr=0.20,rho=0.50,0.089745,0.063709
EN+AUG,mean_TPP,snr=0.20,rho=0.50,0.974900,0.051412
IEN,mean_FDP,snr=0.20,rho=0.50,0.012219,0.022163
IEN,mean_TPP,snr=0.20,rho=0.50,0.825600,0.164783
EN,mean_FDP,snr=0.20,rho=0.70,0.084999,0.073410
EN,mean_TPP,snr=0.20,rho=0.70,0.999550,0.002888
EN+AUG,mean_FDP,snr=0.20,rho=0.70,0.085725,0.075728
EN+AUG,mean_TPP,snr=0.20,rho=0.70,0.999550,0.002888
IEN,mean_FDP,snr=0.20,rho=0.70,0.021964,0.031144
IEN,mean_TPP,snr=0.20,rho=0.70,0.974500,0.048658
EN,mean_FDP,snr=0.20,rho=0.90,0.073545,0.091067
EN,mean_TPP,snr=0.20,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=0.20,rho=0.90,0.073112,0.094151
EN+AUG,mean_TPP,snr=0.20,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=0.20,rho=0.90,0.030267,0.033479
IEN,mean_TPP,snr=0.20,rho=0.90,0.999950,0.000707
EN,mean_FDP,snr=0.20,rho=0.95,0.073471,0.100435
EN,mean_TPP,snr=0.20,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=0.20,rho=0.95,0.067093,0.091711
EN+AUG,mean_TPP,snr=0.20,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=0.20,rho=0.95,0.031272,0.031599
IEN,mean_TPP,snr=0.20,rho=0.95,1.000000,0.000000
EN,mean_FDP,snr=0.20,rho=0.99,0.085793,0.086258
EN,mean_TPP,snr=0.20,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=0.20,rho=0.99,0.085876,0.090616
EN+AUG,mean_TPP,snr=0.20,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=0.20,rho=0.99,0.008095,0.058440
IEN,mean_TPP,snr=0.20,rho=0.99,0.029300,0.010200
EN,mean_FDP,snr=0.50,rho=0.30,0.096161,0.048311
EN,mean_TPP,snr=0.50,rho=0.30,0.994950,0.010370
EN+AUG,mean_FDP,snr=0.50,rho=0.30,0.095984,0.050400
EN+AUG,mean_TPP,snr=0.50,rho=0.30,0.994700,0.010978
IEN,mean_FDP,snr=0.50,rho=0.30,0.008327,0.012168
IEN,mean_TPP,snr=0.50,rho=0.30,0.890950,0.075864
EN,mean_FDP,snr=0.50,rho=0.50,0.084899,0.070537
EN,mean_TPP,snr=0.50,rho=0.50,1.000000,0.000000
EN+AUG,mean_FDP,snr=0.50,rho=0.50,0.084591,0.069843
EN+AUG,mean_TPP,snr=0.50,rho=0.50,1.000000,0.000000
IEN,mean_FDP,snr=0.50,rho=0.50,0.017299,0.022084
IEN,mean_TPP,snr=0.50,rho=0.50,0.996000,0.008388
EN,mean_FDP,snr=0.50,rho=0.70,0.079027,0.083464
EN,mean_TPP,snr=0.50,rho=0.70,1.000000,0.000000
EN+AUG,mean_FDP,snr=0.50,rho=0.70,0.078638,0.084224
EN+AUG,mean_TPP,snr=0.50,rho=0.70,1.000000,0.000000
IEN,mean_FDP,snr=0.50,rho=0.70,0.020810,0.026818
IEN,mean_TPP,snr=0.50,rho=0.70,1.000000,0.000000
EN,mean_FDP,snr=0.50,rho=0.90,0.076540,0.101147
EN,mean_TPP,snr=0.50,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=0.50,rho=0.90,0.074408,0.098376
EN+AUG,mean_TPP,snr=0.50,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=0.50,rho=0.90,0.020427,0.031004
IEN,mean_TPP,snr=0.50,rho=0.90,1.000000,0.000000
EN,mean_FDP,snr=0.50,rho=0.95,0.070018,0.098372
EN,mean_TPP,snr=0.50,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=0.50,rho=0.95,0.067613,0.093836
EN+AUG,mean_TPP,snr=0.50,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=0.50,rho=0.95,0.023119,0.031450
IEN,mean_TPP,snr=0.50,rho=0.95,1.000000,0.000000
EN,mean_FDP,snr=0.50,rho=0.99,0.088779,0.093153
EN,mean_TPP,snr=0.50,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=0.50,rho=0.99,0.091427,0.096225
EN+AUG,mean_TPP,snr=0.50,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=0.50,rho=0.99,0.014274,0.071808
IEN,mean_TPP,snr=0.50,rho=0.99,0.037500,0.012946
EN,mean_FDP,snr=1.00,rho=0.30,0.090614,0.055182
EN,mean_TPP,snr=1.00,rho=0.30,0.999950,0.000707
EN+AUG,mean_FDP,snr=1.00,rho=0.30,0.090748,0.054343
EN+AUG,mean_TPP,snr=1.00,rho=0.30,0.999950,0.000707
IEN,mean_FDP,snr=1.00,rho=0.30,0.010044,0.014503
IEN,mean_TPP,snr=1.00,rho=0.30,0.983600,0.018405
EN,mean_FDP,snr=1.00,rho=0.50,0.085719,0.070975
EN,mean_TPP,snr=1.00,rho=0.50,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.50,0.079692,0.072466
EN+AUG,mean_TPP,snr=1.00,rho=0.50,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.50,0.013168,0.021657
IEN,mean_TPP,snr=1.00,rho=0.50,1.000000,0.000000
EN,mean_FDP,snr=1.00,rho=0.70,0.083657,0.085701
EN,mean_TPP,snr=1.00,rho=0.70,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.70,0.083079,0.087586
EN+AUG,mean_TPP,snr=1.00,rho=0.70,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.70,0.015214,0.025201
IEN,mean_TPP,snr=1.00,rho=0.70,1.000000,0.000000
EN,mean_FDP,snr=1.00,rho=0.90,0.079475,0.102899
EN,mean_TPP,snr=1.00,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.90,0.077596,0.103734
EN+AUG,mean_TPP,snr=1.00,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.90,0.012764,0.022895
IEN,mean_TPP,snr=1.00,rho=0.90,1.000000,0.000000
EN,mean_FDP,snr=1.00,rho=0.95,0.077934,0.103963
EN,mean_TPP,snr=1.00,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.95,0.075314,0.102554
EN+AUG,mean_TPP,snr=1.00,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.95,0.013346,0.026152
IEN,mean_TPP,snr=1.00,rho=0.95,1.000000,0.000000
EN,mean_FDP,snr=1.00,rho=0.99,0.094032,0.093430
EN,mean_TPP,snr=1.00,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.99,0.091892,0.091874
EN+AUG,mean_TPP,snr=1.00,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.99,0.014738,0.063961
IEN,mean_TPP,snr=1.00,rho=0.99,0.046650,0.015080
EN,mean_FDP,snr=2.00,rho=0.30,0.087797,0.052757
EN,mean_TPP,snr=2.00,rho=0.30,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.30,0.084313,0.057297
EN+AUG,mean_TPP,snr=2.00,rho=0.30,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.30,0.008005,0.013537
IEN,mean_TPP,snr=2.00,rho=0.30,0.998250,0.004186
EN,mean_FDP,snr=2.00,rho=0.50,0.085455,0.073480
EN,mean_TPP,snr=2.00,rho=0.50,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.50,0.080503,0.075635
EN+AUG,mean_TPP,snr=2.00,rho=0.50,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.50,0.007056,0.016646
IEN,mean_TPP,snr=2.00,rho=0.50,1.000000,0.000000
EN,mean_FDP,snr=2.00,rho=0.70,0.082259,0.090115
EN,mean_TPP,snr=2.00,rho=0.70,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.70,0.080430,0.091891
EN+AUG,mean_TPP,snr=2.00,rho=0.70,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.70,0.008876,0.017994
IEN,mean_TPP,snr=2.00,rho=0.70,1.000000,0.000000
EN,mean_FDP,snr=2.00,rho=0.90,0.079642,0.105392
EN,mean_TPP,snr=2.00,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.90,0.076618,0.105859
EN+AUG,mean_TPP,snr=2.00,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.90,0.006406,0.016837
IEN,mean_TPP,snr=2.00,rho=0.90,1.000000,0.000000
EN,mean_FDP,snr=2.00,rho=0.95,0.076736,0.104935
EN,mean_TPP,snr=2.00,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.95,0.074534,0.109760
EN+AUG,mean_TPP,snr=2.00,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.95,0.007397,0.019174
IEN,mean_TPP,snr=2.00,rho=0.95,1.000000,0.000000
EN,mean_FDP,snr=2.00,rho=0.99,0.095826,0.105195
EN,mean_TPP,snr=2.00,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.99,0.098327,0.103799
EN+AUG,mean_TPP,snr=2.00,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.99,0.017335,0.064429
IEN,mean_TPP,snr=2.00,rho=0.99,0.059100,0.016900
EN,mean_FDP,snr=5.00,rho=0.30,0.085780,0.055704
EN,mean_TPP,snr=5.00,rho=0.30,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.30,0.084581,0.055904
EN+AUG,mean_TPP,snr=5.00,rho=0.30,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.30,0.006520,0.013354
IEN,mean_TPP,snr=5.00,rho=0.30,0.999900,0.000997
EN,mean_FDP,snr=5.00,rho=0.50,0.086660,0.074383
EN,mean_TPP,snr=5.00,rho=0.50,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.50,0.084480,0.075928
EN+AUG,mean_TPP,snr=5.00,rho=0.50,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.50,0.003477,0.012326
IEN,mean_TPP,snr=5.00,rho=0.50,1.000000,0.000000
EN,mean_FDP,snr=5.00,rho=0.70,0.085526,0.093547
EN,mean_TPP,snr=5.00,rho=0.70,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.70,0.083788,0.093041
EN+AUG,mean_TPP,snr=5.00,rho=0.70,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.70,0.002464,0.011048
IEN,mean_TPP,snr=5.00,rho=0.70,1.000000,0.000000
EN,mean_FDP,snr=5.00,rho=0.90,0.082079,0.107828
EN,mean_TPP,snr=5.00,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.90,0.079009,0.104984
EN+AUG,mean_TPP,snr=5.00,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.90,0.001084,0.007786
IEN,mean_TPP,snr=5.00,rho=0.90,1.000000,0.000000
EN,mean_FDP,snr=5.00,rho=0.95,0.077937,0.108028
EN,mean_TPP,snr=5.00,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.95,0.075077,0.107542
EN+AUG,mean_TPP,snr=5.00,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.95,0.000615,0.005746
IEN,mean_TPP,snr=5.00,rho=0.95,1.000000,0.000000
