method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=0.20,rho=0.30,0.092737,0.122776
EN,mean_TPP,snr=0.20,rho=0.30,0.377000,0.207521
EN+AUG,mean_FDP,snr=0.20,rho=0.30,0.093506,0.121545
EN+AUG,mean_TPP,snr=0.20,rho=0.30,0.390400,0.218412
IEN,mean_FDP,snr=0.20,rho=0.30,0.062291,0.155608
IEN,mean_TPP,snr=0.20,rho=0.30,0.201367,0.151391
EN,mean_FDP,snr=0.20,rho=0.50,0.088587,0.088301
EN,mean_TPP,snr=0.20,rho=0.50,0.610100,0.201887
EN+AUG,mean_FDP,snr=0.20,rho=0.50,0.092899,0.090241
EN+AUG,mean_TPP,snr=0.20,rho=0.50,0.634767,0.205189
IEN,mean_FDP,snr=0.20,rho=0.50,0.037589,0.109776
IEN,mean_TPP,snr=0.20,rho=0.50,0.397267,0.187154
EN,mean_FDP,snr=0.20,rho=0.70,0.086709,0.088307
EN,mean_TPP,snr=0.20,rho=0.70,0.722567,0.184362
EN+AUG,mean_FDP,snr=0.20,rho=0.70,0.089408,0.092585
EN+AUG,mean_TPP,snr=0.20,rho=0.70,0.740900,0.185633
IEN,mean_FDP,snr=0.20,rho=0.70,0.033551,0.115520
IEN,mean_TPP,snr=0.20,rho=0.70,0.541300,0.208044
EN,mean_FDP,snr=0.20,rho=0.85,0.086915,0.106897
EN,mean_TPP,snr=0.20,rho=0.85,0.771967,0.180065
EN+AUG,mean_FDP,snr=0.20,rho=0.85,0.090590,0.108185
EN+AUG,mean_TPP,snr=0.20,rho=0.85,0.794533,0.178545
IEN,mean_FDP,snr=0.20,rho=0.85,0.038070,0.112448
IEN,mean_TPP,snr=0.20,rho=0.85,0.612567,0.217449
EN,mean_FDP,snr=0.20,rho=0.90,0.089457,0.109583
EN,mean_TPP,snr=0.20,rho=0.90,0.789067,0.172277
EN+AUG,mean_FDP,snr=0.20,rho=0.90,0.091914,0.111524
EN+AUG,mean_TPP,snr=0.20,rho=0.90,0.808733,0.179779
IEN,mean_FDP,snr=0.20,rho=0.90,0.037548,0.110300
IEN,mean_TPP,snr=0.20,rho=0.90,0.619733,0.226728
EN,mean_FDP,snr=0.20,rho=0.99,0.089395,0.109362
EN,mean_TPP,snr=0.20,rho=0.99,0.807533,0.167546
EN+AUG,mean_FDP,snr=0.20,rho=0.99,0.087438,0.111144
EN+AUG,mean_TPP,snr=0.20,rho=0.99,0.825500,0.173303
IEN,mean_FDP,snr=0.20,rho=0.99,0.002500,0.035355
IEN,mean_TPP,snr=0.20,rho=0.99,0.006967,0.002437
EN,mean_FDP,snr=0.50,rho=0.30,0.085347,0.062394
EN,mean_TPP,snr=0.50,rho=0.30,0.689967,0.146392
EN+AUG,mean_FDP,snr=0.50,rho=0.30,0.088511,0.063821
EN+AUG,mean_TPP,snr=0.50,rho=0.30,0.716000,0.147686
IEN,mean_FDP,snr=0.50,rho=0.30,0.022310,0.078503
