method,metric,rho,mean,sd
EN,mean_FDP,0.100000,0.079017,0.050115
EN,mean_TPP,0.100000,0.558400,0.128384
EN+AUG,mean_FDP,0.100000,0.078552,0.050216
EN+AUG,mean_TPP,0.100000,0.578467,0.133723
IEN,mean_FDP,0.100000,0.024777,0.051169
IEN,mean_TPP,0.100000,0.361133,0.124935
EN,mean_FDP,0.200000,0.083900,0.032344
EN,mean_TPP,0.200000,0.777600,0.097436
EN+AUG,mean_FDP,0.200000,0.085709,0.034328
EN+AUG,mean_TPP,0.200000,0.803233,0.095324
IEN,mean_FDP,0.200000,0.009882,0.033649
IEN,mean_TPP,0.200000,0.584400,0.116706
EN,mean_FDP,0.300000,0.085028,0.034087
EN,mean_TPP,0.300000,0.846933,0.078167
EN+AUG,mean_FDP,0.300000,0.085687,0.033370
EN+AUG,mean_TPP,0.300000,0.868533,0.073960
IEN,mean_FDP,0.300000,0.006050,0.021965
IEN,mean_TPP,0.300000,0.688633,0.118964
EN,mean_FDP,0.400000,0.085671,0.034161
EN,mean_TPP,0.400000,0.880767,0.065535
EN+AUG,mean_FDP,0.400000,0.085750,0.038345
EN+AUG,mean_TPP,0.400000,0.899667,0.060427
IEN,mean_FDP,0.400000,0.005292,0.011096
IEN,mean_TPP,0.400000,0.743167,0.118859
EN,mean_FDP,0.500000,0.083912,0.039995
EN,mean_TPP,0.500000,0.900000,0.058878
EN+AUG,mean_FDP,0.500000,0.086944,0.042103
EN+AUG,mean_TPP,0.500000,0.916833,0.055528
IEN,mean_FDP,0.500000,0.005244,0.010733
IEN,mean_TPP,0.500000,0.773333,0.121112
EN,mean_FDP,0.600000,0.083058,0.045824
EN,mean_TPP,0.600000,0.912567,0.056680
EN+AUG,mean_FDP,0.600000,0.087130,0.047000
EN+AUG,mean_TPP,0.600000,0.929233,0.052564
IEN,mean_FDP,0.600000,0.005796,0.011806
IEN,mean_TPP,0.600000,0.790600,0.121979
EN,mean_FDP,0.700000,0.083661,0.048738
EN,mean_TPP,0.700000,0.924000,0.053538
EN+AUG,mean_FDP,0.700000,0.085546,0.051148
EN+AUG,mean_TPP,0.700000,0.939867,0.049507
IEN,mean_FDP,0.700000,0.005986,0.013690
IEN,mean_TPP,0.700000,0.805167,0.121987
EN,mean_FDP,0.800000,0.081689,0.054657
EN,mean_TPP,0.800000,0.932233,0.054791
EN+AUG,mean_FDP,0.800000,0.084737,0.058703
EN+AUG,mean_TPP,0.800000,0.946600,0.052778
IEN,mean_FDP,0.800000,0.004754,0.012391
IEN,mean_TPP,0.800000,0.815767,0.129489
EN,mean_FDP,0.900000,0.076992,0.062275
EN,mean_TPP,0.900000,0.937233,0.059348
EN+AUG,mean_FDP,0.900000,0.079020,0.067724
EN+AUG,mean_TPP,0.900000,0.951500,0.057403
IEN,mean_FDP,0.900000,0.007659,0.017411
IEN,mean_TPP,0.900000,0.808733,0.167097
EN,mean_FDP,0.950000,0.074191,0.067950
EN,mean_TPP,0.950000,0.937700,0.062136
EN+AUG,mean_FDP,0.950000,0.077518,0.070428
EN+AUG,mean_TPP,0.950000,0.952200,0.059678
IEN,mean_FDP,0.950000,0.006792,0.017119
IEN,mean_TPP,0.950000,0.661167,0.346650
EN,mean_FDP,0.990000,0.071896,0.061112
EN,mean_TPP,0.990000,0.940900,0.063382
EN+AUG,mean_FDP,0.990000,0.073392,0.062494
EN+AUG,mean_TPP,0.990000,0.953500,0.060178
IEN,mean_FDP,0.990000,0.000000,0.000000
IEN,mean_TPP,0.990000,0.008000,0.002673
