method,metric,snr,mean,sd
EN,mean_FDP,0.100000,0.085927,0.141693
EN,mean_TPP,0.100000,0.484567,0.289588
EN+AUG,mean_FDP,0.100000,0.093145,0.152634
EN+AUG,mean_TPP,0.100000,0.495333,0.306938
IEN,mean_FDP,0.100000,0.074966,0.209497
IEN,mean_TPP,0.100000,0.311667,0.238513
EN,mean_FDP,0.200000,0.085208,0.090507
EN,mean_TPP,0.200000,0.739100,0.184805
EN+AUG,mean_FDP,0.200000,0.091270,0.107411
EN+AUG,mean_TPP,0.200000,0.763867,0.181645
IEN,mean_FDP,0.200000,0.034328,0.114644
IEN,mean_TPP,0.200000,0.572433,0.206897
EN,mean_FDP,0.500000,0.088910,0.080475
EN,mean_TPP,0.500000,0.872933,0.100832
EN+AUG,mean_FDP,0.500000,0.092631,0.085454
EN+AUG,mean_TPP,0.500000,0.891567,0.098730
IEN,mean_FDP,0.500000,0.018554,0.072248
IEN,mean_TPP,0.500000,0.739533,0.151031
EN,mean_FDP,1.000000,0.081289,0.049689
EN,mean_TPP,1.000000,0.907667,0.070375
EN+AUG,mean_FDP,1.000000,0.088430,0.062373
EN+AUG,mean_TPP,1.000000,0.923967,0.067251
IEN,mean_FDP,1.000000,0.011217,0.032965
IEN,mean_TPP,1.000000,0.784433,0.142936
EN,mean_FDP,2.000000,0.082406,0.051988
EN,mean_TPP,2.000000,0.928433,0.054339
EN+AUG,mean_FDP,2.000000,0.084747,0.056792
EN+AUG,mean_TPP,2.000000,0.942700,0.050926
IEN,mean_FDP,2.000000,0.005410,0.012392
IEN,mean_TPP,2.000000,0.811300,0.125536
EN,mean_FDP,5.000000,0.079798,0.052437
EN,mean_TPP,5.000000,0.941733,0.051441
EN+AUG,mean_FDP,5.000000,0.081607,0.053256
EN+AUG,mean_TPP,5.000000,0.955433,0.048548
IEN,mean_FDP,5.000000,0.003075,0.008160
IEN,mean_TPP,5.000000,0.833400,0.114462
