method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=0.20,rho=0.30,0.011667,0.102332
EN,mean_TPP,snr=0.20,rho=0.30,0.000267,0.001615
EN+AUG,mean_FDP,snr=0.20,rho=0.30,0.011667,0.102332
EN+AUG,mean_TPP,snr=0.20,rho=0.30,0.000233,0.001550
IEN,mean_FDP,snr=0.20,rho=0.30,0.012500,0.105591
IEN,mean_TPP,snr=0.20,rho=0.30,0.000200,0.001322
EN,mean_FDP,snr=0.20,rho=0.50,0.015167,0.108787
EN,mean_TPP,snr=0.20,rho=0.50,0.000800,0.003755
EN+AUG,mean_FDP,snr=0.20,rho=0.50,0.013500,0.106416
EN+AUG,mean_TPP,snr=0.20,rho=0.50,0.000533,0.002785
IEN,mean_FDP,snr=0.20,rho=0.50,0.013750,0.106914
IEN,mean_TPP,snr=0.20,rho=0.50,0.000500,0.002495
EN,mean_FDP,snr=0.20,rho=0.70,0.021194,0.110411
EN,mean_TPP,snr=0.20,rho=0.70,0.006700,0.015921
EN+AUG,mean_FDP,snr=0.20,rho=0.70,0.019845,0.108762
EN+AUG,mean_TPP,snr=0.20,rho=0.70,0.005700,0.014846
IEN,mean_FDP,snr=0.20,rho=0.70,0.018304,0.108012
IEN,mean_TPP,snr=0.20,rho=0.70,0.004400,0.011272
EN,mean_FDP,snr=0.20,rho=0.85,0.038246,0.072925
EN,mean_TPP,snr=0.20,rho=0.85,0.066033,0.089820
EN+AUG,mean_FDP,snr=0.20,rho=0.85,0.030971,0.064066
EN+AUG,mean_TPP,snr=0.20,rho=0.85,0.059800,0.085631
IEN,mean_FDP,snr=0.20,rho=0.85,0.024622,0.066959
IEN,mean_TPP,snr=0.20,rho=0.85,0.036867,0.049893
EN,mean_FDP,snr=0.20,rho=0.90,0.051443,0.058028
EN,mean_TPP,snr=0.20,rho=0.90,0.198067,0.160785
EN+AUG,mean_FDP,snr=0.20,rho=0.90,0.046748,0.055449
EN+AUG,mean_TPP,snr=0.20,rho=0.90,0.194233,0.170964
IEN,mean_FDP,snr=0.20,rho=0.90,0.024827,0.052628
IEN,mean_TPP,snr=0.20,rho=0.90,0.098000,0.094167
EN,mean_FDP,snr=0.20,rho=0.99,0.082563,0.057033
EN,mean_TPP,snr=0.20,rho=0.99,0.800933,0.136109
EN+AUG,mean_FDP,snr=0.20,rho=0.99,0.085653,0.057504
EN+AUG,mean_TPP,snr=0.20,rho=0.99,0.818233,0.137760
IEN,mean_FDP,snr=0.20,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=0.20,rho=0.99,0.007067,0.002180
EN,mean_FDP,snr=0.50,rho=0.30,0.013083,0.087984
EN,mean_TPP,snr=0.50,rho=0.30,0.000833,0.003404
EN+AUG,mean_FDP,snr=0.50,rho=0.30,0.010833,0.085324
EN+AUG,mean_TPP,snr=0.50,rho=0.30,0.000633,0.002804
IEN,mean_FDP,snr=0.50,rho=0.30,0.006667,0.055011
IEN,mean_TPP,snr=0.50,rho=0.30,0.000600,0.002689
EN,mean_FDP,snr=0.50,rho=0.50,0.010833,0.060699
EN,mean_TPP,snr=0.50,rho=0.50,0.004800,0.012033
EN+AUG,mean_FDP,snr=0.50,rho=0.50,0.007625,0.048026
EN+AUG,mean_TPP,snr=0.50,rho=0.50,0.003700,0.010624
IEN,mean_FDP,snr=0.50,rho=0.50,0.008250,0.056216
IEN,mean_TPP,snr=0.50,rho=0.50,0.003333,0.009357
EN,mean_FDP,snr=0.50,rho=0.70,0.043543,0.071743
EN,mean_TPP,snr=0.50,rho=0.70,0.048200,0.054888
EN+AUG,mean_FDP,snr=0.50,rho=0.70,0.034018,0.068518
EN+AUG,mean_TPP,snr=0.50,rho=0.70,0.043300,0.055052
IEN,mean_FDP,snr=0.50,rho=0.70,0.029265,0.071803
IEN,mean_TPP,snr=0.50,rho=0.70,0.028067,0.034680
EN,mean_FDP,snr=0.50,rho=0.85,0.063080,0.041369
EN,mean_TPP,snr=0.50,rho=0.85,0.373700,0.130974
EN+AUG,mean_FDP,snr=0.50,rho=0.85,0.066024,0.044153
EN+AUG,mean_TPP,snr=0.50,rho=0.85,0.383500,0.143592
IEN,mean_FDP,snr=0.50,rho=0.85,0.023694,0.035437
IEN,mean_TPP,snr=0.50,rho=0.85,0.194033,0.093119
EN,mean_FDP,snr=0.50,rho=0.90,0.072614,0.037173
EN,mean_TPP,snr=0.50,rho=0.90,0.622800,0.123300
EN+AUG,mean_FDP,snr=0.50,rho=0.90,0.072365,0.037708
EN+AUG,mean_TPP,snr=0.50,rho=0.90,0.648033,0.129708
IEN,mean_FDP,snr=0.50,rho=0.90,0.014571,0.021737
