method,metric,snr,mean,sd
EN,mean_FDP,0.100000,0.025013,0.119877
EN,mean_TPP,0.100000,0.012133,0.029625
EN+AUG,mean_FDP,0.100000,0.021698,0.116101
EN+AUG,mean_TPP,0.100000,0.010567,0.028080
IEN,mean_FDP,0.100000,0.021250,0.115757
IEN,mean_TPP,0.100000,0.007633,0.019921
EN,mean_FDP,0.200000,0.038246,0.072925
EN,mean_TPP,0.200000,0.066033,0.089820
EN+AUG,mean_FDP,0.200000,0.030971,0.064066
EN+AUG,mean_TPP,0.200000,0.059800,0.085631
IEN,mean_FDP,0.200000,0.024622,0.066959
IEN,mean_TPP,0.200000,0.036867,0.049893
EN,mean_FDP,0.500000,0.063080,0.041369
EN,mean_TPP,0.500000,0.373700,0.130974
EN+AUG,mean_FDP,0.500000,0.066024,0.044153
EN+AUG,mean_TPP,0.500000,0.383500,0.143592
IEN,mean_FDP,0.500000,0.023694,0.035437
IEN,mean_TPP,0.500000,0.194033,0.093119
EN,mean_FDP,1.000000,0.075829,0.034542
EN,mean_TPP,1.000000,0.656700,0.102374
EN+AUG,mean_FDP,1.000000,0.076253,0.034885
EN+AUG,mean_TPP,1.000000,0.687133,0.106345
IEN,mean_FDP,1.000000,0.015275,0.019799
IEN,mean_TPP,1.000000,0.404733,0.114160
EN,mean_FDP,2.000000,0.083569,0.034277
EN,mean_TPP,2.000000,0.809633,0.069068
EN+AUG,mean_FDP,2.000000,0.084754,0.034830
EN+AUG,mean_TPP,2.000000,0.841167,0.065734
IEN,mean_FDP,2.000000,0.009607,0.012429
IEN,mean_TPP,2.000000,0.569000,0.116934
EN,mean_FDP,5.000000,0.088740,0.031785
EN,mean_TPP,5.000000,0.888867,0.048592
EN+AUG,mean_FDP,5.000000,0.089229,0.034611
EN+AUG,mean_TPP,5.000000,0.913800,0.045327
IEN,mean_FDP,5.000000,0.007518,0.011043
IEN,mean_TPP,5.000000,0.692533,0.108039
