method,metric,row_label,col_label,mean,sd
TENET,mean_FDP,snr=0.2,ac=0.3,0.000000,0.000000
TENET,mean_TPP,snr=0.2,ac=0.3,0.000500,0.002210
TENET_AUG,mean_FDP,snr=0.2,ac=0.3,0.000000,0.000000
TENET_AUG,mean_TPP,snr=0.2,ac=0.3,0.000500,0.002210
TIENET_AUG,mean_FDP,snr=0.2,ac=0.3,0.001667,0.023570
TIENET_AUG,mean_TPP,snr=0.2,ac=0.3,0.000500,0.002210
TENET,mean_FDP,snr=0.2,ac=0.5,0.005506,0.044331
TENET,mean_TPP,snr=0.2,ac=0.5,0.002200,0.008297
TENET_AUG,mean_FDP,snr=0.2,ac=0.5,0.005506,0.044331
TENET_AUG,mean_TPP,snr=0.2,ac=0.5,0.002200,0.008297
TIENET_AUG,mean_FDP,snr=0.2,ac=0.5,0.006825,0.053070
TIENET_AUG,mean_TPP,snr=0.2,ac=0.5,0.001933,0.007490
TENET,mean_FDP,snr=0.2,ac=0.7,0.033460,0.052246
TENET,mean_TPP,snr=0.2,ac=0.7,0.096100,0.104411
TENET_AUG,mean_FDP,snr=0.2,ac=0.7,0.033460,0.052246
TENET_AUG,mean_TPP,snr=0.2,ac=0.7,0.096100,0.104411
TIENET_AUG,mean_FDP,snr=0.2,ac=0.7,0.017262,0.040132
TIENET_AUG,mean_TPP,snr=0.2,ac=0.7,0.062433,0.069066
TENET,mean_FDP,snr=0.2,ac=0.8,0.068414,0.031690
TENET,mean_TPP,snr=0.2,ac=0.8,0.496333,0.065462
TENET_AUG,mean_FDP,snr=0.2,ac=0.8,0.068414,0.031690
TENET_AUG,mean_TPP,snr=0.2,ac=0.8,0.496333,0.065462
TIENET_AUG,mean_FDP,snr=0.2,ac=0.8,0.000577,0.003955
TIENET_AUG,mean_TPP,snr=0.2,ac=0.8,0.086000,0.114954
TENET,mean_FDP,snr=0.2,ac=0.9,0.072956,0.042421
TENET,mean_TPP,snr=0.2,ac=0.9,0.549900,0.021841
TENET_AUG,mean_FDP,snr=0.2,ac=0.9,0.072956,0.042421
TENET_AUG,mean_TPP,snr=0.2,ac=0.9,0.549900,0.021841
TIENET_AUG,mean_FDP,snr=0.2,ac=0.9,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=0.2,ac=0.9,0.006667,0.000000
TENET,mean_FDP,snr=0.2,ac=0.95,0.070871,0.047883
