scenario,rho,snr,method,mean_coord_tpr,sd_coord_tpr,mean_coord_fdp,sd_coord_fdp,mean_exact_sup,mean_block_hit,mean_block_fdp,mean_full_block,mean_null_act,mean_purity,mean_lambda2,mean_T_stop,mean_M_found
INDIVIDUAL,0.350000,0.100000,M1(EN-C),0.000500,0.007071,0.005000,0.070711,0.000000,0.000500,0.005000,0.000000,0.000056,0.000150,1809814.642200,3.685000,494.480000
INDIVIDUAL,0.350000,0.100000,M2(EN-O),0.001000,0.009975,0.007500,0.078898,0.000000,0.001000,0.005000,0.000000,0.000111,1.000000,1809814.642200,3.720000,100.000000
INDIVIDUAL,0.350000,0.100000,M3(IE-C),0.001000,0.009975,0.002500,0.035355,0.000000,0.001000,0.000000,0.000000,0.000000,0.000150,1809814.642200,4.000000,494.480000
INDIVIDUAL,0.350000,0.100000,M4(IE-O),0.000500,0.007071,0.005000,0.070711,0.000000,0.000500,0.005000,0.000000,0.000056,1.000000,1809814.642200,3.780000,100.000000
INDIVIDUAL,0.350000,0.200000,M1(EN-C),0.006000,0.027710,0.014667,0.098432,0.000000,0.006500,0.012500,0.000000,0.000278,0.000000,1401938.937743,3.390000,495.190000
INDIVIDUAL,0.350000,0.200000,M2(EN-O),0.005000,0.024039,0.010000,0.070176,0.000000,0.005500,0.006667,0.000000,0.000167,1.000000,1401938.937743,3.370000,100.000000
INDIVIDUAL,0.350000,0.200000,M3(IE-C),0.004000,0.024227,0.016667,0.113322,0.000000,0.005000,0.012500,0.000000,0.000167,0.000000,1401938.937743,3.695000,495.190000
INDIVIDUAL,0.350000,0.200000,M4(IE-O),0.004500,0.020782,0.007500,0.060929,0.000000,0.005000,0.005000,0.000000,0.000111,1.000000,1401938.937743,3.485000,100.000000
INDIVIDUAL,0.350000,0.500000,M1(EN-C),0.055000,0.097584,0.032000,0.128941,0.000000,0.056000,0.023667,0.000000,0.000611,0.000050,956692.294636,3.325000,495.010000
INDIVIDUAL,0.350000,0.500000,M2(EN-O),0.058500,0.104318,0.029929,0.110295,0.000000,0.059500,0.021833,0.000000,0.000667,1.000000,956692.294636,3.395000,100.000000
