scenario,rho,snr,method,mean_coord_tpr,sd_coord_tpr,mean_coord_fdp,sd_coord_fdp,mean_exact_sup,mean_block_hit,mean_block_fdp,mean_full_block,mean_null_act,mean_purity,mean_lambda2,mean_T_stop,mean_M_found
WHOLE,0.200000,0.100000,M1(EN-C),0.000500,0.004675,0.007500,0.078898,0.000000,0.002500,0.007500,0.000000,0.000111,0.000000,5437660.789936,3.565000,500.000000
WHOLE,0.200000,0.100000,M2(EN-O),0.000700,0.004650,0.007500,0.078898,0.000000,0.003000,0.007500,0.000000,0.000111,1.000000,5437660.789936,3.535000,100.000000
WHOLE,0.200000,0.100000,M3(IE-C),0.000500,0.004675,0.007500,0.078898,0.000000,0.002500,0.007500,0.000000,0.000111,0.000000,5437660.789936,3.595000,500.000000
WHOLE,0.200000,0.100000,M4(IE-O),0.000400,0.004465,0.005000,0.070711,0.000000,0.002000,0.005000,0.000000,0.000056,1.000000,5437660.789936,3.650000,100.000000
WHOLE,0.200000,0.200000,M1(EN-C),0.000400,0.002807,0.010000,0.099748,0.000000,0.002000,0.010000,0.000000,0.000111,0.000000,3947607.323958,3.305000,500.000000
WHOLE,0.200000,0.200000,M2(EN-O),0.000400,0.003450,0.005000,0.070711,0.000000,0.001500,0.005000,0.000000,0.000056,1.000000,3947607.323958,3.360000,100.000000
WHOLE,0.200000,0.200000,M3(IE-C),0.000500,0.003717,0.010000,0.099748,0.000000,0.002000,0.010000,0.000000,0.000111,0.000000,3947607.323958,3.390000,500.000000
WHOLE,0.200000,0.200000,M4(IE-O),0.000200,0.001995,0.005000,0.070711,0.000000,0.001000,0.005000,0.000000,0.000056,1.000000,3947607.323958,3.430000,100.000000
WHOLE,0.200000,0.500000,M1(EN-C),0.006600,0.022516,0.012114,0.087326,0.000000,0.024500,0.012833,0.000000,0.000500,0.000000,2088272.000700,3.350000,500.000000
WHOLE,0.200000,0.500000,M2(EN-O),0.007000,0.023275,0.012114,0.087326,0.000000,0.025500,0.012833,0.000000,0.000500,1.000000,2088272.000700,3.325000,100.000000
