
==========================================================================================
  Block Bench MC: WHOLE  (MC=200, tFDR=0.1, n=200, p=500, G=100, blk=5)
==========================================================================================

  rho = 0.20
  method          SNR       TPR       FDR block_FDR  full_blk    purity    T_stop   M_found
  -----------------------------------------------------------------------------------------
  M1(EN-C)       0.10    0.0005    0.0075    0.0075    0.0000    0.0000       3.6     500.0
  M2(EN-O)       0.10    0.0007    0.0075    0.0075    0.0000    1.0000       3.5     100.0
  M3(IE-C)       0.10    0.0005    0.0075    0.0075    0.0000    0.0000       3.6     500.0
  M4(IE-O)       0.10    0.0004    0.0050    0.0050    0.0000    1.0000       3.6     100.0

  M1(EN-C)       0.20    0.0004    0.0100    0.0100    0.0000    0.0000       3.3     500.0
  M2(EN-O)       0.20    0.0004    0.0050    0.0050    0.0000    1.0000       3.4     100.0
  M3(IE-C)       0.20    0.0005    0.0100    0.0100    0.0000    0.0000       3.4     500.0
  M4(IE-O)       0.20    0.0002    0.0050    0.0050    0.0000    1.0000       3.4     100.0

  M1(EN-C)       0.50    0.0066    0.0121    0.0128    0.0000    0.0000       3.4     500.0
  M2(EN-O)       0.50    0.0070    0.0121    0.0128    0.0000    1.0000       3.3     100.0
  M3(IE-C)       0.50    0.0061    0.0125    0.0138    0.0000    0.0000       3.3     500.0
  M4(IE-O)       0.50    0.0031    0.0108    0.0108    0.0000    1.0000       3.1     100.0

  M1(EN-C)       1.00    0.0306    0.0278    0.0322    0.0005    0.0000       4.5     500.0
  M2(EN-O)       1.00    0.0285    0.0303    0.0350    0.0005    1.0000       4.2     100.0
  M3(IE-C)       1.00    0.0281    0.0272    0.0308    0.0000    0.0000       4.8     500.0
  M4(IE-O)       1.00    0.0155    0.0189    0.0189    0.0000    1.0000       3.8     100.0

  M1(EN-C)       2.00    0.0981    0.0513    0.0701    0.0010    0.0000       7.3     500.0
  M2(EN-O)       2.00    0.1043    0.0485    0.0655    0.0005    1.0000       7.7     100.0
  M3(IE-C)       2.00    0.0893    0.0399    0.0534    0.0010    0.0000       7.6     500.0
  M4(IE-O)       2.00    0.0400    0.0266    0.0266    0.0000    1.0000       5.4     100.0

  M1(EN-C)       5.00    0.2581    0.0612    0.1054    0.0110    0.0000      12.4     500.0
  M2(EN-O)       5.00    0.2561    0.0620    0.1061    0.0120    1.0000      12.1     100.0
  M3(IE-C)       5.00    0.2105    0.0438    0.0694    0.0060    0.0000      11.3     500.0
  M4(IE-O)       5.00    0.0806    0.0238    0.0238    0.0000    1.0000       7.1     100.0


  rho = 0.35
  method          SNR       TPR       FDR block_FDR  full_blk    purity    T_stop   M_found
  -----------------------------------------------------------------------------------------
  M1(EN-C)       0.10    0.0002    0.0000    0.0000    0.0000    0.0001       3.4     495.1
  M2(EN-O)       0.10    0.0000    0.0000    0.0000    0.0000    1.0000       3.4     100.0
  M3(IE-C)       0.10    0.0004    0.0000    0.0000    0.0000    0.0001       3.7     495.1
  M4(IE-O)       0.10    0.0000    0.0000    0.0000    0.0000    1.0000       3.5     100.0

  M1(EN-C)       0.20    0.0020    0.0138    0.0150    0.0000    0.0000       3.3     494.8
  M2(EN-O)       0.20    0.0024    0.0135    0.0150    0.0000    1.0000       3.4     100.0
  M3(IE-C)       0.20    0.0006    0.0050    0.0050    0.0000    0.0000       3.7     494.8
  M4(IE-O)       0.20    0.0012    0.0050    0.0050    0.0000    1.0000       3.4     100.0

  M1(EN-C)       0.50    0.0185    0.0463    0.0486    0.0005    0.0001       3.8     495.1
  M2(EN-O)       0.50    0.0193    0.0366    0.0418    0.0000    1.0000       4.0     100.0
  M3(IE-C)       0.50    0.0066    0.0335    0.0350    0.0000    0.0001       3.8     495.1
  M4(IE-O)       0.50    0.0079    0.0252    0.0252    0.0000    1.0000       3.6     100.0

  M1(EN-C)       1.00    0.1131    0.0431    0.0654    0.0045    0.0001       8.0     494.8
  M2(EN-O)       1.00    0.1147    0.0428    0.0643    0.0060    1.0000       8.2     100.0
  M3(IE-C)       1.00    0.0452    0.0161    0.0214    0.0010    0.0001       5.9     494.8
  M4(IE-O)       1.00    0.0366    0.0200    0.0200    0.0000    1.0000       5.1     100.0

  M1(EN-C)       2.00    0.3024    0.0604    0.1098    0.0360    0.0001      13.2     494.9
  M2(EN-O)       2.00    0.2978    0.0593    0.1071    0.0380    1.0000      13.3     100.0
  M3(IE-C)       2.00    0.1555    0.0353    0.0535    0.0065    0.0001      10.1     494.9
  M4(IE-O)       2.00    0.0802    0.0215    0.0215    0.0000    1.0000       7.1     100.0

  M1(EN-C)       5.00    0.4633    0.0611    0.1367    0.1110    0.0001      13.4     494.8
  M2(EN-O)       5.00    0.4665    0.0629    0.1406    0.1100    1.0000      13.7     100.0
  M3(IE-C)       5.00    0.2844    0.0302    0.0600    0.0330    0.0001      12.4     494.8
  M4(IE-O)       5.00    0.1053    0.0151    0.0151    0.0000    1.0000       6.6     100.0


  rho = 0.50
  method          SNR       TPR       FDR block_FDR  full_blk    purity    T_stop   M_found
  -----------------------------------------------------------------------------------------
  M1(EN-C)       0.10    0.0012    0.0025    0.0025    0.0000    0.5712       3.9     179.9
  M2(EN-O)       0.10    0.0011    0.0075    0.0075    0.0000    1.0000       4.0     100.0
  M3(IE-C)       0.10    0.0007    0.0050    0.0050    0.0000    0.5712       3.8     179.9
  M4(IE-O)       0.10    0.0006    0.0050    0.0050    0.0000    1.0000       3.7     100.0

  M1(EN-C)       0.20    0.0029    0.0109    0.0114    0.0005    0.5706       3.5     180.6
  M2(EN-O)       0.20    0.0036    0.0131    0.0152    0.0000    1.0000       3.6     100.0
  M3(IE-C)       0.20    0.0004    0.0075    0.0075    0.0000    0.5706       3.4     180.6
  M4(IE-O)       0.20    0.0010    0.0067    0.0067    0.0000    1.0000       3.4     100.0

  M1(EN-C)       0.50    0.0546    0.0344    0.0490    0.0035    0.5715       5.6     180.1
  M2(EN-O)       0.50    0.0567    0.0353    0.0472    0.0035    1.0000       5.7     100.0
  M3(IE-C)       0.50    0.0133    0.0246    0.0246    0.0000    0.5715       4.1     180.1
  M4(IE-O)       0.50    0.0147    0.0178    0.0178    0.0000    1.0000       4.0     100.0

  M1(EN-C)       1.00    0.2328    0.0527    0.0956    0.0440    0.5722      12.0     180.1
  M2(EN-O)       1.00    0.2299    0.0509    0.0943    0.0395    1.0000      11.4     100.0
  M3(IE-C)       1.00    0.0395    0.0210    0.0210    0.0000    0.5722       5.5     180.1
  M4(IE-O)       1.00    0.0518    0.0213    0.0213    0.0000    1.0000       5.9     100.0

  M1(EN-C)       2.00    0.4774    0.0616    0.1365    0.1500    0.5735      13.6     180.0
  M2(EN-O)       2.00    0.4702    0.0604    0.1323    0.1465    1.0000      13.5     100.0
  M3(IE-C)       2.00    0.0746    0.0135    0.0135    0.0000    0.5735       6.1     180.0
  M4(IE-O)       2.00    0.0964    0.0245    0.0245    0.0000    1.0000       7.0     100.0

  M1(EN-C)       5.00    0.6464    0.0590    0.1543    0.3120    0.5710      11.8     179.8
  M2(EN-O)       5.00    0.6474    0.0591    0.1557    0.3130    1.0000      11.8     100.0
  M3(IE-C)       5.00    0.0936    0.0159    0.0159    0.0000    0.5710       5.6     179.8
  M4(IE-O)       5.00    0.1270    0.0149    0.0150    0.0000    1.0000       6.4     100.0


  rho = 0.65
  method          SNR       TPR       FDR block_FDR  full_blk    purity    T_stop   M_found
  -----------------------------------------------------------------------------------------
  M1(EN-C)       0.10    0.0020    0.0085    0.0092    0.0005    1.0000       4.1     100.0
  M2(EN-O)       0.10    0.0020    0.0085    0.0092    0.0005    1.0000       4.1     100.0
  M3(IE-C)       0.10    0.0009    0.0075    0.0075    0.0000    1.0000       3.5     100.0
  M4(IE-O)       0.10    0.0009    0.0075    0.0075    0.0000    1.0000       3.5     100.0

  M1(EN-C)       0.20    0.0092    0.0094    0.0126    0.0020    1.0000       4.2     100.0
  M2(EN-O)       0.20    0.0092    0.0094    0.0126    0.0020    1.0000       4.2     100.0
  M3(IE-C)       0.20    0.0021    0.0025    0.0025    0.0000    1.0000       3.4     100.0
  M4(IE-O)       0.20    0.0021    0.0025    0.0025    0.0000    1.0000       3.4     100.0

  M1(EN-C)       0.50    0.1321    0.0521    0.0865    0.0355    1.0000       9.1     100.0
  M2(EN-O)       0.50    0.1321    0.0521    0.0865    0.0355    1.0000       9.1     100.0
  M3(IE-C)       0.50    0.0245    0.0331    0.0331    0.0000    1.0000       4.9     100.0
  M4(IE-O)       0.50    0.0245    0.0331    0.0331    0.0000    1.0000       4.9     100.0

  M1(EN-C)       1.00    0.3716    0.0583    0.1189    0.1475    1.0000      13.7     100.0
  M2(EN-O)       1.00    0.3716    0.0583    0.1189    0.1475    1.0000      13.7     100.0
  M3(IE-C)       1.00    0.0663    0.0241    0.0241    0.0000    1.0000       6.5     100.0
  M4(IE-O)       1.00    0.0663    0.0241    0.0241    0.0000    1.0000       6.5     100.0

  M1(EN-C)       2.00    0.6158    0.0561    0.1403    0.3305    1.0000      12.9     100.0
  M2(EN-O)       2.00    0.6156    0.0562    0.1403    0.3305    1.0000      12.9     100.0
  M3(IE-C)       2.00    0.1054    0.0118    0.0118    0.0000    1.0000       6.7     100.0
  M4(IE-O)       2.00    0.1054    0.0118    0.0118    0.0000    1.0000       6.7     100.0

  M1(EN-C)       5.00    0.7888    0.0698    0.1838    0.5425    1.0000      11.5     100.0
  M2(EN-O)       5.00    0.7888    0.0698    0.1838    0.5425    1.0000      11.5     100.0
  M3(IE-C)       5.00    0.1420    0.0122    0.0123    0.0000    1.0000       6.1     100.0
  M4(IE-O)       5.00    0.1420    0.0122    0.0123    0.0000    1.0000       6.1     100.0


  rho = 0.80
  method          SNR       TPR       FDR block_FDR  full_blk    purity    T_stop   M_found
  -----------------------------------------------------------------------------------------
  M1(EN-C)       0.10    0.0024    0.0025    0.0025    0.0005    1.0000       4.8     100.0
  M2(EN-O)       0.10    0.0024    0.0025    0.0025    0.0005    1.0000       4.8     100.0
  M3(IE-C)       0.10    0.0001    0.0050    0.0050    0.0000    1.0000       3.6     100.0
  M4(IE-O)       0.10    0.0001    0.0050    0.0050    0.0000    1.0000       3.6     100.0

  M1(EN-C)       0.20    0.0234    0.0219    0.0297    0.0065    1.0000       4.9     100.0
  M2(EN-O)       0.20    0.0234    0.0219    0.0297    0.0065    1.0000       4.9     100.0
  M3(IE-C)       0.20    0.0044    0.0175    0.0175    0.0000    1.0000       3.3     100.0
  M4(IE-O)       0.20    0.0044    0.0175    0.0175    0.0000    1.0000       3.3     100.0

  M1(EN-C)       0.50    0.2025    0.0610    0.0982    0.0850    1.0000      11.9     100.0
  M2(EN-O)       0.50    0.2025    0.0610    0.0982    0.0850    1.0000      11.9     100.0
  M3(IE-C)       0.50    0.0333    0.0364    0.0364    0.0000    1.0000       5.5     100.0
  M4(IE-O)       0.50    0.0333    0.0364    0.0364    0.0000    1.0000       5.5     100.0

  M1(EN-C)       1.00    0.4980    0.0532    0.1090    0.2920    1.0000      13.4     100.0
  M2(EN-O)       1.00    0.4980    0.0532    0.1090    0.2920    1.0000      13.4     100.0
  M3(IE-C)       1.00    0.0855    0.0186    0.0186    0.0000    1.0000       7.2     100.0
  M4(IE-O)       1.00    0.0855    0.0186    0.0186    0.0000    1.0000       7.2     100.0

  M1(EN-C)       2.00    0.7211    0.0606    0.1411    0.5340    1.0000      11.9     100.0
  M2(EN-O)       2.00    0.7211    0.0606    0.1411    0.5340    1.0000      11.9     100.0
  M3(IE-C)       2.00    0.1190    0.0079    0.0079    0.0000    1.0000       6.3     100.0
  M4(IE-O)       2.00    0.1190    0.0079    0.0079    0.0000    1.0000       6.3     100.0

  M1(EN-C)       5.00    0.8620    0.0613    0.1468    0.7240    1.0000      12.1     100.0
  M2(EN-O)       5.00    0.8620    0.0613    0.1468    0.7240    1.0000      12.1     100.0
  M3(IE-C)       5.00    0.1440    0.0120    0.0120    0.0000    1.0000       5.9     100.0
  M4(IE-O)       5.00    0.1440    0.0120    0.0120    0.0000    1.0000       5.9     100.0


  rho = 0.90
  method          SNR       TPR       FDR block_FDR  full_blk    purity    T_stop   M_found
  -----------------------------------------------------------------------------------------
  M1(EN-C)       0.10    0.0088    0.0413    0.0430    0.0030    1.0000       5.5     100.0
  M2(EN-O)       0.10    0.0088    0.0413    0.0430    0.0030    1.0000       5.5     100.0
  M3(IE-C)       0.10    0.0008    0.0100    0.0100    0.0000    1.0000       3.4     100.0
  M4(IE-O)       0.10    0.0008    0.0100    0.0100    0.0000    1.0000       3.4     100.0

  M1(EN-C)       0.20    0.0309    0.0179    0.0251    0.0160    1.0000       6.2     100.0
  M2(EN-O)       0.20    0.0309    0.0179    0.0251    0.0160    1.0000       6.2     100.0
  M3(IE-C)       0.20    0.0032    0.0075    0.0075    0.0000    1.0000       3.4     100.0
  M4(IE-O)       0.20    0.0032    0.0075    0.0075    0.0000    1.0000       3.4     100.0

  M1(EN-C)       0.50    0.2303    0.0489    0.0773    0.1445    1.0000      11.2     100.0
  M2(EN-O)       0.50    0.2303    0.0489    0.0773    0.1445    1.0000      11.2     100.0
  M3(IE-C)       0.50    0.0332    0.0165    0.0165    0.0000    1.0000       5.2     100.0
  M4(IE-O)       0.50    0.0332    0.0165    0.0165    0.0000    1.0000       5.2     100.0

  M1(EN-C)       1.00    0.5782    0.0629    0.1128    0.4255    1.0000      14.3     100.0
  M2(EN-O)       1.00    0.5782    0.0629    0.1128    0.4255    1.0000      14.3     100.0
  M3(IE-C)       1.00    0.0885    0.0266    0.0266    0.0000    1.0000       7.0     100.0
  M4(IE-O)       1.00    0.0885    0.0266    0.0266    0.0000    1.0000       7.0     100.0

  M1(EN-C)       2.00    0.7811    0.0715    0.1324    0.6580    1.0000      12.4     100.0
  M2(EN-O)       2.00    0.7811    0.0715    0.1324    0.6580    1.0000      12.4     100.0
  M3(IE-C)       2.00    0.1253    0.0183    0.0183    0.0000    1.0000       6.7     100.0
  M4(IE-O)       2.00    0.1253    0.0183    0.0183    0.0000    1.0000       6.7     100.0

  M1(EN-C)       5.00    0.8973    0.0706    0.1405    0.8300    1.0000      12.9     100.0
  M2(EN-O)       5.00    0.8973    0.0706    0.1405    0.8300    1.0000      12.9     100.0
  M3(IE-C)       5.00    0.1493    0.0082    0.0083    0.0000    1.0000       5.9     100.0
  M4(IE-O)       5.00    0.1493    0.0082    0.0083    0.0000    1.0000       5.9     100.0

==========================================================================================

