method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=0.20,rho=0.30,0.046144,0.074625
EN,mean_TPP,snr=0.20,rho=0.30,0.065633,0.061651
IEN,mean_FDP,snr=0.20,rho=0.30,0.040557,0.073127
IEN,mean_TPP,snr=0.20,rho=0.30,0.060267,0.058794
EN,mean_FDP,snr=0.20,rho=0.50,0.047666,0.058660
EN,mean_TPP,snr=0.20,rho=0.50,0.109667,0.072673
IEN,mean_FDP,snr=0.20,rho=0.50,0.050329,0.057905
IEN,mean_TPP,snr=0.20,rho=0.50,0.105867,0.070451
EN,mean_FDP,snr=0.20,rho=0.70,0.051312,0.058778
EN,mean_TPP,snr=0.20,rho=0.70,0.125133,0.076374
IEN,mean_FDP,snr=0.20,rho=0.70,0.048660,0.054521
IEN,mean_TPP,snr=0.20,rho=0.70,0.119733,0.075306
EN,mean_FDP,snr=0.20,rho=0.90,0.048630,0.053086
EN,mean_TPP,snr=0.20,rho=0.90,0.142833,0.091759
IEN,mean_FDP,snr=0.20,rho=0.90,0.052746,0.061849
IEN,mean_TPP,snr=0.20,rho=0.90,0.135500,0.090154
EN,mean_FDP,snr=0.20,rho=0.95,0.047491,0.048161
EN,mean_TPP,snr=0.20,rho=0.95,0.165800,0.109061
IEN,mean_FDP,snr=0.20,rho=0.95,0.052098,0.060625
IEN,mean_TPP,snr=0.20,rho=0.95,0.153800,0.106879
EN,mean_FDP,snr=0.20,rho=0.99,0.074157,0.051957
EN,mean_TPP,snr=0.20,rho=0.99,0.305267,0.186975
IEN,mean_FDP,snr=0.20,rho=0.99,0.017845,0.071209
IEN,mean_TPP,snr=0.20,rho=0.99,0.020800,0.009835
EN,mean_FDP,snr=0.50,rho=0.30,0.061239,0.043544
EN,mean_TPP,snr=0.50,rho=0.30,0.258133,0.078019
IEN,mean_FDP,snr=0.50,rho=0.30,0.057488,0.040493
IEN,mean_TPP,snr=0.50,rho=0.30,0.249133,0.074858
EN,mean_FDP,snr=0.50,rho=0.50,0.063625,0.036539
EN,mean_TPP,snr=0.50,rho=0.50,0.311933,0.071135
IEN,mean_FDP,snr=0.50,rho=0.50,0.063518,0.036728
IEN,mean_TPP,snr=0.50,rho=0.50,0.300967,0.071542
EN,mean_FDP,snr=0.50,rho=0.70,0.065257,0.037654
EN,mean_TPP,snr=0.50,rho=0.70,0.328200,0.067910
IEN,mean_FDP,snr=0.50,rho=0.70,0.066645,0.036134
IEN,mean_TPP,snr=0.50,rho=0.70,0.319900,0.067877
EN,mean_FDP,snr=0.50,rho=0.90,0.072107,0.033930
EN,mean_TPP,snr=0.50,rho=0.90,0.377467,0.073394
IEN,mean_FDP,snr=0.50,rho=0.90,0.073599,0.036665
IEN,mean_TPP,snr=0.50,rho=0.90,0.367200,0.073119
EN,mean_FDP,snr=0.50,rho=0.95,0.076881,0.032625
EN,mean_TPP,snr=0.50,rho=0.95,0.440033,0.080208
IEN,mean_FDP,snr=0.50,rho=0.95,0.077742,0.034866
IEN,mean_TPP,snr=0.50,rho=0.95,0.425933,0.080954
EN,mean_FDP,snr=0.50,rho=0.99,0.110498,0.030403
EN,mean_TPP,snr=0.50,rho=0.99,0.697400,0.093160
IEN,mean_FDP,snr=0.50,rho=0.99,0.015883,0.051733
IEN,mean_TPP,snr=0.50,rho=0.99,0.035667,0.010854
EN,mean_FDP,snr=1.00,rho=0.30,0.072276,0.031465
EN,mean_TPP,snr=1.00,rho=0.30,0.459833,0.066265
IEN,mean_FDP,snr=1.00,rho=0.30,0.066324,0.030491
IEN,mean_TPP,snr=1.00,rho=0.30,0.440867,0.064144
EN,mean_FDP,snr=1.00,rho=0.50,0.077553,0.030020
