method,metric,hc_linkage,mean,sd
EN,mean_FDP,Single,0.066483,0.042406
EN,mean_TPP,Single,1.000000,0.000000
IEN,mean_FDP,Single,0.003391,0.009614
IEN,mean_TPP,Single,0.999900,0.000812
EN,mean_FDP,Complete,0.066483,0.042406
EN,mean_TPP,Complete,1.000000,0.000000
IEN,mean_FDP,Complete,0.003391,0.009614
IEN,mean_TPP,Complete,0.999900,0.000812
EN,mean_FDP,Average,0.066483,0.042406
EN,mean_TPP,Average,1.000000,0.000000
IEN,mean_FDP,Average,0.003391,0.009614
IEN,mean_TPP,Average,0.999900,0.000812
EN,mean_FDP,WPGMA,0.066483,0.042406
EN,mean_TPP,WPGMA,1.000000,0.000000
IEN,mean_FDP,WPGMA,0.003391,0.009614
IEN,mean_TPP,WPGMA,0.999900,0.000812
