method,metric,rho,mean,sd
EN,mean_FDP,0.100000,0.062478,0.037269
EN,mean_TPP,0.100000,0.351000,0.076867
IEN,mean_FDP,0.100000,0.052487,0.034715
IEN,mean_TPP,0.100000,0.326233,0.072684
EN,mean_FDP,0.200000,0.073809,0.029396
EN,mean_TPP,0.200000,0.588333,0.065312
IEN,mean_FDP,0.200000,0.060406,0.027084
IEN,mean_TPP,0.200000,0.559767,0.061059
EN,mean_FDP,0.300000,0.080499,0.026652
EN,mean_TPP,0.300000,0.653200,0.051501
IEN,mean_FDP,0.300000,0.061489,0.024025
IEN,mean_TPP,0.300000,0.626967,0.053272
EN,mean_FDP,0.500000,0.084904,0.027325
EN,mean_TPP,0.500000,0.670400,0.046830
IEN,mean_FDP,0.500000,0.068093,0.025411
IEN,mean_TPP,0.500000,0.651567,0.046953
EN,mean_FDP,0.700000,0.086887,0.027212
EN,mean_TPP,0.700000,0.670967,0.046922
IEN,mean_FDP,0.700000,0.075919,0.024799
IEN,mean_TPP,0.700000,0.656867,0.047386
EN,mean_FDP,0.800000,0.086868,0.028475
EN,mean_TPP,0.800000,0.683567,0.046457
IEN,mean_FDP,0.800000,0.079631,0.026907
IEN,mean_TPP,0.800000,0.670733,0.047859
EN,mean_FDP,0.900000,0.087574,0.028597
EN,mean_TPP,0.900000,0.732200,0.046961
IEN,mean_FDP,0.900000,0.085202,0.024708
IEN,mean_TPP,0.900000,0.718600,0.047830
EN,mean_FDP,0.950000,0.088043,0.025852
EN,mean_TPP,0.950000,0.808400,0.043959
IEN,mean_FDP,0.950000,0.089630,0.025082
IEN,mean_TPP,0.950000,0.793067,0.044703
EN,mean_FDP,0.990000,0.107128,0.034294
EN,mean_TPP,0.990000,0.975867,0.017216
IEN,mean_FDP,0.990000,0.030777,0.052880
IEN,mean_TPP,0.990000,0.071300,0.021253
