method,metric,snr,mean,sd
EN,mean_FDP,0.100000,0.054767,0.082806
EN,mean_TPP,0.100000,0.432267,0.340616
IEN,mean_FDP,0.100000,0.000000,0.000000
IEN,mean_TPP,0.100000,0.007600,0.006412
EN,mean_FDP,0.200000,0.069567,0.042545
EN,mean_TPP,0.200000,0.812700,0.264992
IEN,mean_FDP,0.200000,0.000000,0.000000
IEN,mean_TPP,0.200000,0.013500,0.005805
EN,mean_FDP,0.500000,0.066541,0.037957
EN,mean_TPP,0.500000,0.996833,0.030729
IEN,mean_FDP,0.500000,0.000000,0.000000
IEN,mean_TPP,0.500000,0.019467,0.004030
EN,mean_FDP,1.000000,0.061248,0.038992
EN,mean_TPP,1.000000,1.000000,0.000000
IEN,mean_FDP,1.000000,0.000000,0.000000
IEN,mean_TPP,1.000000,0.021500,0.003564
EN,mean_FDP,2.000000,0.057054,0.034976
EN,mean_TPP,2.000000,1.000000,0.000000
IEN,mean_FDP,2.000000,0.000000,0.000000
IEN,mean_TPP,2.000000,0.021800,0.003764
EN,mean_FDP,5.000000,0.056447,0.034695
EN,mean_TPP,5.000000,1.000000,0.000000
IEN,mean_FDP,5.000000,0.000000,0.000000
IEN,mean_TPP,5.000000,0.022967,0.004518
