method,metric,snr,mean,sd
EN,mean_FDP,0.100000,0.076327,0.082806
EN,mean_TPP,0.100000,0.956550,0.201274
EN+AUG,mean_FDP,0.100000,0.075851,0.084595
EN+AUG,mean_TPP,0.100000,0.955000,0.207824
IEN,mean_FDP,0.100000,0.009679,0.062823
IEN,mean_TPP,0.100000,0.024000,0.009023
EN,mean_FDP,0.200000,0.085900,0.086343
EN,mean_TPP,0.200000,1.000000,0.000000
EN+AUG,mean_FDP,0.200000,0.085264,0.088035
EN+AUG,mean_TPP,0.200000,1.000000,0.000000
IEN,mean_FDP,0.200000,0.008095,0.058440
IEN,mean_TPP,0.200000,0.029250,0.010171
EN,mean_FDP,0.500000,0.088763,0.093183
EN,mean_TPP,0.500000,1.000000,0.000000
EN+AUG,mean_FDP,0.500000,0.089871,0.093946
EN+AUG,mean_TPP,0.500000,1.000000,0.000000
IEN,mean_FDP,0.500000,0.011595,0.067095
IEN,mean_TPP,0.500000,0.037450,0.013071
EN,mean_FDP,1.000000,0.094338,0.093398
EN,mean_TPP,1.000000,1.000000,0.000000
EN+AUG,mean_FDP,1.000000,0.092768,0.092490
EN+AUG,mean_TPP,1.000000,1.000000,0.000000
IEN,mean_FDP,1.000000,0.014738,0.063961
IEN,mean_TPP,1.000000,0.046550,0.015058
EN,mean_FDP,2.000000,0.096124,0.105139
EN,mean_TPP,2.000000,1.000000,0.000000
EN+AUG,mean_FDP,2.000000,0.098022,0.103727
EN+AUG,mean_TPP,2.000000,1.000000,0.000000
IEN,mean_FDP,2.000000,0.015357,0.058611
IEN,mean_TPP,2.000000,0.058800,0.016762
EN,mean_FDP,5.000000,0.100897,0.106370
EN,mean_TPP,5.000000,1.000000,0.000000
EN+AUG,mean_FDP,5.000000,0.100040,0.106678
EN+AUG,mean_TPP,5.000000,1.000000,0.000000
IEN,mean_FDP,5.000000,0.020235,0.060562
IEN,mean_TPP,5.000000,0.082750,0.020690
