method,metric,rho,mean,sd
EN,mean_FDP,0.100000,0.012917,0.103706
EN,mean_TPP,0.100000,0.001067,0.003922
EN+AUG,mean_FDP,0.100000,0.012917,0.103706
EN+AUG,mean_TPP,0.100000,0.000833,0.003657
IEN,mean_FDP,0.100000,0.016667,0.113322
IEN,mean_TPP,0.100000,0.000767,0.003147
EN,mean_FDP,0.200000,0.026306,0.138586
EN,mean_TPP,0.200000,0.002733,0.007047
EN+AUG,mean_FDP,0.200000,0.018131,0.099200
EN+AUG,mean_TPP,0.200000,0.002033,0.006059
IEN,mean_FDP,0.200000,0.015214,0.095215
IEN,mean_TPP,0.200000,0.001900,0.005764
EN,mean_FDP,0.300000,0.031633,0.131293
EN,mean_TPP,0.300000,0.007700,0.014946
EN+AUG,mean_FDP,0.300000,0.023304,0.115526
EN+AUG,mean_TPP,0.300000,0.005700,0.013357
IEN,mean_FDP,0.300000,0.026139,0.129259
IEN,mean_TPP,0.300000,0.004900,0.011012
EN,mean_FDP,0.400000,0.033137,0.081154
EN,mean_TPP,0.400000,0.020600,0.027174
EN+AUG,mean_FDP,0.400000,0.031671,0.103662
EN+AUG,mean_TPP,0.400000,0.017533,0.026459
IEN,mean_FDP,0.400000,0.030314,0.103443
IEN,mean_TPP,0.400000,0.014833,0.021579
EN,mean_FDP,0.500000,0.043985,0.069026
EN,mean_TPP,0.500000,0.061433,0.051257
EN+AUG,mean_FDP,0.500000,0.040430,0.072510
EN+AUG,mean_TPP,0.500000,0.054033,0.053731
IEN,mean_FDP,0.500000,0.036998,0.087566
IEN,mean_TPP,0.500000,0.037433,0.036267
EN,mean_FDP,0.600000,0.055574,0.052168
EN,mean_TPP,0.600000,0.160600,0.081543
EN+AUG,mean_FDP,0.600000,0.049563,0.049372
EN+AUG,mean_TPP,0.600000,0.153533,0.086848
IEN,mean_FDP,0.600000,0.036886,0.052475
IEN,mean_TPP,0.600000,0.096700,0.054403
EN,mean_FDP,0.700000,0.065575,0.037782
EN,mean_TPP,0.700000,0.361733,0.099185
EN+AUG,mean_FDP,0.700000,0.066371,0.039824
EN+AUG,mean_TPP,0.700000,0.373567,0.110683
IEN,mean_FDP,0.700000,0.025548,0.031575
IEN,mean_TPP,0.700000,0.212700,0.083094
EN,mean_FDP,0.800000,0.076943,0.034883
EN,mean_TPP,0.800000,0.667267,0.088641
EN+AUG,mean_FDP,0.800000,0.076900,0.037206
EN+AUG,mean_TPP,0.800000,0.695967,0.096331
IEN,mean_FDP,0.800000,0.015771,0.019274
IEN,mean_TPP,0.800000,0.425300,0.106818
EN,mean_FDP,0.900000,0.088949,0.036053
EN,mean_TPP,0.900000,0.909733,0.048852
EN+AUG,mean_FDP,0.900000,0.089830,0.037391
EN+AUG,mean_TPP,0.900000,0.931467,0.043448
IEN,mean_FDP,0.900000,0.005323,0.010198
IEN,mean_TPP,0.900000,0.718767,0.115748
EN,mean_FDP,0.950000,0.092498,0.045281
EN,mean_TPP,0.950000,0.958100,0.046532
EN+AUG,mean_FDP,0.950000,0.090887,0.043928
EN+AUG,mean_TPP,0.950000,0.970133,0.041232
IEN,mean_FDP,0.950000,0.004672,0.009846
IEN,mean_TPP,0.950000,0.833800,0.101463
EN,mean_FDP,0.990000,0.067317,0.057758
EN,mean_TPP,0.990000,0.943967,0.060355
EN+AUG,mean_FDP,0.990000,0.067899,0.055254
EN+AUG,mean_TPP,0.990000,0.958400,0.055910
IEN,mean_FDP,0.990000,0.000000,0.000000
IEN,mean_TPP,0.990000,0.007600,0.002413
