method,metric,rho,mean,sd
EN,mean_FDP,0.100000,0.070404,0.028455
EN,mean_TPP,0.100000,0.566033,0.070669
EN+AUG,mean_FDP,0.100000,0.070131,0.028539
EN+AUG,mean_TPP,0.100000,0.587567,0.078123
IEN,mean_FDP,0.100000,0.011645,0.015655
IEN,mean_TPP,0.100000,0.340767,0.090614
EN,mean_FDP,0.200000,0.079919,0.025595
EN,mean_TPP,0.200000,0.798900,0.056501
EN+AUG,mean_FDP,0.200000,0.081339,0.027029
EN+AUG,mean_TPP,0.200000,0.825233,0.053704
IEN,mean_FDP,0.200000,0.004880,0.009440
IEN,mean_TPP,0.200000,0.590267,0.078412
EN,mean_FDP,0.300000,0.082850,0.026963
EN,mean_TPP,0.300000,0.866867,0.047532
EN+AUG,mean_FDP,0.300000,0.083450,0.030242
EN+AUG,mean_TPP,0.300000,0.890033,0.043668
IEN,mean_FDP,0.300000,0.003078,0.007100
IEN,mean_TPP,0.300000,0.705133,0.080705
EN,mean_FDP,0.500000,0.079382,0.037138
EN,mean_TPP,0.500000,0.913767,0.040982
EN+AUG,mean_FDP,0.500000,0.079108,0.041018
EN+AUG,mean_TPP,0.500000,0.929267,0.041902
IEN,mean_FDP,0.500000,0.003545,0.010207
IEN,mean_TPP,0.500000,0.784667,0.092909
EN,mean_FDP,0.700000,0.076829,0.043178
EN,mean_TPP,0.700000,0.931533,0.049465
EN+AUG,mean_FDP,0.700000,0.074870,0.049716
EN+AUG,mean_TPP,0.700000,0.945300,0.050047
IEN,mean_FDP,0.700000,0.005142,0.011685
IEN,mean_TPP,0.700000,0.824833,0.098464
EN,mean_FDP,0.800000,0.073258,0.047263
EN,mean_TPP,0.800000,0.937033,0.054467
EN+AUG,mean_FDP,0.800000,0.072144,0.051551
EN+AUG,mean_TPP,0.800000,0.951267,0.053910
IEN,mean_FDP,0.800000,0.005463,0.011589
IEN,mean_TPP,0.800000,0.835900,0.101947
EN,mean_FDP,0.900000,0.068125,0.048500
EN,mean_TPP,0.900000,0.941433,0.059022
EN+AUG,mean_FDP,0.900000,0.072250,0.058647
EN+AUG,mean_TPP,0.900000,0.956167,0.056091
IEN,mean_FDP,0.900000,0.005659,0.013802
IEN,mean_TPP,0.900000,0.840933,0.108025
EN,mean_FDP,0.950000,0.066739,0.052165
EN,mean_TPP,0.950000,0.943300,0.061345
EN+AUG,mean_FDP,0.950000,0.068894,0.061426
EN+AUG,mean_TPP,0.950000,0.957367,0.058249
IEN,mean_FDP,0.950000,0.006818,0.015105
IEN,mean_TPP,0.950000,0.839467,0.118514
EN,mean_FDP,0.990000,0.062550,0.041656
EN,mean_TPP,0.990000,0.941900,0.063208
EN+AUG,mean_FDP,0.990000,0.061659,0.045229
EN+AUG,mean_TPP,0.990000,0.957567,0.059186
IEN,mean_FDP,0.990000,0.000000,0.000000
IEN,mean_TPP,0.990000,0.007200,0.001932
