method,metric,snr,mean,sd
EN,mean_FDP,0.100000,0.058354,0.066268
EN,mean_TPP,0.100000,0.561133,0.300207
EN+AUG,mean_FDP,0.100000,0.072410,0.115875
EN+AUG,mean_TPP,0.100000,0.576433,0.306909
IEN,mean_FDP,0.100000,0.000000,0.000000
IEN,mean_TPP,0.100000,0.004767,0.003300
EN,mean_FDP,0.200000,0.069993,0.062852
EN,mean_TPP,0.200000,0.786200,0.172692
EN+AUG,mean_FDP,0.200000,0.069270,0.056119
EN+AUG,mean_TPP,0.200000,0.808833,0.169809
IEN,mean_FDP,0.200000,0.000000,0.000000
IEN,mean_TPP,0.200000,0.006767,0.002163
EN,mean_FDP,0.500000,0.063201,0.051975
EN,mean_TPP,0.500000,0.897567,0.078700
EN+AUG,mean_FDP,0.500000,0.063734,0.051859
EN+AUG,mean_TPP,0.500000,0.910567,0.072033
IEN,mean_FDP,0.500000,0.000000,0.000000
IEN,mean_TPP,0.500000,0.007300,0.001960
EN,mean_FDP,1.000000,0.060434,0.039213
EN,mean_TPP,1.000000,0.924200,0.063672
EN+AUG,mean_FDP,1.000000,0.064125,0.044518
EN+AUG,mean_TPP,1.000000,0.940700,0.062326
IEN,mean_FDP,1.000000,0.000000,0.000000
IEN,mean_TPP,1.000000,0.007333,0.002005
EN,mean_FDP,2.000000,0.062495,0.041632
EN,mean_TPP,2.000000,0.941567,0.063104
EN+AUG,mean_FDP,2.000000,0.062122,0.045163
EN+AUG,mean_TPP,2.000000,0.957700,0.059028
IEN,mean_FDP,2.000000,0.000000,0.000000
IEN,mean_TPP,2.000000,0.007167,0.001760
EN,mean_FDP,5.000000,0.065499,0.047593
EN,mean_TPP,5.000000,0.956333,0.060250
EN+AUG,mean_FDP,5.000000,0.063045,0.047859
EN+AUG,mean_TPP,5.000000,0.966333,0.054803
IEN,mean_FDP,5.000000,0.000000,0.000000
IEN,mean_TPP,5.000000,0.007133,0.001705
