method,metric,snr,mean,sd
EN,mean_FDP,0.100000,0.050965,0.080725
EN,mean_TPP,0.100000,0.393967,0.333853
EN+AUG,mean_FDP,0.100000,0.051290,0.081992
EN+AUG,mean_TPP,0.100000,0.412167,0.344069
IEN,mean_FDP,0.100000,0.000000,0.000000
IEN,mean_TPP,0.100000,0.005200,0.005558
EN,mean_FDP,0.200000,0.068988,0.040365
EN,mean_TPP,0.200000,0.824100,0.247494
EN+AUG,mean_FDP,0.200000,0.069448,0.040657
EN+AUG,mean_TPP,0.200000,0.846067,0.236301
IEN,mean_FDP,0.200000,0.000000,0.000000
IEN,mean_TPP,0.200000,0.011900,0.005587
EN,mean_FDP,0.500000,0.063833,0.039724
EN,mean_TPP,0.500000,0.996033,0.032572
EN+AUG,mean_FDP,0.500000,0.060618,0.038874
EN+AUG,mean_TPP,0.500000,0.998033,0.019620
IEN,mean_FDP,0.500000,0.000000,0.000000
IEN,mean_TPP,0.500000,0.017400,0.003885
EN,mean_FDP,1.000000,0.059489,0.040600
EN,mean_TPP,1.000000,1.000000,0.000000
EN+AUG,mean_FDP,1.000000,0.060152,0.040960
EN+AUG,mean_TPP,1.000000,1.000000,0.000000
IEN,mean_FDP,1.000000,0.000000,0.000000
IEN,mean_TPP,1.000000,0.019533,0.001705
EN,mean_FDP,2.000000,0.058910,0.037921
EN,mean_TPP,2.000000,1.000000,0.000000
EN+AUG,mean_FDP,2.000000,0.057928,0.039578
EN+AUG,mean_TPP,2.000000,1.000000,0.000000
IEN,mean_FDP,2.000000,0.000000,0.000000
IEN,mean_TPP,2.000000,0.019867,0.000936
EN,mean_FDP,5.000000,0.061147,0.037855
EN,mean_TPP,5.000000,1.000000,0.000000
EN+AUG,mean_FDP,5.000000,0.062943,0.040363
EN+AUG,mean_TPP,5.000000,1.000000,0.000000
IEN,mean_FDP,5.000000,0.000000,0.000000
IEN,mean_TPP,5.000000,0.020000,0.000000
