method,metric,SNR,value
Screen-TRex Ordinary,FDR,0.010000,0.434833
Screen-TRex Ordinary,TPR,0.010000,0.005000
Screen-TRex Ordinary,Est. FDR,0.010000,0.369500
Screen-TRex Ordinary,FDR,0.100000,0.380000
Screen-TRex Ordinary,TPR,0.100000,0.034500
Screen-TRex Ordinary,Est. FDR,0.100000,0.498500
Screen-TRex Ordinary,FDR,0.200000,0.266417
Screen-TRex Ordinary,TPR,0.200000,0.118000
Screen-TRex Ordinary,Est. FDR,0.200000,0.478917
Screen-TRex Ordinary,FDR,0.500000,0.115900
Screen-TRex Ordinary,TPR,0.500000,0.445500
Screen-TRex Ordinary,Est. FDR,0.500000,0.226790
Screen-TRex Ordinary,FDR,0.600000,0.093637
Screen-TRex Ordinary,TPR,0.600000,0.536000
Screen-TRex Ordinary,Est. FDR,0.600000,0.185437
Screen-TRex Ordinary,FDR,1.000000,0.070664
Screen-TRex Ordinary,TPR,1.000000,0.826000
Screen-TRex Ordinary,Est. FDR,1.000000,0.114343
Screen-TRex Ordinary,FDR,2.000000,0.048550
Screen-TRex Ordinary,TPR,2.000000,0.994500
Screen-TRex Ordinary,Est. FDR,2.000000,0.095748
Screen-TRex Ordinary,FDR,5.000000,0.071067
Screen-TRex Ordinary,TPR,5.000000,1.000000
Screen-TRex Ordinary,Est. FDR,5.000000,0.092893
Screen-TRex Bootstrap,FDR,0.010000,0.328333
Screen-TRex Bootstrap,TPR,0.010000,0.004500
Screen-TRex Bootstrap,Est. FDR,0.010000,0.309167
Screen-TRex Bootstrap,FDR,0.100000,0.284167
Screen-TRex Bootstrap,TPR,0.100000,0.027000
Screen-TRex Bootstrap,Est. FDR,0.100000,0.402667
Screen-TRex Bootstrap,FDR,0.200000,0.192500
Screen-TRex Bootstrap,TPR,0.200000,0.093500
Screen-TRex Bootstrap,Est. FDR,0.200000,0.361167
Screen-TRex Bootstrap,FDR,0.500000,0.046185
Screen-TRex Bootstrap,TPR,0.500000,0.218500
Screen-TRex Bootstrap,Est. FDR,0.500000,0.111635
Screen-TRex Bootstrap,FDR,0.600000,0.041111
Screen-TRex Bootstrap,TPR,0.600000,0.255500
Screen-TRex Bootstrap,Est. FDR,0.600000,0.085192
Screen-TRex Bootstrap,FDR,1.000000,0.029852
Screen-TRex Bootstrap,TPR,1.000000,0.392500
Screen-TRex Bootstrap,Est. FDR,1.000000,0.051195
Screen-TRex Bootstrap,FDR,2.000000,0.037784
Screen-TRex Bootstrap,TPR,2.000000,0.759000
Screen-TRex Bootstrap,Est. FDR,2.000000,0.072327
Screen-TRex Bootstrap,FDR,5.000000,0.050460
Screen-TRex Bootstrap,TPR,5.000000,0.840000
Screen-TRex Bootstrap,Est. FDR,5.000000,0.078954
