method,metric,SNR,value
Screen-TRex Ordinary: TLARS,FDR,0.010000,0.448333
Screen-TRex Ordinary: TLARS,TPR,0.010000,0.002000
Screen-TRex Ordinary: TLARS,Est. FDR,0.010000,0.367917
Screen-TRex Ordinary: TLARS,FDR,0.100000,0.417976
Screen-TRex Ordinary: TLARS,TPR,0.100000,0.040500
Screen-TRex Ordinary: TLARS,Est. FDR,0.100000,0.473631
Screen-TRex Ordinary: TLARS,FDR,0.200000,0.294750
Screen-TRex Ordinary: TLARS,TPR,0.200000,0.108500
Screen-TRex Ordinary: TLARS,Est. FDR,0.200000,0.519333
Screen-TRex Ordinary: TLARS,FDR,0.500000,0.168698
Screen-TRex Ordinary: TLARS,TPR,0.500000,0.446000
Screen-TRex Ordinary: TLARS,Est. FDR,0.500000,0.206121
Screen-TRex Ordinary: TLARS,FDR,0.600000,0.144110
Screen-TRex Ordinary: TLARS,TPR,0.600000,0.518500
Screen-TRex Ordinary: TLARS,Est. FDR,0.600000,0.181414
Screen-TRex Ordinary: TLARS,FDR,1.000000,0.124545
Screen-TRex Ordinary: TLARS,TPR,1.000000,0.823500
Screen-TRex Ordinary: TLARS,Est. FDR,1.000000,0.108596
Screen-TRex Ordinary: TLARS,FDR,2.000000,0.101905
Screen-TRex Ordinary: TLARS,TPR,2.000000,0.990500
Screen-TRex Ordinary: TLARS,Est. FDR,2.000000,0.090849
Screen-TRex Ordinary: TLARS,FDR,5.000000,0.098873
Screen-TRex Ordinary: TLARS,TPR,5.000000,1.000000
Screen-TRex Ordinary: TLARS,Est. FDR,5.000000,0.090113
Screen-TRex Bootstrap-CI: TLARS,FDR,0.010000,0.328333
Screen-TRex Bootstrap-CI: TLARS,TPR,0.010000,0.002000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.010000,0.263083
Screen-TRex Bootstrap-CI: TLARS,FDR,0.100000,0.312917
Screen-TRex Bootstrap-CI: TLARS,TPR,0.100000,0.029500
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.100000,0.371250
Screen-TRex Bootstrap-CI: TLARS,FDR,0.200000,0.171250
Screen-TRex Bootstrap-CI: TLARS,TPR,0.200000,0.072000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.200000,0.332833
Screen-TRex Bootstrap-CI: TLARS,FDR,0.500000,0.074016
Screen-TRex Bootstrap-CI: TLARS,TPR,0.500000,0.182500
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.500000,0.080953
Screen-TRex Bootstrap-CI: TLARS,FDR,0.600000,0.057809
Screen-TRex Bootstrap-CI: TLARS,TPR,0.600000,0.208000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.600000,0.071522
Screen-TRex Bootstrap-CI: TLARS,FDR,1.000000,0.038494
Screen-TRex Bootstrap-CI: TLARS,TPR,1.000000,0.336000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,1.000000,0.043029
Screen-TRex Bootstrap-CI: TLARS,FDR,2.000000,0.065933
