method,metric,rho,value
Screen-TRex Ordinary,FDR,0.100000,0.207156
Screen-TRex Ordinary,TPR,0.100000,0.874000
Screen-TRex Ordinary,Est. FDR,0.100000,0.092237
Screen-TRex Ordinary,FDR,0.200000,0.412434
Screen-TRex Ordinary,TPR,0.200000,0.876500
Screen-TRex Ordinary,Est. FDR,0.200000,0.067798
Screen-TRex Ordinary,FDR,0.300000,0.555948
Screen-TRex Ordinary,TPR,0.300000,0.849000
Screen-TRex Ordinary,Est. FDR,0.300000,0.052640
Screen-TRex Ordinary,FDR,0.400000,0.663577
Screen-TRex Ordinary,TPR,0.400000,0.792000
Screen-TRex Ordinary,Est. FDR,0.400000,0.042674
Screen-TRex Ordinary,FDR,0.500000,0.721463
Screen-TRex Ordinary,TPR,0.500000,0.729500
Screen-TRex Ordinary,Est. FDR,0.500000,0.038334
Screen-TRex Ordinary,FDR,0.600000,0.769835
Screen-TRex Ordinary,TPR,0.600000,0.619500
Screen-TRex Ordinary,Est. FDR,0.600000,0.037494
Screen-TRex Ordinary,FDR,0.700000,0.819678
Screen-TRex Ordinary,TPR,0.700000,0.502500
Screen-TRex Ordinary,Est. FDR,0.700000,0.036136
Screen-TRex Ordinary,FDR,0.800000,0.867278
Screen-TRex Ordinary,TPR,0.800000,0.344500
Screen-TRex Ordinary,Est. FDR,0.800000,0.038686
Screen-TRex Ordinary,FDR,0.900000,0.928880
Screen-TRex Ordinary,TPR,0.900000,0.152500
Screen-TRex Ordinary,Est. FDR,0.900000,0.048154
Screen-TRex Bootstrap,FDR,0.100000,0.078915
Screen-TRex Bootstrap,TPR,0.100000,0.392000
Screen-TRex Bootstrap,Est. FDR,0.100000,0.038924
Screen-TRex Bootstrap,FDR,0.200000,0.169150
Screen-TRex Bootstrap,TPR,0.200000,0.365000
Screen-TRex Bootstrap,Est. FDR,0.200000,0.026456
Screen-TRex Bootstrap,FDR,0.300000,0.320756
Screen-TRex Bootstrap,TPR,0.300000,0.495500
Screen-TRex Bootstrap,Est. FDR,0.300000,0.028796
Screen-TRex Bootstrap,FDR,0.400000,0.426182
Screen-TRex Bootstrap,TPR,0.400000,0.537000
Screen-TRex Bootstrap,Est. FDR,0.400000,0.027914
Screen-TRex Bootstrap,FDR,0.500000,0.502570
Screen-TRex Bootstrap,TPR,0.500000,0.519500
Screen-TRex Bootstrap,Est. FDR,0.500000,0.026745
Screen-TRex Bootstrap,FDR,0.600000,0.589782
Screen-TRex Bootstrap,TPR,0.600000,0.494000
Screen-TRex Bootstrap,Est. FDR,0.600000,0.028248
Screen-TRex Bootstrap,FDR,0.700000,0.651003
Screen-TRex Bootstrap,TPR,0.700000,0.398000
Screen-TRex Bootstrap,Est. FDR,0.700000,0.029043
Screen-TRex Bootstrap,FDR,0.800000,0.749886
Screen-TRex Bootstrap,TPR,0.800000,0.295000
Screen-TRex Bootstrap,Est. FDR,0.800000,0.033930
Screen-TRex Bootstrap,FDR,0.900000,0.789377
Screen-TRex Bootstrap,TPR,0.900000,0.129500
Screen-TRex Bootstrap,Est. FDR,0.900000,0.040981
Screen-TRex Ord+DA-BLOCK-EQUI,FDR,0.100000,0.044967
Screen-TRex Ord+DA-BLOCK-EQUI,TPR,0.100000,0.609500
Screen-TRex Ord+DA-BLOCK-EQUI,Est. FDR,0.100000,0.178089
Screen-TRex Ord+DA-BLOCK-EQUI,FDR,0.200000,0.184164
Screen-TRex Ord+DA-BLOCK-EQUI,TPR,0.200000,0.659500
Screen-TRex Ord+DA-BLOCK-EQUI,Est. FDR,0.200000,0.134806
Screen-TRex Ord+DA-BLOCK-EQUI,FDR,0.300000,0.392121
Screen-TRex Ord+DA-BLOCK-EQUI,TPR,0.300000,0.662500
Screen-TRex Ord+DA-BLOCK-EQUI,Est. FDR,0.300000,0.097284
Screen-TRex Ord+DA-BLOCK-EQUI,FDR,0.400000,0.552720
Screen-TRex Ord+DA-BLOCK-EQUI,TPR,0.400000,0.636000
Screen-TRex Ord+DA-BLOCK-EQUI,Est. FDR,0.400000,0.076602
Screen-TRex Ord+DA-BLOCK-EQUI,FDR,0.500000,0.642524
Screen-TRex Ord+DA-BLOCK-EQUI,TPR,0.500000,0.611500
Screen-TRex Ord+DA-BLOCK-EQUI,Est. FDR,0.500000,0.060659
Screen-TRex Ord+DA-BLOCK-EQUI,FDR,0.600000,0.727492
Screen-TRex Ord+DA-BLOCK-EQUI,TPR,0.600000,0.521500
Screen-TRex Ord+DA-BLOCK-EQUI,Est. FDR,0.600000,0.054586
Screen-TRex Ord+DA-BLOCK-EQUI,FDR,0.700000,0.800701
Screen-TRex Ord+DA-BLOCK-EQUI,TPR,0.700000,0.412500
Screen-TRex Ord+DA-BLOCK-EQUI,Est. FDR,0.700000,0.049322
