method,metric,SNR,value
Screen-TRex Ordinary: TLARS,FDR,0.010000,0.522750
Screen-TRex Ordinary: TLARS,TPR,0.010000,0.002000
Screen-TRex Ordinary: TLARS,Est. FDR,0.010000,0.323929
Screen-TRex Ordinary: TLARS,FDR,0.100000,0.961521
Screen-TRex Ordinary: TLARS,TPR,0.100000,0.036000
Screen-TRex Ordinary: TLARS,Est. FDR,0.100000,0.116982
Screen-TRex Ordinary: TLARS,FDR,0.200000,0.936477
Screen-TRex Ordinary: TLARS,TPR,0.200000,0.097500
Screen-TRex Ordinary: TLARS,Est. FDR,0.200000,0.069000
Screen-TRex Ordinary: TLARS,FDR,0.500000,0.888803
Screen-TRex Ordinary: TLARS,TPR,0.500000,0.273000
Screen-TRex Ordinary: TLARS,Est. FDR,0.500000,0.040646
Screen-TRex Ordinary: TLARS,FDR,0.600000,0.882498
Screen-TRex Ordinary: TLARS,TPR,0.600000,0.326000
Screen-TRex Ordinary: TLARS,Est. FDR,0.600000,0.036262
Screen-TRex Ordinary: TLARS,FDR,1.000000,0.852055
Screen-TRex Ordinary: TLARS,TPR,1.000000,0.523000
Screen-TRex Ordinary: TLARS,Est. FDR,1.000000,0.028211
Screen-TRex Ordinary: TLARS,FDR,2.000000,0.821880
Screen-TRex Ordinary: TLARS,TPR,2.000000,0.786500
Screen-TRex Ordinary: TLARS,Est. FDR,2.000000,0.022591
Screen-TRex Ordinary: TLARS,FDR,5.000000,0.803741
Screen-TRex Ordinary: TLARS,TPR,5.000000,0.988000
Screen-TRex Ordinary: TLARS,Est. FDR,5.000000,0.019857
Screen-TRex Bootstrap-CI: TLARS,FDR,0.010000,0.514000
Screen-TRex Bootstrap-CI: TLARS,TPR,0.010000,0.001500
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.010000,0.323304
Screen-TRex Bootstrap-CI: TLARS,FDR,0.100000,0.942210
Screen-TRex Bootstrap-CI: TLARS,TPR,0.100000,0.034000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.100000,0.119744
Screen-TRex Bootstrap-CI: TLARS,FDR,0.200000,0.915370
Screen-TRex Bootstrap-CI: TLARS,TPR,0.200000,0.095500
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.200000,0.070170
Screen-TRex Bootstrap-CI: TLARS,FDR,0.500000,0.875688
Screen-TRex Bootstrap-CI: TLARS,TPR,0.500000,0.268000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.500000,0.042252
Screen-TRex Bootstrap-CI: TLARS,FDR,0.600000,0.866546
Screen-TRex Bootstrap-CI: TLARS,TPR,0.600000,0.314000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.600000,0.037656
Screen-TRex Bootstrap-CI: TLARS,FDR,1.000000,0.840976
Screen-TRex Bootstrap-CI: TLARS,TPR,1.000000,0.507000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,1.000000,0.029121
Screen-TRex Bootstrap-CI: TLARS,FDR,2.000000,0.813024
Screen-TRex Bootstrap-CI: TLARS,TPR,2.000000,0.776500
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,2.000000,0.023302
Screen-TRex Bootstrap-CI: TLARS,FDR,5.000000,0.799513
Screen-TRex Bootstrap-CI: TLARS,TPR,5.000000,0.986500
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,5.000000,0.020313
Screen-TRex Ordinary+DA-EQUI: TLARS,FDR,0.010000,0.285000
Screen-TRex Ordinary+DA-EQUI: TLARS,TPR,0.010000,0.000000
Screen-TRex Ordinary+DA-EQUI: TLARS,Est. FDR,0.010000,0.246667
Screen-TRex Ordinary+DA-EQUI: TLARS,FDR,0.100000,0.945315
Screen-TRex Ordinary+DA-EQUI: TLARS,TPR,0.100000,0.022000
Screen-TRex Ordinary+DA-EQUI: TLARS,Est. FDR,0.100000,0.220872
Screen-TRex Ordinary+DA-EQUI: TLARS,FDR,0.200000,0.931824
Screen-TRex Ordinary+DA-EQUI: TLARS,TPR,0.200000,0.079000
Screen-TRex Ordinary+DA-EQUI: TLARS,Est. FDR,0.200000,0.094589
Screen-TRex Ordinary+DA-EQUI: TLARS,FDR,0.500000,0.879763
Screen-TRex Ordinary+DA-EQUI: TLARS,TPR,0.500000,0.251500
Screen-TRex Ordinary+DA-EQUI: TLARS,Est. FDR,0.500000,0.047799
Screen-TRex Ordinary+DA-EQUI: TLARS,FDR,0.600000,0.875709
Screen-TRex Ordinary+DA-EQUI: TLARS,TPR,0.600000,0.301500
Screen-TRex Ordinary+DA-EQUI: TLARS,Est. FDR,0.600000,0.041836
Screen-TRex Ordinary+DA-EQUI: TLARS,FDR,1.000000,0.844008
