method,metric,snr,value
Screen-TRex Ordinary: TLARS,Usage,0.100000,0.000000
Screen-TRex Ordinary: TLARS,FDR,0.100000,0.000000
Screen-TRex Ordinary: TLARS,TPR,0.100000,0.000000
Screen-TRex Ordinary: TLARS,Est. FDR,0.100000,0.522060
Screen-TRex Ordinary: TLARS,Usage,0.500000,0.034000
Screen-TRex Ordinary: TLARS,FDR,0.500000,0.306197
Screen-TRex Ordinary: TLARS,TPR,0.500000,0.982353
Screen-TRex Ordinary: TLARS,Est. FDR,0.500000,0.194457
Screen-TRex Ordinary: TLARS,Usage,1.000000,0.027000
Screen-TRex Ordinary: TLARS,FDR,1.000000,0.316578
Screen-TRex Ordinary: TLARS,TPR,1.000000,1.000000
Screen-TRex Ordinary: TLARS,Est. FDR,1.000000,0.179585
Screen-TRex Ordinary: TLARS,Usage,2.000000,0.032000
Screen-TRex Ordinary: TLARS,FDR,2.000000,0.302951
Screen-TRex Ordinary: TLARS,TPR,2.000000,1.000000
Screen-TRex Ordinary: TLARS,Est. FDR,2.000000,0.179268
Screen-TRex Ordinary: TLARS,Usage,5.000000,0.024000
Screen-TRex Ordinary: TLARS,FDR,5.000000,0.317543
Screen-TRex Ordinary: TLARS,TPR,5.000000,1.000000
Screen-TRex Ordinary: TLARS,Est. FDR,5.000000,0.180395
Screen-TRex Bootstrap-CI: TLARS,Usage,0.100000,0.001000
Screen-TRex Bootstrap-CI: TLARS,FDR,0.100000,0.714286
Screen-TRex Bootstrap-CI: TLARS,TPR,0.100000,0.400000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.100000,0.414493
Screen-TRex Bootstrap-CI: TLARS,Usage,0.500000,0.080000
Screen-TRex Bootstrap-CI: TLARS,FDR,0.500000,0.305729
Screen-TRex Bootstrap-CI: TLARS,TPR,0.500000,0.997500
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.500000,0.146387
Screen-TRex Bootstrap-CI: TLARS,Usage,1.000000,0.114000
Screen-TRex Bootstrap-CI: TLARS,FDR,1.000000,0.309366
Screen-TRex Bootstrap-CI: TLARS,TPR,1.000000,1.000000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,1.000000,0.157046
Screen-TRex Bootstrap-CI: TLARS,Usage,2.000000,0.128000
Screen-TRex Bootstrap-CI: TLARS,FDR,2.000000,0.313539
Screen-TRex Bootstrap-CI: TLARS,TPR,2.000000,1.000000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,2.000000,0.157640
Screen-TRex Bootstrap-CI: TLARS,Usage,5.000000,0.115000
Screen-TRex Bootstrap-CI: TLARS,FDR,5.000000,0.313665
Screen-TRex Bootstrap-CI: TLARS,TPR,5.000000,1.000000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,5.000000,0.163219
T-Rex fallback: TLARS,Usage,0.100000,0.999000
T-Rex fallback: TLARS,FDR,0.100000,0.013847
T-Rex fallback: TLARS,TPR,0.100000,0.016817
T-Rex fallback: TLARS,Est. FDR,0.100000,0.100000
T-Rex fallback: TLARS,Usage,0.500000,0.886000
T-Rex fallback: TLARS,FDR,0.500000,0.022874
T-Rex fallback: TLARS,TPR,0.500000,0.824379
T-Rex fallback: TLARS,Est. FDR,0.500000,0.100000
T-Rex fallback: TLARS,Usage,1.000000,0.859000
T-Rex fallback: TLARS,FDR,1.000000,0.013582
T-Rex fallback: TLARS,TPR,1.000000,0.997439
T-Rex fallback: TLARS,Est. FDR,1.000000,0.100000
T-Rex fallback: TLARS,Usage,2.000000,0.840000
T-Rex fallback: TLARS,FDR,2.000000,0.011310
T-Rex fallback: TLARS,TPR,2.000000,1.000000
T-Rex fallback: TLARS,Est. FDR,2.000000,0.100000
T-Rex fallback: TLARS,Usage,5.000000,0.861000
T-Rex fallback: TLARS,FDR,5.000000,0.010840
T-Rex fallback: TLARS,TPR,5.000000,1.000000
T-Rex fallback: TLARS,Est. FDR,5.000000,0.100000
