method,metric,snr,value
Screen-TRex Ordinary: TLARS,Usage,0.100000,0.000000
Screen-TRex Ordinary: TLARS,FDR,0.100000,0.000000
Screen-TRex Ordinary: TLARS,TPR,0.100000,0.000000
Screen-TRex Ordinary: TLARS,Est. FDR,0.100000,0.473000
Screen-TRex Ordinary: TLARS,Usage,0.500000,0.115000
Screen-TRex Ordinary: TLARS,FDR,0.500000,0.195531
Screen-TRex Ordinary: TLARS,TPR,0.500000,0.617391
Screen-TRex Ordinary: TLARS,Est. FDR,0.500000,0.229361
Screen-TRex Ordinary: TLARS,Usage,1.000000,0.475000
Screen-TRex Ordinary: TLARS,FDR,1.000000,0.074250
Screen-TRex Ordinary: TLARS,TPR,1.000000,0.805263
Screen-TRex Ordinary: TLARS,Est. FDR,1.000000,0.120050
Screen-TRex Ordinary: TLARS,Usage,2.000000,0.225000
Screen-TRex Ordinary: TLARS,FDR,2.000000,0.068420
Screen-TRex Ordinary: TLARS,TPR,2.000000,0.975556
Screen-TRex Ordinary: TLARS,Est. FDR,2.000000,0.095050
Screen-TRex Ordinary: TLARS,Usage,5.000000,0.115000
Screen-TRex Ordinary: TLARS,FDR,5.000000,0.069170
Screen-TRex Ordinary: TLARS,TPR,5.000000,1.000000
Screen-TRex Ordinary: TLARS,Est. FDR,5.000000,0.094767
Screen-TRex Bootstrap-CI: TLARS,Usage,0.100000,0.000000
Screen-TRex Bootstrap-CI: TLARS,FDR,0.100000,0.000000
Screen-TRex Bootstrap-CI: TLARS,TPR,0.100000,0.000000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.100000,0.379333
Screen-TRex Bootstrap-CI: TLARS,Usage,0.500000,0.090000
Screen-TRex Bootstrap-CI: TLARS,FDR,0.500000,0.153219
Screen-TRex Bootstrap-CI: TLARS,TPR,0.500000,0.638889
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,0.500000,0.120651
Screen-TRex Bootstrap-CI: TLARS,Usage,1.000000,0.430000
Screen-TRex Bootstrap-CI: TLARS,FDR,1.000000,0.060798
Screen-TRex Bootstrap-CI: TLARS,TPR,1.000000,0.843023
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,1.000000,0.053648
Screen-TRex Bootstrap-CI: TLARS,Usage,2.000000,0.775000
Screen-TRex Bootstrap-CI: TLARS,FDR,2.000000,0.052971
Screen-TRex Bootstrap-CI: TLARS,TPR,2.000000,0.998710
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,2.000000,0.073495
Screen-TRex Bootstrap-CI: TLARS,Usage,5.000000,0.885000
Screen-TRex Bootstrap-CI: TLARS,FDR,5.000000,0.050144
Screen-TRex Bootstrap-CI: TLARS,TPR,5.000000,1.000000
Screen-TRex Bootstrap-CI: TLARS,Est. FDR,5.000000,0.084062
T-Rex fallback: TLARS,Usage,0.100000,1.000000
T-Rex fallback: TLARS,FDR,0.100000,0.008333
T-Rex fallback: TLARS,TPR,0.100000,0.002000
T-Rex fallback: TLARS,Est. FDR,0.100000,0.100000
T-Rex fallback: TLARS,Usage,0.500000,0.795000
T-Rex fallback: TLARS,FDR,0.500000,0.025472
T-Rex fallback: TLARS,TPR,0.500000,0.194340
T-Rex fallback: TLARS,Est. FDR,0.500000,0.100000
T-Rex fallback: TLARS,Usage,1.000000,0.095000
T-Rex fallback: TLARS,FDR,1.000000,0.015038
T-Rex fallback: TLARS,TPR,1.000000,0.526316
T-Rex fallback: TLARS,Est. FDR,1.000000,0.100000
T-Rex fallback: TLARS,Usage,2.000000,0.000000
T-Rex fallback: TLARS,FDR,2.000000,0.000000
T-Rex fallback: TLARS,TPR,2.000000,0.000000
T-Rex fallback: TLARS,Est. FDR,2.000000,0.100000
T-Rex fallback: TLARS,Usage,5.000000,0.000000
T-Rex fallback: TLARS,FDR,5.000000,0.000000
T-Rex fallback: TLARS,TPR,5.000000,0.000000
T-Rex fallback: TLARS,Est. FDR,5.000000,0.100000
