method,metric,SNR,value
TLARS (Ordinary),FDR,0.010000,0.449167
TLARS (Ordinary),TPR,0.010000,0.005000
TLARS (Ordinary),Est. FDR,0.010000,0.379583
TLARS (Ordinary),FDR,0.100000,0.390000
TLARS (Ordinary),TPR,0.100000,0.036000
TLARS (Ordinary),Est. FDR,0.100000,0.502417
TLARS (Ordinary),FDR,0.200000,0.255583
TLARS (Ordinary),TPR,0.200000,0.116000
TLARS (Ordinary),Est. FDR,0.200000,0.462250
TLARS (Ordinary),FDR,0.500000,0.110721
TLARS (Ordinary),TPR,0.500000,0.457000
TLARS (Ordinary),Est. FDR,0.500000,0.220464
TLARS (Ordinary),FDR,0.600000,0.095165
TLARS (Ordinary),TPR,0.600000,0.542000
TLARS (Ordinary),Est. FDR,0.600000,0.183504
TLARS (Ordinary),FDR,1.000000,0.073459
TLARS (Ordinary),TPR,1.000000,0.831500
TLARS (Ordinary),Est. FDR,1.000000,0.113308
TLARS (Ordinary),FDR,2.000000,0.049466
TLARS (Ordinary),TPR,2.000000,0.994000
TLARS (Ordinary),Est. FDR,2.000000,0.095693
TLARS (Ordinary),FDR,5.000000,0.067519
TLARS (Ordinary),TPR,5.000000,1.000000
TLARS (Ordinary),Est. FDR,5.000000,0.093248
TAFS-0.3 (Ordinary),FDR,0.010000,0.440250
TAFS-0.3 (Ordinary),TPR,0.010000,0.004000
TAFS-0.3 (Ordinary),Est. FDR,0.010000,0.377417
TAFS-0.3 (Ordinary),FDR,0.100000,0.377083
TAFS-0.3 (Ordinary),TPR,0.100000,0.034500
TAFS-0.3 (Ordinary),Est. FDR,0.100000,0.495417
TAFS-0.3 (Ordinary),FDR,0.200000,0.263500
TAFS-0.3 (Ordinary),TPR,0.200000,0.124500
TAFS-0.3 (Ordinary),Est. FDR,0.200000,0.457250
TAFS-0.3 (Ordinary),FDR,0.500000,0.113931
TAFS-0.3 (Ordinary),TPR,0.500000,0.509500
TAFS-0.3 (Ordinary),Est. FDR,0.500000,0.206760
TAFS-0.3 (Ordinary),FDR,0.600000,0.077742
TAFS-0.3 (Ordinary),TPR,0.600000,0.613500
TAFS-0.3 (Ordinary),Est. FDR,0.600000,0.167435
TAFS-0.3 (Ordinary),FDR,1.000000,0.064977
TAFS-0.3 (Ordinary),TPR,1.000000,0.933000
TAFS-0.3 (Ordinary),Est. FDR,1.000000,0.101180
TAFS-0.3 (Ordinary),FDR,2.000000,0.052414
TAFS-0.3 (Ordinary),TPR,2.000000,1.000000
TAFS-0.3 (Ordinary),Est. FDR,2.000000,0.094759
TAFS-0.3 (Ordinary),FDR,5.000000,0.062110
TAFS-0.3 (Ordinary),TPR,5.000000,1.000000
TAFS-0.3 (Ordinary),Est. FDR,5.000000,0.093789
TOMP (Ordinary),FDR,0.010000,0.450417
TOMP (Ordinary),TPR,0.010000,0.005000
TOMP (Ordinary),Est. FDR,0.010000,0.368798
TOMP (Ordinary),FDR,0.100000,0.333750
TOMP (Ordinary),TPR,0.100000,0.035000
TOMP (Ordinary),Est. FDR,0.100000,0.468333
TOMP (Ordinary),FDR,0.200000,0.272583
TOMP (Ordinary),TPR,0.200000,0.112500
TOMP (Ordinary),Est. FDR,0.200000,0.481333
TOMP (Ordinary),FDR,0.500000,0.113461
TOMP (Ordinary),TPR,0.500000,0.505000
TOMP (Ordinary),Est. FDR,0.500000,0.201534
TOMP (Ordinary),FDR,0.600000,0.080902
TOMP (Ordinary),TPR,0.600000,0.615500
TOMP (Ordinary),Est. FDR,0.600000,0.172862
TOMP (Ordinary),FDR,1.000000,0.062717
TOMP (Ordinary),TPR,1.000000,0.946000
TOMP (Ordinary),Est. FDR,1.000000,0.100162
TOMP (Ordinary),FDR,2.000000,0.057471
TOMP (Ordinary),TPR,2.000000,1.000000
TOMP (Ordinary),Est. FDR,2.000000,0.094253
TOMP (Ordinary),FDR,5.000000,0.059767
TOMP (Ordinary),TPR,5.000000,1.000000
TOMP (Ordinary),Est. FDR,5.000000,0.094023
TLARS (Bootstrap),FDR,0.010000,0.368750
TLARS (Bootstrap),TPR,0.010000,0.004000
TLARS (Bootstrap),Est. FDR,0.010000,0.325417
TLARS (Bootstrap),FDR,0.100000,0.305000
TLARS (Bootstrap),TPR,0.100000,0.029500
TLARS (Bootstrap),Est. FDR,0.100000,0.392833
TLARS (Bootstrap),FDR,0.200000,0.176750
TLARS (Bootstrap),TPR,0.200000,0.079500
