method,metric,SNR,value
TLARS (Ordinary),FDR,0.010000,0.462333
TLARS (Ordinary),TPR,0.010000,0.005000
TLARS (Ordinary),Est. FDR,0.010000,0.407667
TLARS (Ordinary),FDR,0.100000,0.343333
TLARS (Ordinary),TPR,0.100000,0.035000
TLARS (Ordinary),Est. FDR,0.100000,0.464083
TLARS (Ordinary),FDR,0.200000,0.262417
TLARS (Ordinary),TPR,0.200000,0.116500
TLARS (Ordinary),Est. FDR,0.200000,0.463750
TLARS (Ordinary),FDR,0.500000,0.110565
TLARS (Ordinary),TPR,0.500000,0.438500
TLARS (Ordinary),Est. FDR,0.500000,0.237351
TLARS (Ordinary),FDR,0.600000,0.091326
TLARS (Ordinary),TPR,0.600000,0.539500
TLARS (Ordinary),Est. FDR,0.600000,0.181653
TLARS (Ordinary),FDR,1.000000,0.069838
TLARS (Ordinary),TPR,1.000000,0.829000
TLARS (Ordinary),Est. FDR,1.000000,0.114088
TLARS (Ordinary),FDR,2.000000,0.047075
TLARS (Ordinary),TPR,2.000000,0.993000
TLARS (Ordinary),Est. FDR,2.000000,0.096043
TLARS (Ordinary),FDR,5.000000,0.067040
TLARS (Ordinary),TPR,5.000000,1.000000
TLARS (Ordinary),Est. FDR,5.000000,0.093296
TAFS-0.3 (Ordinary),FDR,0.010000,0.434833
TAFS-0.3 (Ordinary),TPR,0.010000,0.005000
TAFS-0.3 (Ordinary),Est. FDR,0.010000,0.380583
TAFS-0.3 (Ordinary),FDR,0.100000,0.367083
TAFS-0.3 (Ordinary),TPR,0.100000,0.037000
TAFS-0.3 (Ordinary),Est. FDR,0.100000,0.495833
TAFS-0.3 (Ordinary),FDR,0.200000,0.281083
TAFS-0.3 (Ordinary),TPR,0.200000,0.122500
TAFS-0.3 (Ordinary),Est. FDR,0.200000,0.463333
TAFS-0.3 (Ordinary),FDR,0.500000,0.107468
TAFS-0.3 (Ordinary),TPR,0.500000,0.498500
TAFS-0.3 (Ordinary),Est. FDR,0.500000,0.212978
TAFS-0.3 (Ordinary),FDR,0.600000,0.082006
TAFS-0.3 (Ordinary),TPR,0.600000,0.619000
TAFS-0.3 (Ordinary),Est. FDR,0.600000,0.166394
TAFS-0.3 (Ordinary),FDR,1.000000,0.067978
TAFS-0.3 (Ordinary),TPR,1.000000,0.931500
TAFS-0.3 (Ordinary),Est. FDR,1.000000,0.101183
TAFS-0.3 (Ordinary),FDR,2.000000,0.052890
TAFS-0.3 (Ordinary),TPR,2.000000,1.000000
TAFS-0.3 (Ordinary),Est. FDR,2.000000,0.094711
TAFS-0.3 (Ordinary),FDR,5.000000,0.061120
TAFS-0.3 (Ordinary),TPR,5.000000,1.000000
TAFS-0.3 (Ordinary),Est. FDR,5.000000,0.093888
TOMP (Ordinary),FDR,0.010000,0.463333
TOMP (Ordinary),TPR,0.010000,0.004500
TOMP (Ordinary),Est. FDR,0.010000,0.376333
TOMP (Ordinary),FDR,0.100000,0.361667
TOMP (Ordinary),TPR,0.100000,0.034000
TOMP (Ordinary),Est. FDR,0.100000,0.483333
TOMP (Ordinary),FDR,0.200000,0.283167
TOMP (Ordinary),TPR,0.200000,0.117500
TOMP (Ordinary),Est. FDR,0.200000,0.482917
TOMP (Ordinary),FDR,0.500000,0.114914
TOMP (Ordinary),TPR,0.500000,0.496000
TOMP (Ordinary),Est. FDR,0.500000,0.208209
TOMP (Ordinary),FDR,0.600000,0.085302
TOMP (Ordinary),TPR,0.600000,0.634500
TOMP (Ordinary),Est. FDR,0.600000,0.158703
TOMP (Ordinary),FDR,1.000000,0.056833
TOMP (Ordinary),TPR,1.000000,0.948500
TOMP (Ordinary),Est. FDR,1.000000,0.100346
TOMP (Ordinary),FDR,2.000000,0.060252
TOMP (Ordinary),TPR,2.000000,1.000000
TOMP (Ordinary),Est. FDR,2.000000,0.093975
TOMP (Ordinary),FDR,5.000000,0.060828
TOMP (Ordinary),TPR,5.000000,1.000000
TOMP (Ordinary),Est. FDR,5.000000,0.093917
