method,metric,snr_db,value
OrdPCA,FDR,-10.000000,0.950000
OrdPCA,TPR,-10.000000,1.000000
OrdPCA,PEV,-10.000000,0.202099
OrdPCA,FDR,-7.000000,0.950000
OrdPCA,TPR,-7.000000,1.000000
OrdPCA,PEV,-7.000000,0.262015
OrdPCA,FDR,-5.000000,0.950000
OrdPCA,TPR,-5.000000,1.000000
OrdPCA,PEV,-5.000000,0.324816
OrdPCA,FDR,-3.000000,0.950000
OrdPCA,TPR,-3.000000,1.000000
OrdPCA,PEV,-3.000000,0.404519
OrdPCA,FDR,0.000000,0.950000
OrdPCA,TPR,0.000000,1.000000
OrdPCA,PEV,0.000000,0.550732
OrdPCA,FDR,3.000000,0.950000
OrdPCA,TPR,3.000000,1.000000
OrdPCA,PEV,3.000000,0.697647
OrdPCA,FDR,5.000000,0.950000
OrdPCA,TPR,5.000000,1.000000
OrdPCA,PEV,5.000000,0.782563
OrdPCA,FDR,7.000000,0.950000
OrdPCA,TPR,7.000000,1.000000
OrdPCA,PEV,7.000000,0.848984
OrdPCA,FDR,10.000000,0.950000
OrdPCA,TPR,10.000000,1.000000
OrdPCA,PEV,10.000000,0.917386
OraclePCA,FDR,-10.000000,0.006000
OraclePCA,TPR,-10.000000,0.994000
OraclePCA,PEV,-10.000000,0.124059
OraclePCA,FDR,-7.000000,0.000000
OraclePCA,TPR,-7.000000,1.000000
OraclePCA,PEV,-7.000000,0.193467
OraclePCA,FDR,-5.000000,0.000000
OraclePCA,TPR,-5.000000,1.000000
OraclePCA,PEV,-5.000000,0.263017
OraclePCA,FDR,-3.000000,0.000000
OraclePCA,TPR,-3.000000,1.000000
OraclePCA,PEV,-3.000000,0.347505
OraclePCA,FDR,0.000000,0.000000
OraclePCA,TPR,0.000000,1.000000
OraclePCA,PEV,0.000000,0.504720
OraclePCA,FDR,3.000000,0.000000
OraclePCA,TPR,3.000000,1.000000
OraclePCA,PEV,3.000000,0.662162
OraclePCA,FDR,5.000000,0.000000
OraclePCA,TPR,5.000000,1.000000
OraclePCA,PEV,5.000000,0.749918
OraclePCA,FDR,7.000000,0.000000
OraclePCA,TPR,7.000000,1.000000
OraclePCA,PEV,7.000000,0.821873
OraclePCA,FDR,10.000000,0.000000
OraclePCA,TPR,10.000000,1.000000
OraclePCA,PEV,10.000000,0.892537
TRexSPCA-EN-Act,FDR,-10.000000,0.092440
TRexSPCA-EN-Act,TPR,-10.000000,0.996000
TRexSPCA-EN-Act,PEV,-10.000000,0.117737
TRexSPCA-EN-Act,FDR,-7.000000,0.066835
TRexSPCA-EN-Act,TPR,-7.000000,1.000000
TRexSPCA-EN-Act,PEV,-7.000000,0.182049
TRexSPCA-EN-Act,FDR,-5.000000,0.062282
TRexSPCA-EN-Act,TPR,-5.000000,1.000000
TRexSPCA-EN-Act,PEV,-5.000000,0.249755
TRexSPCA-EN-Act,FDR,-3.000000,0.064186
TRexSPCA-EN-Act,TPR,-3.000000,1.000000
TRexSPCA-EN-Act,PEV,-3.000000,0.328851
TRexSPCA-EN-Act,FDR,0.000000,0.069809
TRexSPCA-EN-Act,TPR,0.000000,1.000000
TRexSPCA-EN-Act,PEV,0.000000,0.469161
TRexSPCA-EN-Act,FDR,3.000000,0.061240
TRexSPCA-EN-Act,TPR,3.000000,1.000000
TRexSPCA-EN-Act,PEV,3.000000,0.605779
TRexSPCA-EN-Act,FDR,5.000000,0.080852
TRexSPCA-EN-Act,TPR,5.000000,1.000000
TRexSPCA-EN-Act,PEV,5.000000,0.673686
TRexSPCA-EN-Act,FDR,7.000000,0.069135
TRexSPCA-EN-Act,TPR,7.000000,1.000000
TRexSPCA-EN-Act,PEV,7.000000,0.715220
TRexSPCA-EN-Act,FDR,10.000000,0.078968
TRexSPCA-EN-Act,TPR,10.000000,1.000000
TRexSPCA-EN-Act,PEV,10.000000,0.747846
TRexSPCA-ENaug-Act,FDR,-10.000000,0.093978
TRexSPCA-ENaug-Act,TPR,-10.000000,0.996000
TRexSPCA-ENaug-Act,PEV,-10.000000,0.117588
TRexSPCA-ENaug-Act,FDR,-7.000000,0.063838
TRexSPCA-ENaug-Act,TPR,-7.000000,1.000000
TRexSPCA-ENaug-Act,PEV,-7.000000,0.182287
TRexSPCA-ENaug-Act,FDR,-5.000000,0.059683
TRexSPCA-ENaug-Act,TPR,-5.000000,1.000000
TRexSPCA-ENaug-Act,PEV,-5.000000,0.249638
TRexSPCA-ENaug-Act,FDR,-3.000000,0.066367
TRexSPCA-ENaug-Act,TPR,-3.000000,1.000000
TRexSPCA-ENaug-Act,PEV,-3.000000,0.328643
TRexSPCA-ENaug-Act,FDR,0.000000,0.073023
TRexSPCA-ENaug-Act,TPR,0.000000,1.000000
TRexSPCA-ENaug-Act,PEV,0.000000,0.469110
TRexSPCA-ENaug-Act,FDR,3.000000,0.064453
TRexSPCA-ENaug-Act,TPR,3.000000,1.000000
TRexSPCA-ENaug-Act,PEV,3.000000,0.606390
TRexSPCA-ENaug-Act,FDR,5.000000,0.074672
TRexSPCA-ENaug-Act,TPR,5.000000,1.000000
TRexSPCA-ENaug-Act,PEV,5.000000,0.672826
TRexSPCA-ENaug-Act,FDR,7.000000,0.063214
TRexSPCA-ENaug-Act,TPR,7.000000,1.000000
TRexSPCA-ENaug-Act,PEV,7.000000,0.711907
TRexSPCA-ENaug-Act,FDR,10.000000,0.069058
TRexSPCA-ENaug-Act,TPR,10.000000,1.000000
TRexSPCA-ENaug-Act,PEV,10.000000,0.745838
TRexSPCA-EN-Thr,FDR,-10.000000,0.100435
TRexSPCA-EN-Thr,TPR,-10.000000,0.997000
TRexSPCA-EN-Thr,PEV,-10.000000,0.128077
TRexSPCA-EN-Thr,FDR,-7.000000,0.068253
TRexSPCA-EN-Thr,TPR,-7.000000,1.000000
TRexSPCA-EN-Thr,PEV,-7.000000,0.194687
TRexSPCA-EN-Thr,FDR,-5.000000,0.057302
TRexSPCA-EN-Thr,TPR,-5.000000,1.000000
TRexSPCA-EN-Thr,PEV,-5.000000,0.263281
TRexSPCA-EN-Thr,FDR,-3.000000,0.058639
TRexSPCA-EN-Thr,TPR,-3.000000,1.000000
TRexSPCA-EN-Thr,PEV,-3.000000,0.346789
TRexSPCA-EN-Thr,FDR,0.000000,0.069176
TRexSPCA-EN-Thr,TPR,0.000000,1.000000
TRexSPCA-EN-Thr,PEV,0.000000,0.498575
TRexSPCA-EN-Thr,FDR,3.000000,0.063392
TRexSPCA-EN-Thr,TPR,3.000000,1.000000
TRexSPCA-EN-Thr,PEV,3.000000,0.652408
TRexSPCA-EN-Thr,FDR,5.000000,0.074553
TRexSPCA-EN-Thr,TPR,5.000000,1.000000
TRexSPCA-EN-Thr,PEV,5.000000,0.740098
TRexSPCA-EN-Thr,FDR,7.000000,0.066229
TRexSPCA-EN-Thr,TPR,7.000000,1.000000
TRexSPCA-EN-Thr,PEV,7.000000,0.809343
TRexSPCA-EN-Thr,FDR,10.000000,0.065932
TRexSPCA-EN-Thr,TPR,10.000000,1.000000
TRexSPCA-EN-Thr,PEV,10.000000,0.880749
TRexSPCA-ENaug-Thr,FDR,-10.000000,0.097906
TRexSPCA-ENaug-Thr,TPR,-10.000000,0.997000
TRexSPCA-ENaug-Thr,PEV,-10.000000,0.128142
TRexSPCA-ENaug-Thr,FDR,-7.000000,0.069165
TRexSPCA-ENaug-Thr,TPR,-7.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,-7.000000,0.194761
TRexSPCA-ENaug-Thr,FDR,-5.000000,0.057381
TRexSPCA-ENaug-Thr,TPR,-5.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,-5.000000,0.263227
TRexSPCA-ENaug-Thr,FDR,-3.000000,0.066853
TRexSPCA-ENaug-Thr,TPR,-3.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,-3.000000,0.346380
TRexSPCA-ENaug-Thr,FDR,0.000000,0.068212
TRexSPCA-ENaug-Thr,TPR,0.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.000000,0.498640
TRexSPCA-ENaug-Thr,FDR,3.000000,0.062638
TRexSPCA-ENaug-Thr,TPR,3.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,3.000000,0.651945
TRexSPCA-ENaug-Thr,FDR,5.000000,0.084929
TRexSPCA-ENaug-Thr,TPR,5.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,5.000000,0.739638
TRexSPCA-ENaug-Thr,FDR,7.000000,0.065285
TRexSPCA-ENaug-Thr,TPR,7.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,7.000000,0.810215
