method,metric,snr_db,value
OrdPCA,FDR,-10.000000,0.950000
OrdPCA,TPR,-10.000000,1.000000
OrdPCA,PEV,-10.000000,0.202099
OrdPCA,FDR,-7.000000,0.950000
OrdPCA,TPR,-7.000000,1.000000
OrdPCA,PEV,-7.000000,0.262015
OrdPCA,FDR,-5.000000,0.950000
OrdPCA,TPR,-5.000000,1.000000
OrdPCA,PEV,-5.000000,0.324816
OrdPCA,FDR,-3.000000,0.950000
OrdPCA,TPR,-3.000000,1.000000
OrdPCA,PEV,-3.000000,0.404519
OrdPCA,FDR,0.000000,0.950000
OrdPCA,TPR,0.000000,1.000000
OrdPCA,PEV,0.000000,0.550732
OrdPCA,FDR,3.000000,0.950000
OrdPCA,TPR,3.000000,1.000000
OrdPCA,PEV,3.000000,0.697647
OrdPCA,FDR,5.000000,0.950000
OrdPCA,TPR,5.000000,1.000000
OrdPCA,PEV,5.000000,0.782563
OrdPCA,FDR,7.000000,0.950000
OrdPCA,TPR,7.000000,1.000000
OrdPCA,PEV,7.000000,0.848984
OrdPCA,FDR,10.000000,0.950000
OrdPCA,TPR,10.000000,1.000000
OrdPCA,PEV,10.000000,0.917386
OraclePCA,FDR,-10.000000,0.006000
OraclePCA,TPR,-10.000000,0.994000
OraclePCA,PEV,-10.000000,0.124059
OraclePCA,FDR,-7.000000,0.000000
OraclePCA,TPR,-7.000000,1.000000
OraclePCA,PEV,-7.000000,0.193467
OraclePCA,FDR,-5.000000,0.000000
OraclePCA,TPR,-5.000000,1.000000
OraclePCA,PEV,-5.000000,0.263017
OraclePCA,FDR,-3.000000,0.000000
OraclePCA,TPR,-3.000000,1.000000
OraclePCA,PEV,-3.000000,0.347505
OraclePCA,FDR,0.000000,0.000000
OraclePCA,TPR,0.000000,1.000000
OraclePCA,PEV,0.000000,0.504720
OraclePCA,FDR,3.000000,0.000000
OraclePCA,TPR,3.000000,1.000000
OraclePCA,PEV,3.000000,0.662162
OraclePCA,FDR,5.000000,0.000000
OraclePCA,TPR,5.000000,1.000000
OraclePCA,PEV,5.000000,0.749918
OraclePCA,FDR,7.000000,0.000000
OraclePCA,TPR,7.000000,1.000000
OraclePCA,PEV,7.000000,0.821873
OraclePCA,FDR,10.000000,0.000000
OraclePCA,TPR,10.000000,1.000000
OraclePCA,PEV,10.000000,0.892537
TRexSPCA-EN-Act,FDR,-10.000000,0.099431
TRexSPCA-EN-Act,TPR,-10.000000,0.995000
TRexSPCA-EN-Act,PEV,-10.000000,0.118011
TRexSPCA-EN-Act,FDR,-7.000000,0.067152
TRexSPCA-EN-Act,TPR,-7.000000,1.000000
TRexSPCA-EN-Act,PEV,-7.000000,0.182324
TRexSPCA-EN-Act,FDR,-5.000000,0.056071
TRexSPCA-EN-Act,TPR,-5.000000,1.000000
TRexSPCA-EN-Act,PEV,-5.000000,0.249553
TRexSPCA-EN-Act,FDR,-3.000000,0.062311
TRexSPCA-EN-Act,TPR,-3.000000,1.000000
TRexSPCA-EN-Act,PEV,-3.000000,0.328068
TRexSPCA-EN-Act,FDR,0.000000,0.071297
TRexSPCA-EN-Act,TPR,0.000000,1.000000
TRexSPCA-EN-Act,PEV,0.000000,0.468902
TRexSPCA-EN-Act,FDR,3.000000,0.059444
TRexSPCA-EN-Act,TPR,3.000000,1.000000
TRexSPCA-EN-Act,PEV,3.000000,0.605806
TRexSPCA-EN-Act,FDR,5.000000,0.076627
TRexSPCA-EN-Act,TPR,5.000000,1.000000
TRexSPCA-EN-Act,PEV,5.000000,0.672681
TRexSPCA-EN-Act,FDR,7.000000,0.065631
TRexSPCA-EN-Act,TPR,7.000000,1.000000
TRexSPCA-EN-Act,PEV,7.000000,0.713038
TRexSPCA-EN-Act,FDR,10.000000,0.068917
TRexSPCA-EN-Act,TPR,10.000000,1.000000
TRexSPCA-EN-Act,PEV,10.000000,0.744232
TRexSPCA-ENaug-Act,FDR,-10.000000,0.093865
TRexSPCA-ENaug-Act,TPR,-10.000000,0.995000
TRexSPCA-ENaug-Act,PEV,-10.000000,0.117373
TRexSPCA-ENaug-Act,FDR,-7.000000,0.062024
TRexSPCA-ENaug-Act,TPR,-7.000000,1.000000
TRexSPCA-ENaug-Act,PEV,-7.000000,0.182514
TRexSPCA-ENaug-Act,FDR,-5.000000,0.056280
TRexSPCA-ENaug-Act,TPR,-5.000000,1.000000
TRexSPCA-ENaug-Act,PEV,-5.000000,0.249346
TRexSPCA-ENaug-Act,FDR,-3.000000,0.064086
TRexSPCA-ENaug-Act,TPR,-3.000000,1.000000
TRexSPCA-ENaug-Act,PEV,-3.000000,0.328285
TRexSPCA-ENaug-Act,FDR,0.000000,0.069929
TRexSPCA-ENaug-Act,TPR,0.000000,1.000000
TRexSPCA-ENaug-Act,PEV,0.000000,0.468433
TRexSPCA-ENaug-Act,FDR,3.000000,0.061547
TRexSPCA-ENaug-Act,TPR,3.000000,1.000000
TRexSPCA-ENaug-Act,PEV,3.000000,0.606014
TRexSPCA-ENaug-Act,FDR,5.000000,0.079076
TRexSPCA-ENaug-Act,TPR,5.000000,1.000000
TRexSPCA-ENaug-Act,PEV,5.000000,0.672610
TRexSPCA-ENaug-Act,FDR,7.000000,0.065413
TRexSPCA-ENaug-Act,TPR,7.000000,1.000000
TRexSPCA-ENaug-Act,PEV,7.000000,0.713884
TRexSPCA-ENaug-Act,FDR,10.000000,0.073621
TRexSPCA-ENaug-Act,TPR,10.000000,1.000000
TRexSPCA-ENaug-Act,PEV,10.000000,0.745620
TRexSPCA-EN-Thr,FDR,-10.000000,0.099977
TRexSPCA-EN-Thr,TPR,-10.000000,0.995000
TRexSPCA-EN-Thr,PEV,-10.000000,0.127645
TRexSPCA-EN-Thr,FDR,-7.000000,0.072262
TRexSPCA-EN-Thr,TPR,-7.000000,1.000000
TRexSPCA-EN-Thr,PEV,-7.000000,0.194456
TRexSPCA-EN-Thr,FDR,-5.000000,0.057054
TRexSPCA-EN-Thr,TPR,-5.000000,1.000000
TRexSPCA-EN-Thr,PEV,-5.000000,0.263579
TRexSPCA-EN-Thr,FDR,-3.000000,0.063351
TRexSPCA-EN-Thr,TPR,-3.000000,1.000000
TRexSPCA-EN-Thr,PEV,-3.000000,0.346273
TRexSPCA-EN-Thr,FDR,0.000000,0.073877
TRexSPCA-EN-Thr,TPR,0.000000,1.000000
TRexSPCA-EN-Thr,PEV,0.000000,0.498669
TRexSPCA-EN-Thr,FDR,3.000000,0.059999
TRexSPCA-EN-Thr,TPR,3.000000,1.000000
TRexSPCA-EN-Thr,PEV,3.000000,0.652582
TRexSPCA-EN-Thr,FDR,5.000000,0.074751
TRexSPCA-EN-Thr,TPR,5.000000,1.000000
TRexSPCA-EN-Thr,PEV,5.000000,0.739503
TRexSPCA-EN-Thr,FDR,7.000000,0.067301
TRexSPCA-EN-Thr,TPR,7.000000,1.000000
TRexSPCA-EN-Thr,PEV,7.000000,0.810386
TRexSPCA-EN-Thr,FDR,10.000000,0.069028
TRexSPCA-EN-Thr,TPR,10.000000,1.000000
TRexSPCA-EN-Thr,PEV,10.000000,0.880948
TRexSPCA-ENaug-Thr,FDR,-10.000000,0.088580
TRexSPCA-ENaug-Thr,TPR,-10.000000,0.996000
TRexSPCA-ENaug-Thr,PEV,-10.000000,0.127849
TRexSPCA-ENaug-Thr,FDR,-7.000000,0.065446
TRexSPCA-ENaug-Thr,TPR,-7.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,-7.000000,0.194686
TRexSPCA-ENaug-Thr,FDR,-5.000000,0.061022
TRexSPCA-ENaug-Thr,TPR,-5.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,-5.000000,0.262980
TRexSPCA-ENaug-Thr,FDR,-3.000000,0.061110
TRexSPCA-ENaug-Thr,TPR,-3.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,-3.000000,0.346418
TRexSPCA-ENaug-Thr,FDR,0.000000,0.075444
TRexSPCA-ENaug-Thr,TPR,0.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.000000,0.498760
TRexSPCA-ENaug-Thr,FDR,3.000000,0.067580
TRexSPCA-ENaug-Thr,TPR,3.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,3.000000,0.652437
TRexSPCA-ENaug-Thr,FDR,5.000000,0.072857
TRexSPCA-ENaug-Thr,TPR,5.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,5.000000,0.740077
TRexSPCA-ENaug-Thr,FDR,7.000000,0.070970
TRexSPCA-ENaug-Thr,TPR,7.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,7.000000,0.810108
