response,metric,tfdr,snr_db,value
plugin,FDR,0.010000,-10.000000,0.004929
plugin,FDR,0.050000,-10.000000,0.043320
plugin,FDR,0.100000,-10.000000,0.105737
plugin,FDR,0.150000,-10.000000,0.219642
plugin,FDR,0.200000,-10.000000,0.309737
plugin,FDR,0.250000,-10.000000,0.383356
plugin,FDR,0.300000,-10.000000,0.457672
plugin,FDR,0.350000,-10.000000,0.527117
plugin,FDR,0.400000,-10.000000,0.586964
plugin,FDR,0.450000,-10.000000,0.636686
plugin,FDR,0.500000,-10.000000,0.682792
plugin,FDR,0.010000,-7.000000,0.005439
plugin,FDR,0.050000,-7.000000,0.040701
plugin,FDR,0.100000,-7.000000,0.082158
plugin,FDR,0.150000,-7.000000,0.186485
plugin,FDR,0.200000,-7.000000,0.274939
plugin,FDR,0.250000,-7.000000,0.352097
plugin,FDR,0.300000,-7.000000,0.421985
plugin,FDR,0.350000,-7.000000,0.488558
plugin,FDR,0.400000,-7.000000,0.542279
plugin,FDR,0.450000,-7.000000,0.601764
plugin,FDR,0.500000,-7.000000,0.646186
plugin,FDR,0.010000,-5.000000,0.007732
plugin,FDR,0.050000,-5.000000,0.040431
plugin,FDR,0.100000,-5.000000,0.089494
plugin,FDR,0.150000,-5.000000,0.177687
plugin,FDR,0.200000,-5.000000,0.268574
plugin,FDR,0.250000,-5.000000,0.342477
plugin,FDR,0.300000,-5.000000,0.410317
plugin,FDR,0.350000,-5.000000,0.470490
plugin,FDR,0.400000,-5.000000,0.526560
plugin,FDR,0.450000,-5.000000,0.579923
plugin,FDR,0.500000,-5.000000,0.627215
plugin,FDR,0.010000,-3.000000,0.013368
plugin,FDR,0.050000,-3.000000,0.056838
plugin,FDR,0.100000,-3.000000,0.105712
plugin,FDR,0.150000,-3.000000,0.188040
plugin,FDR,0.200000,-3.000000,0.272008
plugin,FDR,0.250000,-3.000000,0.338416
plugin,FDR,0.300000,-3.000000,0.405235
plugin,FDR,0.350000,-3.000000,0.458967
plugin,FDR,0.400000,-3.000000,0.525122
plugin,FDR,0.450000,-3.000000,0.573099
plugin,FDR,0.500000,-3.000000,0.623322
plugin,FDR,0.010000,0.000000,0.018845
plugin,FDR,0.050000,0.000000,0.071927
plugin,FDR,0.100000,0.000000,0.125296
plugin,FDR,0.150000,0.000000,0.214219
plugin,FDR,0.200000,0.000000,0.297813
plugin,FDR,0.250000,0.000000,0.371499
plugin,FDR,0.300000,0.000000,0.432040
plugin,FDR,0.350000,0.000000,0.491993
plugin,FDR,0.400000,0.000000,0.541837
plugin,FDR,0.450000,0.000000,0.589564
plugin,FDR,0.500000,0.000000,0.635214
plugin,FDR,0.010000,3.000000,0.017878
plugin,FDR,0.050000,3.000000,0.077202
plugin,FDR,0.100000,3.000000,0.136526
plugin,FDR,0.150000,3.000000,0.222363
plugin,FDR,0.200000,3.000000,0.301763
plugin,FDR,0.250000,3.000000,0.369052
plugin,FDR,0.300000,3.000000,0.433857
plugin,FDR,0.350000,3.000000,0.484399
plugin,FDR,0.400000,3.000000,0.537823
plugin,FDR,0.450000,3.000000,0.589381
plugin,FDR,0.500000,3.000000,0.628638
plugin,FDR,0.010000,5.000000,0.045148
plugin,FDR,0.050000,5.000000,0.097946
plugin,FDR,0.100000,5.000000,0.156322
plugin,FDR,0.150000,5.000000,0.242867
plugin,FDR,0.200000,5.000000,0.321330
plugin,FDR,0.250000,5.000000,0.387446
plugin,FDR,0.300000,5.000000,0.445541
plugin,FDR,0.350000,5.000000,0.507547
