method,metric,p1,value
OrdPCA,FDR,1.000000,0.990000
OrdPCA,TPR,1.000000,1.000000
OrdPCA,PEV,1.000000,0.550163
OrdPCA,PEVsig,1.000000,1.067674
OrdPCA,PEVsigmix,1.000000,1.035984
OrdPCA,FDR,5.000000,0.950000
OrdPCA,TPR,5.000000,1.000000
OrdPCA,PEV,5.000000,0.548945
OrdPCA,PEVsig,5.000000,0.975337
OrdPCA,PEVsigmix,5.000000,0.951430
OrdPCA,FDR,10.000000,0.900000
OrdPCA,TPR,10.000000,1.000000
OrdPCA,PEV,10.000000,0.550750
OrdPCA,PEVsig,10.000000,0.909982
OrdPCA,PEVsigmix,10.000000,0.888013
OrdPCA,FDR,15.000000,0.850000
OrdPCA,TPR,15.000000,1.000000
OrdPCA,PEV,15.000000,0.552010
OrdPCA,PEVsig,15.000000,0.873486
OrdPCA,PEVsigmix,15.000000,0.851559
OrdPCA,FDR,20.000000,0.800000
OrdPCA,TPR,20.000000,1.000000
OrdPCA,PEV,20.000000,0.552432
OrdPCA,PEVsig,20.000000,0.857496
OrdPCA,PEVsigmix,20.000000,0.833968
OrdPCA,FDR,25.000000,0.750000
OrdPCA,TPR,25.000000,1.000000
OrdPCA,PEV,25.000000,0.556837
OrdPCA,PEVsig,25.000000,0.856963
OrdPCA,PEVsigmix,25.000000,0.829977
OrdPCA,FDR,30.000000,0.700000
OrdPCA,TPR,30.000000,1.000000
OrdPCA,PEV,30.000000,0.569373
OrdPCA,PEVsig,30.000000,0.874949
OrdPCA,PEVsigmix,30.000000,0.830705
OraclePCA,FDR,1.000000,0.000000
OraclePCA,TPR,1.000000,1.000000
OraclePCA,PEV,1.000000,0.512360
OraclePCA,PEVsig,1.000000,0.994255
OraclePCA,PEVsigmix,1.000000,0.999261
OraclePCA,FDR,5.000000,0.000000
OraclePCA,TPR,5.000000,1.000000
OraclePCA,PEV,5.000000,0.501984
OraclePCA,PEVsig,5.000000,0.891821
OraclePCA,PEVsigmix,5.000000,0.918620
OraclePCA,FDR,10.000000,0.000000
OraclePCA,TPR,10.000000,1.000000
OraclePCA,PEV,10.000000,0.500256
OraclePCA,PEVsig,10.000000,0.826526
OraclePCA,PEVsigmix,10.000000,0.844275
OraclePCA,FDR,15.000000,0.000000
OraclePCA,TPR,15.000000,1.000000
OraclePCA,PEV,15.000000,0.505141
OraclePCA,PEVsig,15.000000,0.799333
OraclePCA,PEVsigmix,15.000000,0.806417
OraclePCA,FDR,20.000000,0.000750
OraclePCA,TPR,20.000000,0.999250
OraclePCA,PEV,20.000000,0.517841
OraclePCA,PEVsig,20.000000,0.803801
OraclePCA,PEVsigmix,20.000000,0.801384
OraclePCA,FDR,25.000000,0.000800
OraclePCA,TPR,25.000000,0.999200
OraclePCA,PEV,25.000000,0.531719
OraclePCA,PEVsig,25.000000,0.818297
OraclePCA,PEVsigmix,25.000000,0.803721
OraclePCA,FDR,30.000000,0.000000
OraclePCA,TPR,30.000000,1.000000
OraclePCA,PEV,30.000000,0.552537
OraclePCA,PEVsig,30.000000,0.849067
OraclePCA,PEVsigmix,30.000000,0.815626
TRexSPCA-EN-Act,FDR,1.000000,0.012500
TRexSPCA-EN-Act,TPR,1.000000,1.000000
TRexSPCA-EN-Act,PEV,1.000000,0.512488
TRexSPCA-EN-Act,PEVsig,1.000000,0.994510
TRexSPCA-EN-Act,PEVsigmix,1.000000,0.994834
TRexSPCA-EN-Act,FDR,5.000000,0.075395
TRexSPCA-EN-Act,TPR,5.000000,1.000000
TRexSPCA-EN-Act,PEV,5.000000,0.465570
TRexSPCA-EN-Act,PEVsig,5.000000,0.827136
TRexSPCA-EN-Act,PEVsigmix,5.000000,0.828672
TRexSPCA-EN-Act,FDR,10.000000,0.118547
TRexSPCA-EN-Act,TPR,10.000000,1.000000
TRexSPCA-EN-Act,PEV,10.000000,0.457998
TRexSPCA-EN-Act,PEVsig,10.000000,0.756712
TRexSPCA-EN-Act,PEVsigmix,10.000000,0.755081
TRexSPCA-EN-Act,FDR,15.000000,0.199448
TRexSPCA-EN-Act,TPR,15.000000,1.000000
TRexSPCA-EN-Act,PEV,15.000000,0.470151
TRexSPCA-EN-Act,PEVsig,15.000000,0.743984
TRexSPCA-EN-Act,PEVsigmix,15.000000,0.737501
TRexSPCA-EN-Act,FDR,20.000000,0.213090
TRexSPCA-EN-Act,TPR,20.000000,1.000000
TRexSPCA-EN-Act,PEV,20.000000,0.484069
TRexSPCA-EN-Act,PEVsig,20.000000,0.751382
TRexSPCA-EN-Act,PEVsigmix,20.000000,0.743188
TRexSPCA-EN-Act,FDR,25.000000,0.182926
TRexSPCA-EN-Act,TPR,25.000000,1.000000
TRexSPCA-EN-Act,PEV,25.000000,0.498710
TRexSPCA-EN-Act,PEVsig,25.000000,0.767469
TRexSPCA-EN-Act,PEVsigmix,25.000000,0.757189
TRexSPCA-EN-Act,FDR,30.000000,0.108854
TRexSPCA-EN-Act,TPR,30.000000,1.000000
TRexSPCA-EN-Act,PEV,30.000000,0.511873
TRexSPCA-EN-Act,PEVsig,30.000000,0.786564
