method,metric,n_pcs,value
OrdPCA,FDR,1.000000,0.900000
OrdPCA,TPR,1.000000,1.000000
OrdPCA,PEV,1.000000,0.399190
OrdPCA,PEVsig,1.000000,0.660531
OrdPCA,PEVsigmix,1.000000,0.660076
OrdPCA,FDR,3.000000,0.900000
OrdPCA,TPR,3.000000,1.000000
OrdPCA,PEV,3.000000,0.549388
OrdPCA,PEVsig,3.000000,0.906273
OrdPCA,PEVsigmix,3.000000,0.884761
OrdPCA,FDR,5.000000,0.900000
OrdPCA,TPR,5.000000,1.000000
OrdPCA,PEV,5.000000,0.599665
OrdPCA,PEVsig,5.000000,0.992426
OrdPCA,PEVsigmix,5.000000,0.915629
OrdPCA,FDR,10.000000,0.900000
OrdPCA,TPR,10.000000,1.000000
OrdPCA,PEV,10.000000,0.702969
OrdPCA,PEVsig,10.000000,1.159684
OrdPCA,PEVsigmix,10.000000,0.967570
OrdPCA,FDR,20.000000,0.900000
OrdPCA,TPR,20.000000,1.000000
OrdPCA,PEV,20.000000,0.844672
OrdPCA,PEVsig,20.000000,1.395026
OrdPCA,PEVsigmix,20.000000,1.034250
OrdPCA,FDR,30.000000,0.900000
OrdPCA,TPR,30.000000,1.000000
OrdPCA,PEV,30.000000,0.932499
OrdPCA,PEVsig,30.000000,1.541639
OrdPCA,PEVsigmix,30.000000,1.068298
OrdPCA,FDR,40.000000,0.900000
OrdPCA,TPR,40.000000,1.000000
OrdPCA,PEV,40.000000,0.980813
OrdPCA,PEVsig,40.000000,1.619396
OrdPCA,PEVsigmix,40.000000,1.081046
OrdPCA,FDR,49.000000,0.900000
OrdPCA,TPR,49.000000,1.000000
OrdPCA,PEV,49.000000,1.000000
OrdPCA,PEVsig,49.000000,1.652440
OrdPCA,PEVsigmix,49.000000,1.077595
OraclePCA,FDR,1.000000,0.000000
OraclePCA,TPR,1.000000,1.000000
OraclePCA,PEV,1.000000,0.381839
OraclePCA,PEVsig,1.000000,0.631761
OraclePCA,PEVsigmix,1.000000,0.631761
OraclePCA,FDR,3.000000,0.000000
OraclePCA,TPR,3.000000,1.000000
OraclePCA,PEV,3.000000,0.499988
OraclePCA,PEVsig,3.000000,0.824724
OraclePCA,PEVsigmix,3.000000,0.842463
OraclePCA,FDR,5.000000,0.001000
OraclePCA,TPR,5.000000,0.999000
OraclePCA,PEV,5.000000,0.524863
OraclePCA,PEVsig,5.000000,0.868590
OraclePCA,PEVsigmix,5.000000,0.866814
OraclePCA,FDR,10.000000,0.000000
OraclePCA,TPR,10.000000,1.000000
OraclePCA,PEV,10.000000,0.578012
OraclePCA,PEVsig,10.000000,0.953475
OraclePCA,PEVsigmix,10.000000,0.913055
OraclePCA,FDR,20.000000,0.000000
OraclePCA,TPR,20.000000,1.000000
OraclePCA,PEV,20.000000,0.647856
OraclePCA,PEVsig,20.000000,1.069874
OraclePCA,PEVsigmix,20.000000,0.995036
OraclePCA,FDR,30.000000,0.000000
OraclePCA,TPR,30.000000,1.000000
OraclePCA,PEV,30.000000,0.687145
OraclePCA,PEVsig,30.000000,1.135865
OraclePCA,PEVsigmix,30.000000,1.053553
OraclePCA,FDR,40.000000,0.000000
OraclePCA,TPR,40.000000,1.000000
OraclePCA,PEV,40.000000,0.707556
OraclePCA,PEVsig,40.000000,1.168133
OraclePCA,PEVsigmix,40.000000,1.105270
OraclePCA,FDR,49.000000,0.000000
OraclePCA,TPR,49.000000,1.000000
OraclePCA,PEV,49.000000,0.710248
OraclePCA,PEVsig,49.000000,1.173490
OraclePCA,PEVsigmix,49.000000,1.141140
TRexSPCA-EN-Act,FDR,1.000000,0.120269
TRexSPCA-EN-Act,TPR,1.000000,1.000000
TRexSPCA-EN-Act,PEV,1.000000,0.373433
TRexSPCA-EN-Act,PEVsig,1.000000,0.617968
TRexSPCA-EN-Act,PEVsigmix,1.000000,0.617952
TRexSPCA-EN-Act,FDR,3.000000,0.112335
TRexSPCA-EN-Act,TPR,3.000000,1.000000
TRexSPCA-EN-Act,PEV,3.000000,0.458127
TRexSPCA-EN-Act,PEVsig,3.000000,0.755762
TRexSPCA-EN-Act,PEVsigmix,3.000000,0.753086
TRexSPCA-EN-Act,FDR,5.000000,0.123722
TRexSPCA-EN-Act,TPR,5.000000,1.000000
TRexSPCA-EN-Act,PEV,5.000000,0.466680
TRexSPCA-EN-Act,PEVsig,5.000000,0.772415
TRexSPCA-EN-Act,PEVsigmix,5.000000,0.752023
TRexSPCA-EN-Act,FDR,10.000000,0.114326
TRexSPCA-EN-Act,TPR,10.000000,1.000000
TRexSPCA-EN-Act,PEV,10.000000,0.478259
TRexSPCA-EN-Act,PEVsig,10.000000,0.788990
TRexSPCA-EN-Act,PEVsigmix,10.000000,0.752836
TRexSPCA-EN-Act,FDR,20.000000,0.109670
TRexSPCA-EN-Act,TPR,20.000000,1.000000
TRexSPCA-EN-Act,PEV,20.000000,0.481776
TRexSPCA-EN-Act,PEVsig,20.000000,0.795614
TRexSPCA-EN-Act,PEVsigmix,20.000000,0.756474
TRexSPCA-EN-Act,FDR,30.000000,0.113324
TRexSPCA-EN-Act,TPR,30.000000,1.000000
TRexSPCA-EN-Act,PEV,30.000000,0.477941
TRexSPCA-EN-Act,PEVsig,30.000000,0.790045
TRexSPCA-EN-Act,PEVsigmix,30.000000,0.751759
TRexSPCA-EN-Act,FDR,40.000000,0.123293
TRexSPCA-EN-Act,TPR,40.000000,1.000000
TRexSPCA-EN-Act,PEV,40.000000,0.481372
