method,metric,snr_db,value
OrdPCA,FDR,-10.000000,0.900000
OrdPCA,TPR,-10.000000,1.000000
OrdPCA,PEV,-10.000000,0.203075
OrdPCA,PEVsig,-10.000000,0.721141
OrdPCA,PEVsigmix,-10.000000,0.517489
OrdPCA,FDR,-7.000000,0.900000
OrdPCA,TPR,-7.000000,1.000000
OrdPCA,PEV,-7.000000,0.263259
OrdPCA,PEVsig,-7.000000,0.768218
OrdPCA,PEVsigmix,-7.000000,0.648501
OrdPCA,FDR,-5.000000,0.900000
OrdPCA,TPR,-5.000000,1.000000
OrdPCA,PEV,-5.000000,0.324982
OrdPCA,PEVsig,-5.000000,0.812146
OrdPCA,PEVsigmix,-5.000000,0.729483
OrdPCA,FDR,-3.000000,0.900000
OrdPCA,TPR,-3.000000,1.000000
OrdPCA,PEV,-3.000000,0.404999
OrdPCA,PEVsig,-3.000000,0.854710
OrdPCA,PEVsigmix,-3.000000,0.800861
OrdPCA,FDR,0.000000,0.900000
OrdPCA,TPR,0.000000,1.000000
OrdPCA,PEV,0.000000,0.549967
OrdPCA,PEVsig,0.000000,0.909561
OrdPCA,PEVsigmix,0.000000,0.888112
OrdPCA,FDR,3.000000,0.900000
OrdPCA,TPR,3.000000,1.000000
OrdPCA,PEV,3.000000,0.697741
OrdPCA,PEVsig,3.000000,0.947022
OrdPCA,PEVsigmix,3.000000,0.941169
OrdPCA,FDR,5.000000,0.900000
OrdPCA,TPR,5.000000,1.000000
OrdPCA,PEV,5.000000,0.782008
OrdPCA,PEVsig,5.000000,0.965392
OrdPCA,PEVsigmix,5.000000,0.963046
OrdPCA,FDR,7.000000,0.900000
OrdPCA,TPR,7.000000,1.000000
OrdPCA,PEV,7.000000,0.848651
OrdPCA,PEVsig,7.000000,0.977227
OrdPCA,PEVsigmix,7.000000,0.976290
OrdPCA,FDR,10.000000,0.900000
OrdPCA,TPR,10.000000,1.000000
OrdPCA,PEV,10.000000,0.917255
OrdPCA,PEVsig,10.000000,0.988269
