method,metric,tfdr,value
OrdPCA,FDR,0.010000,0.900000
OrdPCA,TPR,0.010000,1.000000
OrdPCA,PEV,0.010000,0.551445
OrdPCA,PEVsig,0.010000,0.909777
OrdPCA,PEVsigmix,0.010000,0.887613
OrdPCA,FDR,0.050000,0.900000
OrdPCA,TPR,0.050000,1.000000
OrdPCA,PEV,0.050000,0.549953
OrdPCA,PEVsig,0.050000,0.907225
OrdPCA,PEVsigmix,0.050000,0.885685
OrdPCA,FDR,0.100000,0.900000
OrdPCA,TPR,0.100000,1.000000
OrdPCA,PEV,0.100000,0.550038
OrdPCA,PEVsig,0.100000,0.909280
OrdPCA,PEVsigmix,0.100000,0.887372
OrdPCA,FDR,0.150000,0.900000
OrdPCA,TPR,0.150000,1.000000
OrdPCA,PEV,0.150000,0.549967
OrdPCA,PEVsig,0.150000,0.909561
OrdPCA,PEVsigmix,0.150000,0.888112
OrdPCA,FDR,0.200000,0.900000
OrdPCA,TPR,0.200000,1.000000
OrdPCA,PEV,0.200000,0.551737
OrdPCA,PEVsig,0.200000,0.909426
OrdPCA,PEVsigmix,0.200000,0.887964
OrdPCA,FDR,0.250000,0.900000
OrdPCA,TPR,0.250000,1.000000
OrdPCA,PEV,0.250000,0.549919
OrdPCA,PEVsig,0.250000,0.909666
OrdPCA,PEVsigmix,0.250000,0.887056
OrdPCA,FDR,0.300000,0.900000
OrdPCA,TPR,0.300000,1.000000
OrdPCA,PEV,0.300000,0.549353
OrdPCA,PEVsig,0.300000,0.908406
OrdPCA,PEVsigmix,0.300000,0.886550
OrdPCA,FDR,0.350000,0.900000
OrdPCA,TPR,0.350000,1.000000
OrdPCA,PEV,0.350000,0.549965
OrdPCA,PEVsig,0.350000,0.909167
OrdPCA,PEVsigmix,0.350000,0.887311
OrdPCA,FDR,0.400000,0.900000
OrdPCA,TPR,0.400000,1.000000
OrdPCA,PEV,0.400000,0.549585
OrdPCA,PEVsig,0.400000,0.908750
OrdPCA,PEVsigmix,0.400000,0.887770
OrdPCA,FDR,0.450000,0.900000
OrdPCA,TPR,0.450000,1.000000
OrdPCA,PEV,0.450000,0.550130
OrdPCA,PEVsig,0.450000,0.907129
OrdPCA,PEVsigmix,0.450000,0.885975
OrdPCA,FDR,0.500000,0.900000
OrdPCA,TPR,0.500000,1.000000
OrdPCA,PEV,0.500000,0.549229
OrdPCA,PEVsig,0.500000,0.908627
OrdPCA,PEVsigmix,0.500000,0.886864
OraclePCA,FDR,0.010000,0.000000
OraclePCA,TPR,0.010000,1.000000
OraclePCA,PEV,0.010000,0.500853
OraclePCA,PEVsig,0.010000,0.826252
OraclePCA,PEVsigmix,0.010000,0.844449
OraclePCA,FDR,0.050000,0.000000
OraclePCA,TPR,0.050000,1.000000
OraclePCA,PEV,0.050000,0.499283
OraclePCA,PEVsig,0.050000,0.823560
OraclePCA,PEVsigmix,0.050000,0.839817
OraclePCA,FDR,0.100000,0.000000
OraclePCA,TPR,0.100000,1.000000
OraclePCA,PEV,0.100000,0.500515
OraclePCA,PEVsig,0.100000,0.827360
OraclePCA,PEVsigmix,0.100000,0.845030
OraclePCA,FDR,0.150000,0.000500
OraclePCA,TPR,0.150000,0.999500
OraclePCA,PEV,0.150000,0.499108
OraclePCA,PEVsig,0.150000,0.825428
OraclePCA,PEVsigmix,0.150000,0.842252
OraclePCA,FDR,0.200000,0.000000
OraclePCA,TPR,0.200000,1.000000
OraclePCA,PEV,0.200000,0.499994
OraclePCA,PEVsig,0.200000,0.824069
OraclePCA,PEVsigmix,0.200000,0.842297
OraclePCA,FDR,0.250000,0.000000
OraclePCA,TPR,0.250000,1.000000
OraclePCA,PEV,0.250000,0.500006
OraclePCA,PEVsig,0.250000,0.826975
OraclePCA,PEVsigmix,0.250000,0.841533
OraclePCA,FDR,0.300000,0.000000
OraclePCA,TPR,0.300000,1.000000
OraclePCA,PEV,0.300000,0.498820
OraclePCA,PEVsig,0.300000,0.824789
OraclePCA,PEVsigmix,0.300000,0.841371
OraclePCA,FDR,0.350000,0.000000
OraclePCA,TPR,0.350000,1.000000
OraclePCA,PEV,0.350000,0.500615
OraclePCA,PEVsig,0.350000,0.827527
OraclePCA,PEVsigmix,0.350000,0.844796
OraclePCA,FDR,0.400000,0.000000
OraclePCA,TPR,0.400000,1.000000
OraclePCA,PEV,0.400000,0.498431
OraclePCA,PEVsig,0.400000,0.824128
OraclePCA,PEVsigmix,0.400000,0.840169
OraclePCA,FDR,0.450000,0.003500
OraclePCA,TPR,0.450000,0.996500
OraclePCA,PEV,0.450000,0.500556
OraclePCA,PEVsig,0.450000,0.825369
OraclePCA,PEVsigmix,0.450000,0.842239
OraclePCA,FDR,0.500000,0.000000
OraclePCA,TPR,0.500000,1.000000
OraclePCA,PEV,0.500000,0.498145
OraclePCA,PEVsig,0.500000,0.824057
OraclePCA,PEVsigmix,0.500000,0.841028
TRexSPCA-EN-Act,FDR,0.010000,0.017148
TRexSPCA-EN-Act,TPR,0.010000,1.000000
TRexSPCA-EN-Act,PEV,0.010000,0.365265
TRexSPCA-EN-Act,PEVsig,0.010000,0.602717
TRexSPCA-EN-Act,PEVsigmix,0.010000,0.602758
TRexSPCA-EN-Act,FDR,0.050000,0.074756
TRexSPCA-EN-Act,TPR,0.050000,1.000000
TRexSPCA-EN-Act,PEV,0.050000,0.442974
TRexSPCA-EN-Act,PEVsig,0.050000,0.730683
TRexSPCA-EN-Act,PEVsigmix,0.050000,0.734465
TRexSPCA-EN-Act,FDR,0.100000,0.111918
TRexSPCA-EN-Act,TPR,0.100000,1.000000
TRexSPCA-EN-Act,PEV,0.100000,0.457706
TRexSPCA-EN-Act,PEVsig,0.100000,0.756668
TRexSPCA-EN-Act,PEVsigmix,0.100000,0.754128
TRexSPCA-EN-Act,FDR,0.150000,0.209988
