method,metric,snr_db,value
OrdPCA,FDR,-10.000000,0.950000
OrdPCA,TPR,-10.000000,1.000000
OrdPCA,PEV,-10.000000,0.201558
OrdPCA,FDR,-7.000000,0.950000
OrdPCA,TPR,-7.000000,1.000000
OrdPCA,PEV,-7.000000,0.261727
OrdPCA,FDR,-5.000000,0.950000
OrdPCA,TPR,-5.000000,1.000000
OrdPCA,PEV,-5.000000,0.324644
OrdPCA,FDR,-3.000000,0.950000
OrdPCA,TPR,-3.000000,1.000000
OrdPCA,PEV,-3.000000,0.404743
OrdPCA,FDR,0.000000,0.950000
OrdPCA,TPR,0.000000,1.000000
OrdPCA,PEV,0.000000,0.549991
OrdPCA,FDR,3.000000,0.950000
OrdPCA,TPR,3.000000,1.000000
OrdPCA,PEV,3.000000,0.697737
OrdPCA,FDR,5.000000,0.950000
OrdPCA,TPR,5.000000,1.000000
OrdPCA,PEV,5.000000,0.782284
OrdPCA,FDR,7.000000,0.950000
OrdPCA,TPR,7.000000,1.000000
OrdPCA,PEV,7.000000,0.848653
OrdPCA,FDR,10.000000,0.950000
OrdPCA,TPR,10.000000,1.000000
OrdPCA,PEV,10.000000,0.917439
OraclePCA,FDR,-10.000000,0.009000
OraclePCA,TPR,-10.000000,0.991000
OraclePCA,PEV,-10.000000,0.122728
OraclePCA,FDR,-7.000000,0.000000
OraclePCA,TPR,-7.000000,1.000000
OraclePCA,PEV,-7.000000,0.193730
OraclePCA,FDR,-5.000000,0.001000
OraclePCA,TPR,-5.000000,0.999000
OraclePCA,PEV,-5.000000,0.262431
OraclePCA,FDR,-3.000000,0.000000
OraclePCA,TPR,-3.000000,1.000000
OraclePCA,PEV,-3.000000,0.348281
OraclePCA,FDR,0.000000,0.000000
OraclePCA,TPR,0.000000,1.000000
OraclePCA,PEV,0.000000,0.505551
OraclePCA,FDR,3.000000,0.000000
OraclePCA,TPR,3.000000,1.000000
OraclePCA,PEV,3.000000,0.662587
OraclePCA,FDR,5.000000,0.000000
OraclePCA,TPR,5.000000,1.000000
OraclePCA,PEV,5.000000,0.749274
OraclePCA,FDR,7.000000,0.000000
OraclePCA,TPR,7.000000,1.000000
OraclePCA,PEV,7.000000,0.817755
OraclePCA,FDR,10.000000,0.000000
OraclePCA,TPR,10.000000,1.000000
OraclePCA,PEV,10.000000,0.888834
TRexSPCA-EN-Act,FDR,-10.000000,0.134840
TRexSPCA-EN-Act,TPR,-10.000000,0.994000
TRexSPCA-EN-Act,PEV,-10.000000,0.119911
TRexSPCA-EN-Act,FDR,-7.000000,0.088611
TRexSPCA-EN-Act,TPR,-7.000000,1.000000
TRexSPCA-EN-Act,PEV,-7.000000,0.186268
TRexSPCA-EN-Act,FDR,-5.000000,0.080645
TRexSPCA-EN-Act,TPR,-5.000000,1.000000
TRexSPCA-EN-Act,PEV,-5.000000,0.251760
TRexSPCA-EN-Act,FDR,-3.000000,0.076100
TRexSPCA-EN-Act,TPR,-3.000000,1.000000
TRexSPCA-EN-Act,PEV,-3.000000,0.330248
TRexSPCA-EN-Act,FDR,0.000000,0.060217
TRexSPCA-EN-Act,TPR,0.000000,1.000000
TRexSPCA-EN-Act,PEV,0.000000,0.474849
TRexSPCA-EN-Act,FDR,3.000000,0.074642
TRexSPCA-EN-Act,TPR,3.000000,1.000000
TRexSPCA-EN-Act,PEV,3.000000,0.603833
TRexSPCA-EN-Act,FDR,5.000000,0.079244
TRexSPCA-EN-Act,TPR,5.000000,1.000000
TRexSPCA-EN-Act,PEV,5.000000,0.671844
TRexSPCA-EN-Act,FDR,7.000000,0.087785
TRexSPCA-EN-Act,TPR,7.000000,1.000000
TRexSPCA-EN-Act,PEV,7.000000,0.714942
TRexSPCA-EN-Act,FDR,10.000000,0.102558
TRexSPCA-EN-Act,TPR,10.000000,1.000000
TRexSPCA-EN-Act,PEV,10.000000,0.749998
TRexSPCA-EN-Thr,FDR,-10.000000,0.133571
TRexSPCA-EN-Thr,TPR,-10.000000,0.996000
TRexSPCA-EN-Thr,PEV,-10.000000,0.123671
TRexSPCA-EN-Thr,FDR,-7.000000,0.088611
TRexSPCA-EN-Thr,TPR,-7.000000,1.000000
TRexSPCA-EN-Thr,PEV,-7.000000,0.191434
TRexSPCA-EN-Thr,FDR,-5.000000,0.080645
TRexSPCA-EN-Thr,TPR,-5.000000,1.000000
TRexSPCA-EN-Thr,PEV,-5.000000,0.257917
TRexSPCA-EN-Thr,FDR,-3.000000,0.076100
TRexSPCA-EN-Thr,TPR,-3.000000,1.000000
TRexSPCA-EN-Thr,PEV,-3.000000,0.342806
TRexSPCA-EN-Thr,FDR,0.000000,0.060217
TRexSPCA-EN-Thr,TPR,0.000000,1.000000
TRexSPCA-EN-Thr,PEV,0.000000,0.495997
TRexSPCA-EN-Thr,FDR,3.000000,0.074642
TRexSPCA-EN-Thr,TPR,3.000000,1.000000
TRexSPCA-EN-Thr,PEV,3.000000,0.649710
TRexSPCA-EN-Thr,FDR,5.000000,0.079244
TRexSPCA-EN-Thr,TPR,5.000000,1.000000
TRexSPCA-EN-Thr,PEV,5.000000,0.734581
TRexSPCA-EN-Thr,FDR,7.000000,0.087785
TRexSPCA-EN-Thr,TPR,7.000000,1.000000
TRexSPCA-EN-Thr,PEV,7.000000,0.800272
TRexSPCA-EN-Thr,FDR,10.000000,0.102558
TRexSPCA-EN-Thr,TPR,10.000000,1.000000
TRexSPCA-EN-Thr,PEV,10.000000,0.876321
TRexSPCA-ENaug-TLARS-Act,FDR,-10.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,TPR,-10.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,PEV,-10.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,FDR,-7.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,TPR,-7.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,PEV,-7.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,FDR,-5.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,TPR,-5.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,PEV,-5.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,FDR,-3.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,TPR,-3.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,PEV,-3.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,FDR,0.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,TPR,0.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,PEV,0.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,FDR,3.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,TPR,3.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,PEV,3.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,FDR,5.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,TPR,5.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,PEV,5.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,FDR,7.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,TPR,7.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,PEV,7.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,FDR,10.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,TPR,10.000000,0.000000
TRexSPCA-ENaug-TLARS-Act,PEV,10.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,FDR,-10.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,TPR,-10.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,PEV,-10.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,FDR,-7.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,TPR,-7.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,PEV,-7.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,FDR,-5.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,TPR,-5.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,PEV,-5.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,FDR,-3.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,TPR,-3.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,PEV,-3.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,FDR,0.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,TPR,0.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,PEV,0.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,FDR,3.000000,0.000000
TRexSPCA-ENaug-TLARS-Thr,TPR,3.000000,0.000000
